05:11:48 Pod cockroach-operator-manager-57b7fbd794-wbv8n 754:	Successfully assigned cockroach-operator-system/cockroach-operator-manager-57b7fbd794-wbv8n to acto-cluster-2-worker
05:11:49 Pod cockroach-operator-manager-57b7fbd794-wbv8n 758:	Container image "cockroachdb/cockroach-operator:v2.7.0" already present on machine
05:11:49 Pod cockroach-operator-manager-57b7fbd794-wbv8n 758:	Created container cockroach-operator
05:11:49 Pod cockroach-operator-manager-57b7fbd794-wbv8n 758:	Started container cockroach-operator
05:12:40 Pod cockroach-operator-manager-57b7fbd794-wbv8n 758:	Stopping container cockroach-operator
05:11:48 ReplicaSet cockroach-operator-manager-57b7fbd794 750:	Created pod: cockroach-operator-manager-57b7fbd794-wbv8n
05:12:40 ReplicaSet cockroach-operator-manager-57b7fbd794 874:	Deleted pod: cockroach-operator-manager-57b7fbd794-wbv8n
05:12:39 Pod cockroach-operator-manager-64c489884-c9hgn 856:	Successfully assigned cockroach-operator-system/cockroach-operator-manager-64c489884-c9hgn to acto-cluster-2-worker2
05:12:39 Pod cockroach-operator-manager-64c489884-c9hgn 858:	Container image "cockroachdb/cockroach-operator:v2.7.0" already present on machine
05:12:39 Pod cockroach-operator-manager-64c489884-c9hgn 858:	Created container cockroach-operator
05:12:40 Pod cockroach-operator-manager-64c489884-c9hgn 858:	Started container cockroach-operator
05:12:39 ReplicaSet cockroach-operator-manager-64c489884 853:	Created pod: cockroach-operator-manager-64c489884-c9hgn
05:11:48 Deployment cockroach-operator-manager 749:	Scaled up replica set cockroach-operator-manager-57b7fbd794 to 1
05:12:39 Deployment cockroach-operator-manager 852:	Scaled up replica set cockroach-operator-manager-64c489884 to 1
05:12:40 Deployment cockroach-operator-manager 863:	Scaled down replica set cockroach-operator-manager-57b7fbd794 to 0
05:15:20 PersistentVolumeClaim datadir-test-cluster-0 1195:	waiting for first consumer to be created before binding
05:15:20 PersistentVolumeClaim datadir-test-cluster-0 1205:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
05:15:20 PersistentVolumeClaim datadir-test-cluster-0 1205:	External provisioner is provisioning volume for claim "cockroach-operator-system/datadir-test-cluster-0"
05:15:24 PersistentVolumeClaim datadir-test-cluster-0 1205:	Successfully provisioned volume pvc-66802193-256e-4479-81cf-eb2d9dca93a2
05:15:20 PersistentVolumeClaim datadir-test-cluster-1 1199:	waiting for first consumer to be created before binding
05:15:20 PersistentVolumeClaim datadir-test-cluster-1 1214:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
05:15:20 PersistentVolumeClaim datadir-test-cluster-1 1214:	External provisioner is provisioning volume for claim "cockroach-operator-system/datadir-test-cluster-1"
05:15:24 PersistentVolumeClaim datadir-test-cluster-1 1214:	Successfully provisioned volume pvc-5dfb1eb9-a1ce-4bfc-ac98-ab111abfeaa7
05:15:20 PersistentVolumeClaim datadir-test-cluster-2 1209:	waiting for first consumer to be created before binding
05:15:20 PersistentVolumeClaim datadir-test-cluster-2 1223:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
05:15:20 PersistentVolumeClaim datadir-test-cluster-2 1223:	External provisioner is provisioning volume for claim "cockroach-operator-system/datadir-test-cluster-2"
