04:32:45 Pod cockroach-operator-manager-57b7fbd794-msxjv 755:	Successfully assigned cockroach-operator-system/cockroach-operator-manager-57b7fbd794-msxjv to acto-cluster-7-worker
04:32:45 Pod cockroach-operator-manager-57b7fbd794-msxjv 758:	Container image "cockroachdb/cockroach-operator:v2.7.0" already present on machine
04:32:45 Pod cockroach-operator-manager-57b7fbd794-msxjv 758:	Created container cockroach-operator
04:32:46 Pod cockroach-operator-manager-57b7fbd794-msxjv 758:	Started container cockroach-operator
04:33:36 Pod cockroach-operator-manager-57b7fbd794-msxjv 758:	Stopping container cockroach-operator
04:32:45 ReplicaSet cockroach-operator-manager-57b7fbd794 750:	Created pod: cockroach-operator-manager-57b7fbd794-msxjv
04:33:36 ReplicaSet cockroach-operator-manager-57b7fbd794 874:	Deleted pod: cockroach-operator-manager-57b7fbd794-msxjv
04:33:35 Pod cockroach-operator-manager-64c489884-qtcvl 856:	Successfully assigned cockroach-operator-system/cockroach-operator-manager-64c489884-qtcvl to acto-cluster-7-worker2
04:33:36 Pod cockroach-operator-manager-64c489884-qtcvl 858:	Container image "cockroachdb/cockroach-operator:v2.7.0" already present on machine
04:33:36 Pod cockroach-operator-manager-64c489884-qtcvl 858:	Created container cockroach-operator
04:33:36 Pod cockroach-operator-manager-64c489884-qtcvl 858:	Started container cockroach-operator
04:33:35 ReplicaSet cockroach-operator-manager-64c489884 853:	Created pod: cockroach-operator-manager-64c489884-qtcvl
04:32:45 Deployment cockroach-operator-manager 749:	Scaled up replica set cockroach-operator-manager-57b7fbd794 to 1
04:33:35 Deployment cockroach-operator-manager 852:	Scaled up replica set cockroach-operator-manager-64c489884 to 1
04:33:36 Deployment cockroach-operator-manager 864:	Scaled down replica set cockroach-operator-manager-57b7fbd794 to 0
04:35:03 PersistentVolumeClaim datadir-test-cluster-0 1067:	waiting for first consumer to be created before binding
04:35:03 PersistentVolumeClaim datadir-test-cluster-0 1079:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
04:35:03 PersistentVolumeClaim datadir-test-cluster-0 1079:	External provisioner is provisioning volume for claim "cockroach-operator-system/datadir-test-cluster-0"
04:35:06 PersistentVolumeClaim datadir-test-cluster-0 1079:	Successfully provisioned volume pvc-2d3a6910-bfc1-4e92-89ee-b1277c4053e2
04:35:03 PersistentVolumeClaim datadir-test-cluster-1 1070:	waiting for first consumer to be created before binding
04:35:03 PersistentVolumeClaim datadir-test-cluster-1 1086:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
04:35:03 PersistentVolumeClaim datadir-test-cluster-1 1086:	External provisioner is provisioning volume for claim "cockroach-operator-system/datadir-test-cluster-1"
