04:37:06 Pod cockroach-operator-manager-57b7fbd794-xprhc 760:	Successfully assigned cockroach-operator-system/cockroach-operator-manager-57b7fbd794-xprhc to acto-cluster-9-worker
04:37:07 Pod cockroach-operator-manager-57b7fbd794-xprhc 762:	Container image "cockroachdb/cockroach-operator:v2.7.0" already present on machine
04:37:07 Pod cockroach-operator-manager-57b7fbd794-xprhc 762:	Created container cockroach-operator
04:37:07 Pod cockroach-operator-manager-57b7fbd794-xprhc 762:	Started container cockroach-operator
04:37:58 Pod cockroach-operator-manager-57b7fbd794-xprhc 762:	Stopping container cockroach-operator
04:37:06 ReplicaSet cockroach-operator-manager-57b7fbd794 756:	Created pod: cockroach-operator-manager-57b7fbd794-xprhc
04:37:58 ReplicaSet cockroach-operator-manager-57b7fbd794 882:	Deleted pod: cockroach-operator-manager-57b7fbd794-xprhc
04:37:56 Pod cockroach-operator-manager-64c489884-b9w5s 863:	Successfully assigned cockroach-operator-system/cockroach-operator-manager-64c489884-b9w5s to acto-cluster-9-worker
04:37:57 Pod cockroach-operator-manager-64c489884-b9w5s 865:	Container image "cockroachdb/cockroach-operator:v2.7.0" already present on machine
04:37:57 Pod cockroach-operator-manager-64c489884-b9w5s 865:	Created container cockroach-operator
04:37:57 Pod cockroach-operator-manager-64c489884-b9w5s 865:	Started container cockroach-operator
04:37:56 ReplicaSet cockroach-operator-manager-64c489884 860:	Created pod: cockroach-operator-manager-64c489884-b9w5s
04:37:06 Deployment cockroach-operator-manager 755:	Scaled up replica set cockroach-operator-manager-57b7fbd794 to 1
04:37:56 Deployment cockroach-operator-manager 859:	Scaled up replica set cockroach-operator-manager-64c489884 to 1
04:37:58 Deployment cockroach-operator-manager 871:	Scaled down replica set cockroach-operator-manager-57b7fbd794 to 0
04:39:24 PersistentVolumeClaim datadir-test-cluster-0 1066:	waiting for first consumer to be created before binding
04:39:24 PersistentVolumeClaim datadir-test-cluster-0 1077:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
04:39:24 PersistentVolumeClaim datadir-test-cluster-0 1077:	External provisioner is provisioning volume for claim "cockroach-operator-system/datadir-test-cluster-0"
04:39:29 PersistentVolumeClaim datadir-test-cluster-0 1077:	Successfully provisioned volume pvc-bb7a07aa-79d8-479b-971d-b12804aed67b
04:39:24 PersistentVolumeClaim datadir-test-cluster-1 1069:	waiting for first consumer to be created before binding
04:39:24 PersistentVolumeClaim datadir-test-cluster-1 1085:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
04:39:24 PersistentVolumeClaim datadir-test-cluster-1 1085:	External provisioner is provisioning volume for claim "cockroach-operator-system/datadir-test-cluster-1"
04:39:27 PersistentVolumeClaim datadir-test-cluster-1 1085:	Successfully provisioned volume pvc-49d45652-78af-46f8-8e06-236612be8e11
04:39:24 PersistentVolumeClaim datadir-test-cluster-2 1079:	waiting for first consumer to be created before binding
04:39:24 PersistentVolumeClaim datadir-test-cluster-2 1094:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
04:39:24 PersistentVolumeClaim datadir-test-cluster-2 1094:	External provisioner is provisioning volume for claim "cockroach-operator-system/datadir-test-cluster-2"
04:39:28 PersistentVolumeClaim datadir-test-cluster-2 1094:	Successfully provisioned volume pvc-fd328630-4399-4828-9a7d-1f26bf0b74d7
04:39:29 Pod test-cluster-0 1068:	Successfully assigned cockroach-operator-system/test-cluster-0 to acto-cluster-9-worker2
04:39:29 Pod test-cluster-0 1159:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:39:29 Pod test-cluster-0 1159:	Created container db-init
04:39:29 Pod test-cluster-0 1159:	Started container db-init
04:39:30 Pod test-cluster-0 1159:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:39:30 Pod test-cluster-0 1159:	Created container db
04:39:30 Pod test-cluster-0 1159:	Started container db
04:43:19 Pod test-cluster-0 1159:	Readiness probe failed: HTTP probe failed with statuscode: 503
04:43:35 Pod test-cluster-0 1159:	Stopping container db
04:43:55 Pod test-cluster-0 1792:	Successfully assigned cockroach-operator-system/test-cluster-0 to acto-cluster-9-worker2
04:43:56 Pod test-cluster-0 1793:	Pulling image "cockroachdb/cockroach:v21.2.10"
04:43:56 Pod test-cluster-0 1793:	Successfully pulled image "cockroachdb/cockroach:v21.2.10" in 433.62616ms
04:43:56 Pod test-cluster-0 1793:	Created container db-init
04:43:56 Pod test-cluster-0 1793:	Started container db-init
04:43:57 Pod test-cluster-0 1793:	Pulling image "cockroachdb/cockroach:v21.2.10"
04:43:57 Pod test-cluster-0 1793:	Successfully pulled image "cockroachdb/cockroach:v21.2.10" in 181.166721ms
04:43:57 Pod test-cluster-0 1793:	Created container db
04:43:57 Pod test-cluster-0 1793:	Started container db
04:46:13 Pod test-cluster-0 1793:	Stopping container db
04:46:49 Pod test-cluster-0 2194:	Successfully assigned cockroach-operator-system/test-cluster-0 to acto-cluster-9-worker2
04:46:51 Pod test-cluster-0 2195:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:46:51 Pod test-cluster-0 2195:	Created container db-init
04:46:52 Pod test-cluster-0 2195:	Started container db-init
04:46:52 Pod test-cluster-0 2195:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:46:53 Pod test-cluster-0 2195:	Created container db
04:46:53 Pod test-cluster-0 2195:	Started container db
04:47:04 Pod test-cluster-0 2195:	Readiness probe failed: HTTP probe failed with statuscode: 503
04:49:26 Pod test-cluster-0 2195:	Stopping container db
04:50:01 Pod test-cluster-0 2630:	Successfully assigned cockroach-operator-system/test-cluster-0 to acto-cluster-9-worker2
04:50:02 Pod test-cluster-0 2632:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:50:02 Pod test-cluster-0 2632:	Created container db-init
04:50:02 Pod test-cluster-0 2632:	Started container db-init
04:50:03 Pod test-cluster-0 2632:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:50:03 Pod test-cluster-0 2632:	Created container db
04:50:03 Pod test-cluster-0 2632:	Started container db
04:51:46 Pod test-cluster-0 2632:	Readiness probe failed: HTTP probe failed with statuscode: 503
04:52:01 Pod test-cluster-0 2632:	Stopping container db
04:52:28 Pod test-cluster-0 3019:	Successfully assigned cockroach-operator-system/test-cluster-0 to acto-cluster-9-worker2
04:52:29 Pod test-cluster-0 3020:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:52:29 Pod test-cluster-0 3020:	Created container db-init
04:52:29 Pod test-cluster-0 3020:	Started container db-init
04:52:29 Pod test-cluster-0 3020:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:52:29 Pod test-cluster-0 3020:	Created container db
04:52:29 Pod test-cluster-0 3020:	Started container db
04:39:28 Pod test-cluster-1 1076:	Successfully assigned cockroach-operator-system/test-cluster-1 to acto-cluster-9-worker3
04:39:28 Pod test-cluster-1 1137:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:39:28 Pod test-cluster-1 1137:	Created container db-init
04:39:28 Pod test-cluster-1 1137:	Started container db-init
04:39:29 Pod test-cluster-1 1137:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:39:29 Pod test-cluster-1 1137:	Created container db
04:39:29 Pod test-cluster-1 1137:	Started container db
04:43:00 Pod test-cluster-1 1137:	Stopping container db
04:43:08 Pod test-cluster-1 1633:	Successfully assigned cockroach-operator-system/test-cluster-1 to acto-cluster-9-worker3
04:43:08 Pod test-cluster-1 1634:	Pulling image "cockroachdb/cockroach:v21.2.10"
04:43:09 Pod test-cluster-1 1634:	Successfully pulled image "cockroachdb/cockroach:v21.2.10" in 430.934835ms
04:43:09 Pod test-cluster-1 1634:	Created container db-init
04:43:09 Pod test-cluster-1 1634:	Started container db-init
04:43:10 Pod test-cluster-1 1634:	Pulling image "cockroachdb/cockroach:v21.2.10"
04:43:10 Pod test-cluster-1 1634:	Successfully pulled image "cockroachdb/cockroach:v21.2.10" in 229.721227ms
04:43:10 Pod test-cluster-1 1634:	Created container db
04:43:10 Pod test-cluster-1 1634:	Started container db
04:43:23 Pod test-cluster-1 1634:	Readiness probe failed: HTTP probe failed with statuscode: 503
04:45:21 Pod test-cluster-1 1634:	Stopping container db
04:45:58 Pod test-cluster-1 2076:	Successfully assigned cockroach-operator-system/test-cluster-1 to acto-cluster-9-worker3
04:45:59 Pod test-cluster-1 2077:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:45:59 Pod test-cluster-1 2077:	Created container db-init
04:45:59 Pod test-cluster-1 2077:	Started container db-init
04:45:59 Pod test-cluster-1 2077:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:45:59 Pod test-cluster-1 2077:	Created container db
04:45:59 Pod test-cluster-1 2077:	Started container db
04:48:36 Pod test-cluster-1 2077:	Stopping container db
04:49:10 Pod test-cluster-1 2502:	Successfully assigned cockroach-operator-system/test-cluster-1 to acto-cluster-9-worker3
04:49:12 Pod test-cluster-1 2504:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:49:12 Pod test-cluster-1 2504:	Created container db-init
04:49:12 Pod test-cluster-1 2504:	Started container db-init
04:49:13 Pod test-cluster-1 2504:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:49:13 Pod test-cluster-1 2504:	Created container db
04:49:14 Pod test-cluster-1 2504:	Started container db
04:51:28 Pod test-cluster-1 2504:	Stopping container db
04:51:36 Pod test-cluster-1 2862:	Successfully assigned cockroach-operator-system/test-cluster-1 to acto-cluster-9-worker3
04:51:36 Pod test-cluster-1 2863:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:51:36 Pod test-cluster-1 2863:	Created container db-init
04:51:37 Pod test-cluster-1 2863:	Started container db-init
04:51:37 Pod test-cluster-1 2863:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:51:37 Pod test-cluster-1 2863:	Created container db
04:51:37 Pod test-cluster-1 2863:	Started container db
04:51:51 Pod test-cluster-1 2863:	Readiness probe failed: HTTP probe failed with statuscode: 503
04:39:29 Pod test-cluster-2 1084:	Successfully assigned cockroach-operator-system/test-cluster-2 to acto-cluster-9-worker
04:39:29 Pod test-cluster-2 1162:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:39:29 Pod test-cluster-2 1162:	Created container db-init
04:39:29 Pod test-cluster-2 1162:	Started container db-init
04:39:30 Pod test-cluster-2 1162:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:39:30 Pod test-cluster-2 1162:	Created container db
04:39:31 Pod test-cluster-2 1162:	Started container db
04:42:35 Pod test-cluster-2 1162:	Stopping container db
04:42:45 Pod test-cluster-2 1551:	Successfully assigned cockroach-operator-system/test-cluster-2 to acto-cluster-9-worker
04:42:45 Pod test-cluster-2 1552:	Pulling image "cockroachdb/cockroach:v21.2.10"
04:42:46 Pod test-cluster-2 1552:	Successfully pulled image "cockroachdb/cockroach:v21.2.10" in 420.939944ms
04:42:46 Pod test-cluster-2 1552:	Created container db-init
04:42:46 Pod test-cluster-2 1552:	Started container db-init
04:42:47 Pod test-cluster-2 1552:	Pulling image "cockroachdb/cockroach:v21.2.10"
04:42:47 Pod test-cluster-2 1552:	Successfully pulled image "cockroachdb/cockroach:v21.2.10" in 172.484618ms
04:42:47 Pod test-cluster-2 1552:	Created container db
04:42:47 Pod test-cluster-2 1552:	Started container db
