05:06:26 Pod cockroach-operator-manager-57b7fbd794-xnj7f 733:	Successfully assigned cockroach-operator-system/cockroach-operator-manager-57b7fbd794-xnj7f to acto-cluster-9-worker3
05:06:27 Pod cockroach-operator-manager-57b7fbd794-xnj7f 736:	Container image "cockroachdb/cockroach-operator:v2.7.0" already present on machine
05:06:27 Pod cockroach-operator-manager-57b7fbd794-xnj7f 736:	Created container cockroach-operator
05:06:27 Pod cockroach-operator-manager-57b7fbd794-xnj7f 736:	Started container cockroach-operator
05:07:18 Pod cockroach-operator-manager-57b7fbd794-xnj7f 736:	Stopping container cockroach-operator
05:06:26 ReplicaSet cockroach-operator-manager-57b7fbd794 730:	Created pod: cockroach-operator-manager-57b7fbd794-xnj7f
05:07:18 ReplicaSet cockroach-operator-manager-57b7fbd794 856:	Deleted pod: cockroach-operator-manager-57b7fbd794-xnj7f
05:07:16 Pod cockroach-operator-manager-64c489884-vxrns 838:	Successfully assigned cockroach-operator-system/cockroach-operator-manager-64c489884-vxrns to acto-cluster-9-worker2
05:07:17 Pod cockroach-operator-manager-64c489884-vxrns 840:	Container image "cockroachdb/cockroach-operator:v2.7.0" already present on machine
05:07:17 Pod cockroach-operator-manager-64c489884-vxrns 840:	Created container cockroach-operator
05:07:17 Pod cockroach-operator-manager-64c489884-vxrns 840:	Started container cockroach-operator
05:07:16 ReplicaSet cockroach-operator-manager-64c489884 835:	Created pod: cockroach-operator-manager-64c489884-vxrns
05:06:26 Deployment cockroach-operator-manager 729:	Scaled up replica set cockroach-operator-manager-57b7fbd794 to 1
05:07:16 Deployment cockroach-operator-manager 834:	Scaled up replica set cockroach-operator-manager-64c489884 to 1
05:07:18 Deployment cockroach-operator-manager 846:	Scaled down replica set cockroach-operator-manager-57b7fbd794 to 0
05:07:23 PersistentVolumeClaim datadir-test-cluster-0 921:	waiting for first consumer to be created before binding
05:07:23 PersistentVolumeClaim datadir-test-cluster-0 932:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
05:07:23 PersistentVolumeClaim datadir-test-cluster-0 932:	External provisioner is provisioning volume for claim "cockroach-operator-system/datadir-test-cluster-0"
05:07:27 PersistentVolumeClaim datadir-test-cluster-0 932:	Successfully provisioned volume pvc-c434a075-8b85-47f4-a095-147c64252c35
05:07:23 PersistentVolumeClaim datadir-test-cluster-1 924:	waiting for first consumer to be created before binding
05:07:23 PersistentVolumeClaim datadir-test-cluster-1 940:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
05:07:23 PersistentVolumeClaim datadir-test-cluster-1 940:	External provisioner is provisioning volume for claim "cockroach-operator-system/datadir-test-cluster-1"
05:07:27 PersistentVolumeClaim datadir-test-cluster-1 940:	Successfully provisioned volume pvc-b5f17c98-3eb9-4783-928b-3d706ac27007
05:07:23 PersistentVolumeClaim datadir-test-cluster-2 934:	waiting for first consumer to be created before binding
05:07:23 PersistentVolumeClaim datadir-test-cluster-2 947:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
05:07:23 PersistentVolumeClaim datadir-test-cluster-2 947:	External provisioner is provisioning volume for claim "cockroach-operator-system/datadir-test-cluster-2"
05:07:28 PersistentVolumeClaim datadir-test-cluster-2 947:	Successfully provisioned volume pvc-bd540515-7466-40a3-99b8-e25b287bff61
05:07:27 Pod test-cluster-0 923:	Successfully assigned cockroach-operator-system/test-cluster-0 to acto-cluster-9-worker3
05:07:28 Pod test-cluster-0 993:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:07:28 Pod test-cluster-0 993:	Created container db-init
05:07:28 Pod test-cluster-0 993:	Started container db-init
05:07:29 Pod test-cluster-0 993:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:07:29 Pod test-cluster-0 993:	Created container db
05:07:29 Pod test-cluster-0 993:	Started container db
05:09:39 Pod test-cluster-0 993:	Stopping container db
05:10:12 Pod test-cluster-0 1435:	Successfully assigned cockroach-operator-system/test-cluster-0 to acto-cluster-9-worker3
05:10:13 Pod test-cluster-0 1436:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:10:13 Pod test-cluster-0 1436:	Created container db-init
05:10:13 Pod test-cluster-0 1436:	Started container db-init
05:10:13 Pod test-cluster-0 1436:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:10:13 Pod test-cluster-0 1436:	Created container db
05:10:13 Pod test-cluster-0 1436:	Started container db
05:11:52 Pod test-cluster-0 1436:	Readiness probe failed: HTTP probe failed with statuscode: 503
05:12:12 Pod test-cluster-0 1436:	Stopping container db
05:12:40 Pod test-cluster-0 1843:	Successfully assigned cockroach-operator-system/test-cluster-0 to acto-cluster-9-worker3
05:12:41 Pod test-cluster-0 1844:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:12:41 Pod test-cluster-0 1844:	Created container db-init
05:12:41 Pod test-cluster-0 1844:	Started container db-init
05:12:41 Pod test-cluster-0 1844:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:12:41 Pod test-cluster-0 1844:	Created container db
05:12:42 Pod test-cluster-0 1844:	Started container db
05:14:20 Pod test-cluster-0 1844:	Readiness probe failed: HTTP probe failed with statuscode: 503
05:14:37 Pod test-cluster-0 1844:	Stopping container db
05:15:08 Pod test-cluster-0 2244:	Successfully assigned cockroach-operator-system/test-cluster-0 to acto-cluster-9-worker3
05:15:09 Pod test-cluster-0 2245:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:15:09 Pod test-cluster-0 2245:	Created container db-init
05:15:09 Pod test-cluster-0 2245:	Started container db-init
05:15:10 Pod test-cluster-0 2245:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:15:10 Pod test-cluster-0 2245:	Created container db
05:15:10 Pod test-cluster-0 2245:	Started container db
05:17:23 Pod test-cluster-0 2245:	Stopping container db
05:17:55 Pod test-cluster-0 2633:	Successfully assigned cockroach-operator-system/test-cluster-0 to acto-cluster-9-worker3
05:17:56 Pod test-cluster-0 2635:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:17:56 Pod test-cluster-0 2635:	Created container db-init
05:17:56 Pod test-cluster-0 2635:	Started container db-init
05:17:56 Pod test-cluster-0 2635:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:17:56 Pod test-cluster-0 2635:	Created container db
05:17:56 Pod test-cluster-0 2635:	Started container db
