04:40:36 Pod cockroach-operator-manager-57b7fbd794-pkf4d 747:	Successfully assigned cockroach-operator-system/cockroach-operator-manager-57b7fbd794-pkf4d to acto-cluster-15-worker2
04:40:36 Pod cockroach-operator-manager-57b7fbd794-pkf4d 750:	Container image "cockroachdb/cockroach-operator:v2.7.0" already present on machine
04:40:36 Pod cockroach-operator-manager-57b7fbd794-pkf4d 750:	Created container cockroach-operator
04:40:37 Pod cockroach-operator-manager-57b7fbd794-pkf4d 750:	Started container cockroach-operator
04:41:27 Pod cockroach-operator-manager-57b7fbd794-pkf4d 750:	Stopping container cockroach-operator
04:40:36 ReplicaSet cockroach-operator-manager-57b7fbd794 743:	Created pod: cockroach-operator-manager-57b7fbd794-pkf4d
04:41:27 ReplicaSet cockroach-operator-manager-57b7fbd794 868:	Deleted pod: cockroach-operator-manager-57b7fbd794-pkf4d
04:41:26 Pod cockroach-operator-manager-64c489884-bchdc 850:	Successfully assigned cockroach-operator-system/cockroach-operator-manager-64c489884-bchdc to acto-cluster-15-worker3
04:41:27 Pod cockroach-operator-manager-64c489884-bchdc 852:	Container image "cockroachdb/cockroach-operator:v2.7.0" already present on machine
04:41:27 Pod cockroach-operator-manager-64c489884-bchdc 852:	Created container cockroach-operator
04:41:27 Pod cockroach-operator-manager-64c489884-bchdc 852:	Started container cockroach-operator
04:41:26 ReplicaSet cockroach-operator-manager-64c489884 847:	Created pod: cockroach-operator-manager-64c489884-bchdc
04:40:36 Deployment cockroach-operator-manager 742:	Scaled up replica set cockroach-operator-manager-57b7fbd794 to 1
04:41:26 Deployment cockroach-operator-manager 846:	Scaled up replica set cockroach-operator-manager-64c489884 to 1
04:41:27 Deployment cockroach-operator-manager 858:	Scaled down replica set cockroach-operator-manager-57b7fbd794 to 0
04:42:35 PersistentVolumeClaim datadir-test-cluster-0 1038:	waiting for first consumer to be created before binding
04:49:46 PersistentVolumeClaim datadir-test-cluster-0 1853:	External provisioner is provisioning volume for claim "cockroach-operator-system/datadir-test-cluster-0"
04:49:51 PersistentVolumeClaim datadir-test-cluster-0 1853:	Successfully provisioned volume pvc-651f7dfc-9dfd-4e88-9942-21020981026e
04:49:46 PersistentVolumeClaim datadir-test-cluster-1 1844:	waiting for first consumer to be created before binding
04:49:46 PersistentVolumeClaim datadir-test-cluster-1 1859:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
04:49:46 PersistentVolumeClaim datadir-test-cluster-1 1859:	External provisioner is provisioning volume for claim "cockroach-operator-system/datadir-test-cluster-1"
04:49:50 PersistentVolumeClaim datadir-test-cluster-1 1859:	Successfully provisioned volume pvc-0aaa7fe6-3313-4597-a20c-2f3f131ea028
04:49:46 PersistentVolumeClaim datadir-test-cluster-2 1855:	waiting for first consumer to be created before binding
04:49:46 PersistentVolumeClaim datadir-test-cluster-2 1866:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
04:49:46 PersistentVolumeClaim datadir-test-cluster-2 1866:	External provisioner is provisioning volume for claim "cockroach-operator-system/datadir-test-cluster-2"
04:49:50 PersistentVolumeClaim datadir-test-cluster-2 1866:	Successfully provisioned volume pvc-6fffd9af-273f-42de-bd5b-f29a4e67b8bc
04:49:51 Pod test-cluster-0 1843:	Successfully assigned cockroach-operator-system/test-cluster-0 to acto-cluster-15-worker2
04:49:52 Pod test-cluster-0 1926:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:49:52 Pod test-cluster-0 1926:	Created container db-init
04:49:52 Pod test-cluster-0 1926:	Started container db-init
04:49:53 Pod test-cluster-0 1926:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:49:53 Pod test-cluster-0 1926:	Created container db
04:49:53 Pod test-cluster-0 1926:	Started container db
04:52:01 Pod test-cluster-0 1926:	Readiness probe failed: HTTP probe failed with statuscode: 503
04:52:27 Pod test-cluster-0 1926:	Stopping container db
04:52:46 Pod test-cluster-0 2413:	Successfully assigned cockroach-operator-system/test-cluster-0 to acto-cluster-15-worker2
04:52:46 Pod test-cluster-0 2414:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:52:46 Pod test-cluster-0 2414:	Created container db-init
04:52:46 Pod test-cluster-0 2414:	Started container db-init
04:52:47 Pod test-cluster-0 2414:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:52:47 Pod test-cluster-0 2414:	Created container db
04:52:47 Pod test-cluster-0 2414:	Started container db
04:54:31 Pod test-cluster-0 2414:	Readiness probe failed: HTTP probe failed with statuscode: 503
04:54:49 Pod test-cluster-0 2414:	Stopping container db
04:55:18 Pod test-cluster-0 2819:	Successfully assigned cockroach-operator-system/test-cluster-0 to acto-cluster-15-worker2
04:55:19 Pod test-cluster-0 2820:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:55:19 Pod test-cluster-0 2820:	Created container db-init
04:55:19 Pod test-cluster-0 2820:	Started container db-init
04:55:20 Pod test-cluster-0 2820:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:55:20 Pod test-cluster-0 2820:	Created container db
04:55:20 Pod test-cluster-0 2820:	Started container db
04:57:03 Pod test-cluster-0 2820:	Readiness probe failed: HTTP probe failed with statuscode: 503
04:57:19 Pod test-cluster-0 2820:	Stopping container db
04:49:50 Pod test-cluster-1 1852:	Successfully assigned cockroach-operator-system/test-cluster-1 to acto-cluster-15-worker3
04:49:51 Pod test-cluster-1 1904:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:49:51 Pod test-cluster-1 1904:	Created container db-init
04:49:51 Pod test-cluster-1 1904:	Started container db-init
04:49:51 Pod test-cluster-1 1904:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:49:51 Pod test-cluster-1 1904:	Created container db
04:49:52 Pod test-cluster-1 1904:	Started container db
04:50:05 Pod test-cluster-1 1904:	Readiness probe failed: HTTP probe failed with statuscode: 503
04:51:47 Pod test-cluster-1 1904:	Stopping container db
04:51:56 Pod test-cluster-1 2254:	Successfully assigned cockroach-operator-system/test-cluster-1 to acto-cluster-15-worker3
04:51:56 Pod test-cluster-1 2257:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:51:56 Pod test-cluster-1 2257:	Created container db-init
04:51:57 Pod test-cluster-1 2257:	Started container db-init
04:51:57 Pod test-cluster-1 2257:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:51:57 Pod test-cluster-1 2257:	Created container db
04:51:57 Pod test-cluster-1 2257:	Started container db
04:52:11 Pod test-cluster-1 2257:	Readiness probe failed: HTTP probe failed with statuscode: 503
04:54:14 Pod test-cluster-1 2257:	Stopping container db
04:54:21 Pod test-cluster-1 2652:	Successfully assigned cockroach-operator-system/test-cluster-1 to acto-cluster-15-worker3
04:54:22 Pod test-cluster-1 2653:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:54:22 Pod test-cluster-1 2653:	Created container db-init
04:54:22 Pod test-cluster-1 2653:	Started container db-init
04:54:23 Pod test-cluster-1 2653:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:54:23 Pod test-cluster-1 2653:	Created container db
04:54:23 Pod test-cluster-1 2653:	Started container db
04:54:36 Pod test-cluster-1 2653:	Readiness probe failed: HTTP probe failed with statuscode: 503
04:56:46 Pod test-cluster-1 2653:	Stopping container db
04:56:54 Pod test-cluster-1 3057:	Successfully assigned cockroach-operator-system/test-cluster-1 to acto-cluster-15-worker3
