00:59:04 Pod redis-operator-54fb85ff56-lv998 816:	Successfully assigned redis-operator/redis-operator-54fb85ff56-lv998 to acto-cluster-1-worker3
00:59:06 Pod redis-operator-54fb85ff56-lv998 818:	Container image "matt12313/redis-operator:v0.10.0" already present on machine
00:59:06 Pod redis-operator-54fb85ff56-lv998 818:	Created container manager
00:59:07 Pod redis-operator-54fb85ff56-lv998 818:	Started container manager
00:59:04 ReplicaSet redis-operator-54fb85ff56 813:	Created pod: redis-operator-54fb85ff56-lv998
00:58:34 Pod redis-operator-55c9f5f99d-p2f6b 717:	Successfully assigned redis-operator/redis-operator-55c9f5f99d-p2f6b to acto-cluster-1-worker3
00:58:35 Pod redis-operator-55c9f5f99d-p2f6b 721:	Container image "matt12313/redis-operator:v0.10.0" already present on machine
00:58:35 Pod redis-operator-55c9f5f99d-p2f6b 721:	Created container manager
00:58:36 Pod redis-operator-55c9f5f99d-p2f6b 721:	Started container manager
00:59:14 Pod redis-operator-55c9f5f99d-p2f6b 721:	Stopping container manager
00:58:34 ReplicaSet redis-operator-55c9f5f99d 714:	Created pod: redis-operator-55c9f5f99d-p2f6b
00:59:14 ReplicaSet redis-operator-55c9f5f99d 942:	Deleted pod: redis-operator-55c9f5f99d-p2f6b
00:58:34 Deployment redis-operator 713:	Scaled up replica set redis-operator-55c9f5f99d to 1
00:59:04 Deployment redis-operator 812:	Scaled up replica set redis-operator-54fb85ff56 to 1
00:59:14 Deployment redis-operator 823:	Scaled down replica set redis-operator-55c9f5f99d to 0
00:59:11 Pod test-cluster-follower-0 870:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-1-worker3
00:59:12 Pod test-cluster-follower-0 920:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
00:59:12 Pod test-cluster-follower-0 920:	Created container test-cluster-follower
00:59:13 Pod test-cluster-follower-0 920:	Started container test-cluster-follower
00:59:13 Pod test-cluster-follower-0 920:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
00:59:13 Pod test-cluster-follower-0 920:	Created container redis-exporter
00:59:15 Pod test-cluster-follower-0 920:	Started container redis-exporter
01:03:31 Pod test-cluster-follower-0 920:	Stopping container test-cluster-follower
01:03:31 Pod test-cluster-follower-0 920:	Stopping container redis-exporter
01:04:03 Pod test-cluster-follower-0 2065:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-1-worker3
01:04:05 Pod test-cluster-follower-0 2067:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
01:04:05 Pod test-cluster-follower-0 2067:	Created container test-cluster-follower
01:04:06 Pod test-cluster-follower-0 2067:	Started container test-cluster-follower
01:04:06 Pod test-cluster-follower-0 2067:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
01:04:06 Pod test-cluster-follower-0 2067:	Created container redis-exporter
01:04:08 Pod test-cluster-follower-0 2067:	Started container redis-exporter
01:07:12 Pod test-cluster-follower-0 2067:	Stopping container test-cluster-follower
01:07:12 Pod test-cluster-follower-0 2067:	Stopping container redis-exporter
01:07:45 Pod test-cluster-follower-0 2863:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-1-worker3
01:07:47 Pod test-cluster-follower-0 2864:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
01:07:47 Pod test-cluster-follower-0 2864:	Created container test-cluster-follower
01:07:48 Pod test-cluster-follower-0 2864:	Started container test-cluster-follower
01:07:48 Pod test-cluster-follower-0 2864:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
01:07:48 Pod test-cluster-follower-0 2864:	Created container redis-exporter
01:07:49 Pod test-cluster-follower-0 2864:	Started container redis-exporter
00:59:47 Pod test-cluster-follower-1 1033:	Successfully assigned redis-operator/test-cluster-follower-1 to acto-cluster-1-worker2
