22:50:25 Pod redis-operator-54fb85ff56-vsvh5 824:	Successfully assigned redis-operator/redis-operator-54fb85ff56-vsvh5 to acto-cluster-5-worker
22:50:26 Pod redis-operator-54fb85ff56-vsvh5 827:	Container image "matt12313/redis-operator:v0.10.0" already present on machine
22:50:26 Pod redis-operator-54fb85ff56-vsvh5 827:	Created container manager
22:50:27 Pod redis-operator-54fb85ff56-vsvh5 827:	Started container manager
22:50:25 ReplicaSet redis-operator-54fb85ff56 821:	Created pod: redis-operator-54fb85ff56-vsvh5
22:49:54 Pod redis-operator-55c9f5f99d-bgn5p 729:	Successfully assigned redis-operator/redis-operator-55c9f5f99d-bgn5p to acto-cluster-5-worker
22:49:56 Pod redis-operator-55c9f5f99d-bgn5p 730:	Container image "matt12313/redis-operator:v0.10.0" already present on machine
22:49:56 Pod redis-operator-55c9f5f99d-bgn5p 730:	Created container manager
22:49:57 Pod redis-operator-55c9f5f99d-bgn5p 730:	Started container manager
22:50:35 Pod redis-operator-55c9f5f99d-bgn5p 730:	Stopping container manager
22:49:54 ReplicaSet redis-operator-55c9f5f99d 726:	Created pod: redis-operator-55c9f5f99d-bgn5p
22:50:35 ReplicaSet redis-operator-55c9f5f99d 947:	Deleted pod: redis-operator-55c9f5f99d-bgn5p
22:49:54 Deployment redis-operator 724:	Scaled up replica set redis-operator-55c9f5f99d to 1
22:50:25 Deployment redis-operator 820:	Scaled up replica set redis-operator-54fb85ff56 to 1
22:50:35 Deployment redis-operator 831:	Scaled down replica set redis-operator-55c9f5f99d to 0
22:50:35 Pod test-cluster-follower-0 873:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-5-worker
22:50:36 Pod test-cluster-follower-0 957:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:50:36 Pod test-cluster-follower-0 957:	Created container test-cluster-follower
22:50:37 Pod test-cluster-follower-0 957:	Started container test-cluster-follower
22:50:37 Pod test-cluster-follower-0 957:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:50:37 Pod test-cluster-follower-0 957:	Created container redis-exporter
22:50:39 Pod test-cluster-follower-0 957:	Started container redis-exporter
22:54:54 Pod test-cluster-follower-0 957:	Stopping container test-cluster-follower
22:54:54 Pod test-cluster-follower-0 957:	Stopping container redis-exporter
22:55:25 Pod test-cluster-follower-0 2082:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-5-worker
22:55:27 Pod test-cluster-follower-0 2083:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:55:27 Pod test-cluster-follower-0 2083:	Created container test-cluster-follower
22:55:29 Pod test-cluster-follower-0 2083:	Started container test-cluster-follower
22:55:29 Pod test-cluster-follower-0 2083:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:55:29 Pod test-cluster-follower-0 2083:	Created container redis-exporter
22:55:30 Pod test-cluster-follower-0 2083:	Started container redis-exporter
22:58:35 Pod test-cluster-follower-0 2083:	Stopping container test-cluster-follower
22:58:35 Pod test-cluster-follower-0 2083:	Stopping container redis-exporter
22:59:07 Pod test-cluster-follower-0 2878:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-5-worker
22:59:10 Pod test-cluster-follower-0 2879:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:59:10 Pod test-cluster-follower-0 2879:	Created container test-cluster-follower
