23:32:10 Pod redis-operator-54fb85ff56-7cznw 837:	Successfully assigned redis-operator/redis-operator-54fb85ff56-7cznw to acto-cluster-11-worker
23:32:11 Pod redis-operator-54fb85ff56-7cznw 838:	Container image "matt12313/redis-operator:v0.10.0" already present on machine
23:32:11 Pod redis-operator-54fb85ff56-7cznw 838:	Created container manager
23:32:13 Pod redis-operator-54fb85ff56-7cznw 838:	Started container manager
23:32:10 ReplicaSet redis-operator-54fb85ff56 834:	Created pod: redis-operator-54fb85ff56-7cznw
23:31:40 Pod redis-operator-55c9f5f99d-w72r8 743:	Successfully assigned redis-operator/redis-operator-55c9f5f99d-w72r8 to acto-cluster-11-worker2
23:31:42 Pod redis-operator-55c9f5f99d-w72r8 746:	Container image "matt12313/redis-operator:v0.10.0" already present on machine
23:31:42 Pod redis-operator-55c9f5f99d-w72r8 746:	Created container manager
23:31:43 Pod redis-operator-55c9f5f99d-w72r8 746:	Started container manager
23:32:20 Pod redis-operator-55c9f5f99d-w72r8 746:	Stopping container manager
23:31:40 ReplicaSet redis-operator-55c9f5f99d 740:	Created pod: redis-operator-55c9f5f99d-w72r8
23:32:20 ReplicaSet redis-operator-55c9f5f99d 958:	Deleted pod: redis-operator-55c9f5f99d-w72r8
23:31:40 Deployment redis-operator 739:	Scaled up replica set redis-operator-55c9f5f99d to 1
23:32:10 Deployment redis-operator 833:	Scaled up replica set redis-operator-54fb85ff56 to 1
23:32:20 Deployment redis-operator 844:	Scaled down replica set redis-operator-55c9f5f99d to 0
23:32:18 Pod test-cluster-follower-0 891:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-11-worker3
23:32:19 Pod test-cluster-follower-0 947:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:32:19 Pod test-cluster-follower-0 947:	Created container test-cluster-follower
23:32:21 Pod test-cluster-follower-0 947:	Started container test-cluster-follower
23:32:21 Pod test-cluster-follower-0 947:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:32:21 Pod test-cluster-follower-0 947:	Created container redis-exporter
23:32:22 Pod test-cluster-follower-0 947:	Started container redis-exporter
23:36:38 Pod test-cluster-follower-0 947:	Stopping container test-cluster-follower
23:36:38 Pod test-cluster-follower-0 947:	Stopping container redis-exporter
23:37:08 Pod test-cluster-follower-0 2095:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-11-worker3
23:37:10 Pod test-cluster-follower-0 2096:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:37:10 Pod test-cluster-follower-0 2096:	Created container test-cluster-follower
23:37:12 Pod test-cluster-follower-0 2096:	Started container test-cluster-follower
23:37:12 Pod test-cluster-follower-0 2096:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:37:12 Pod test-cluster-follower-0 2096:	Created container redis-exporter
23:37:13 Pod test-cluster-follower-0 2096:	Started container redis-exporter
23:40:19 Pod test-cluster-follower-0 2096:	Stopping container test-cluster-follower
23:40:19 Pod test-cluster-follower-0 2096:	Stopping container redis-exporter
23:40:50 Pod test-cluster-follower-0 2882:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-11-worker3
23:40:52 Pod test-cluster-follower-0 2885:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:40:52 Pod test-cluster-follower-0 2885:	Created container test-cluster-follower
23:40:53 Pod test-cluster-follower-0 2885:	Started container test-cluster-follower
23:40:53 Pod test-cluster-follower-0 2885:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:40:54 Pod test-cluster-follower-0 2885:	Created container redis-exporter
23:40:55 Pod test-cluster-follower-0 2885:	Started container redis-exporter
23:44:01 Pod test-cluster-follower-0 2885:	Stopping container test-cluster-follower
23:44:01 Pod test-cluster-follower-0 2885:	Stopping container redis-exporter
23:44:31 Pod test-cluster-follower-0 3695:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-11-worker3
23:44:33 Pod test-cluster-follower-0 3696:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:44:33 Pod test-cluster-follower-0 3696:	Created container test-cluster-follower
23:44:34 Pod test-cluster-follower-0 3696:	Started container test-cluster-follower
23:44:34 Pod test-cluster-follower-0 3696:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:44:34 Pod test-cluster-follower-0 3696:	Created container redis-exporter
23:44:36 Pod test-cluster-follower-0 3696:	Started container redis-exporter
23:47:42 Pod test-cluster-follower-0 3696:	Stopping container test-cluster-follower
23:47:42 Pod test-cluster-follower-0 3696:	Stopping container redis-exporter
23:48:15 Pod test-cluster-follower-0 4497:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-11-worker3
23:48:18 Pod test-cluster-follower-0 4498:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
