22:42:55 Pod redis-operator-54fb85ff56-tzxjs 831:	Successfully assigned redis-operator/redis-operator-54fb85ff56-tzxjs to acto-cluster-15-worker2
22:42:57 Pod redis-operator-54fb85ff56-tzxjs 832:	Container image "matt12313/redis-operator:v0.10.0" already present on machine
22:42:57 Pod redis-operator-54fb85ff56-tzxjs 832:	Created container manager
22:42:58 Pod redis-operator-54fb85ff56-tzxjs 832:	Started container manager
22:42:55 ReplicaSet redis-operator-54fb85ff56 828:	Created pod: redis-operator-54fb85ff56-tzxjs
22:42:20 Pod redis-operator-55c9f5f99d-59knd 724:	Successfully assigned redis-operator/redis-operator-55c9f5f99d-59knd to acto-cluster-15-worker2
22:42:21 Pod redis-operator-55c9f5f99d-59knd 727:	Container image "matt12313/redis-operator:v0.10.0" already present on machine
22:42:21 Pod redis-operator-55c9f5f99d-59knd 727:	Created container manager
22:42:23 Pod redis-operator-55c9f5f99d-59knd 727:	Started container manager
22:43:05 Pod redis-operator-55c9f5f99d-59knd 727:	Stopping container manager
22:42:20 ReplicaSet redis-operator-55c9f5f99d 721:	Created pod: redis-operator-55c9f5f99d-59knd
22:43:05 ReplicaSet redis-operator-55c9f5f99d 955:	Deleted pod: redis-operator-55c9f5f99d-59knd
22:42:20 Deployment redis-operator 720:	Scaled up replica set redis-operator-55c9f5f99d to 1
22:42:55 Deployment redis-operator 827:	Scaled up replica set redis-operator-54fb85ff56 to 1
22:43:05 Deployment redis-operator 839:	Scaled down replica set redis-operator-55c9f5f99d to 0
22:43:03 Pod test-cluster-follower-0 882:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-15-worker2
22:43:05 Pod test-cluster-follower-0 941:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:43:05 Pod test-cluster-follower-0 941:	Created container test-cluster-follower
22:43:06 Pod test-cluster-follower-0 941:	Started container test-cluster-follower
22:43:06 Pod test-cluster-follower-0 941:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:43:06 Pod test-cluster-follower-0 941:	Created container redis-exporter
22:43:07 Pod test-cluster-follower-0 941:	Started container redis-exporter
22:47:22 Pod test-cluster-follower-0 941:	Stopping container test-cluster-follower
22:47:22 Pod test-cluster-follower-0 941:	Stopping container redis-exporter
