08:22:58 Pod redisoperator-56c8dfdfb-spmxs 785:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-spmxs to acto-cluster-0-worker2
08:23:00 Pod redisoperator-56c8dfdfb-spmxs 788:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:23:00 Pod redisoperator-56c8dfdfb-spmxs 788:	Created container app
08:23:02 Pod redisoperator-56c8dfdfb-spmxs 788:	Started container app
08:22:58 ReplicaSet redisoperator-56c8dfdfb 782:	Created pod: redisoperator-56c8dfdfb-spmxs
08:22:28 Pod redisoperator-6445768794-fh88q 714:	Successfully assigned acto-namespace/redisoperator-6445768794-fh88q to acto-cluster-0-worker3
08:22:29 Pod redisoperator-6445768794-fh88q 718:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:22:29 Pod redisoperator-6445768794-fh88q 718:	Created container app
08:22:31 Pod redisoperator-6445768794-fh88q 718:	Started container app
08:23:02 Pod redisoperator-6445768794-fh88q 718:	Stopping container app
08:22:28 ReplicaSet redisoperator-6445768794 709:	Created pod: redisoperator-6445768794-fh88q
08:23:02 ReplicaSet redisoperator-6445768794 880:	Deleted pod: redisoperator-6445768794-fh88q
08:22:28 Deployment redisoperator 707:	Scaled up replica set redisoperator-6445768794 to 1
08:22:58 Deployment redisoperator 781:	Scaled up replica set redisoperator-56c8dfdfb to 1
08:23:02 Deployment redisoperator 792:	Scaled down replica set redisoperator-6445768794 to 0
08:23:01 Pod rfr-test-cluster-0 817:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-0-worker2
08:23:05 Pod rfr-test-cluster-0 820:	Container image "redis:6.2.6-alpine" already present on machine
08:23:05 Pod rfr-test-cluster-0 820:	Created container redis
08:23:05 Pod rfr-test-cluster-0 820:	Started container redis
08:23:05 Pod rfr-test-cluster-0 820:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:23:05 Pod rfr-test-cluster-0 820:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 469.884537ms
08:23:05 Pod rfr-test-cluster-0 820:	Created container redis-exporter
08:23:09 Pod rfr-test-cluster-0 820:	Started container redis-exporter
08:23:41 Pod rfr-test-cluster-0 820:	Readiness probe failed: 
08:28:04 Pod rfr-test-cluster-0 820:	Stopping container redis
08:28:04 Pod rfr-test-cluster-0 820:	Stopping container redis-exporter
08:37:17 Pod rfr-test-cluster-0 2460:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-0-worker
08:37:18 Pod rfr-test-cluster-0 2461:	Container image "redis:6.2.6-alpine" already present on machine
08:37:18 Pod rfr-test-cluster-0 2461:	Created container redis
08:37:18 Pod rfr-test-cluster-0 2461:	Started container redis
08:37:18 Pod rfr-test-cluster-0 2461:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:37:18 Pod rfr-test-cluster-0 2461:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 121.75722ms
08:37:18 Pod rfr-test-cluster-0 2461:	Created container redis-exporter
08:37:21 Pod rfr-test-cluster-0 2461:	Started container redis-exporter
08:37:57 Pod rfr-test-cluster-0 2461:	Readiness probe failed: 
08:23:01 Pod rfr-test-cluster-1 822:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-0-worker3
08:23:05 Pod rfr-test-cluster-1 824:	Container image "redis:6.2.6-alpine" already present on machine
08:23:05 Pod rfr-test-cluster-1 824:	Created container redis
08:23:05 Pod rfr-test-cluster-1 824:	Started container redis
08:23:05 Pod rfr-test-cluster-1 824:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:23:05 Pod rfr-test-cluster-1 824:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 250.624705ms
08:23:05 Pod rfr-test-cluster-1 824:	Created container redis-exporter
08:23:09 Pod rfr-test-cluster-1 824:	Started container redis-exporter
