05:42:48 Pod redisoperator-56c8dfdfb-6j9ng 794:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-6j9ng to acto-cluster-1-worker
05:42:50 Pod redisoperator-56c8dfdfb-6j9ng 796:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
05:42:50 Pod redisoperator-56c8dfdfb-6j9ng 796:	Created container app
05:42:52 Pod redisoperator-56c8dfdfb-6j9ng 796:	Started container app
05:42:48 ReplicaSet redisoperator-56c8dfdfb 791:	Created pod: redisoperator-56c8dfdfb-6j9ng
05:42:18 Pod redisoperator-6445768794-lw67n 726:	Successfully assigned acto-namespace/redisoperator-6445768794-lw67n to acto-cluster-1-worker
05:42:20 Pod redisoperator-6445768794-lw67n 729:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
05:42:20 Pod redisoperator-6445768794-lw67n 729:	Created container app
05:42:21 Pod redisoperator-6445768794-lw67n 729:	Started container app
05:42:52 Pod redisoperator-6445768794-lw67n 729:	Stopping container app
05:42:18 ReplicaSet redisoperator-6445768794 723:	Created pod: redisoperator-6445768794-lw67n
05:42:52 ReplicaSet redisoperator-6445768794 813:	Deleted pod: redisoperator-6445768794-lw67n
05:42:18 Deployment redisoperator 719:	Scaled up replica set redisoperator-6445768794 to 1
05:42:48 Deployment redisoperator 790:	Scaled up replica set redisoperator-56c8dfdfb to 1
05:42:52 Deployment redisoperator 801:	Scaled down replica set redisoperator-6445768794 to 0
05:43:23 Pod rfr-test-cluster-0 891:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-1-worker2
05:43:38 Pod rfr-test-cluster-0 895:	Container image "redis:6.2.6-alpine" already present on machine
05:43:38 Pod rfr-test-cluster-0 895:	Created container redis
05:43:39 Pod rfr-test-cluster-0 895:	Started container redis
05:43:39 Pod rfr-test-cluster-0 895:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
05:43:39 Pod rfr-test-cluster-0 895:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 241.883046ms
05:43:40 Pod rfr-test-cluster-0 895:	Created container redis-exporter
05:43:43 Pod rfr-test-cluster-0 895:	Started container redis-exporter
05:44:13 Pod rfr-test-cluster-0 895:	Readiness probe failed: 
05:47:23 Pod rfr-test-cluster-0 895:	Stopping container redis
05:47:23 Pod rfr-test-cluster-0 895:	Stopping container redis-exporter
05:56:32 Pod rfr-test-cluster-0 2394:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-1-worker3
05:56:32 Pod rfr-test-cluster-0 2397:	Container image "redis:6.2.6-alpine" already present on machine
05:56:32 Pod rfr-test-cluster-0 2397:	Created container redis
05:56:33 Pod rfr-test-cluster-0 2397:	Started container redis
05:56:33 Pod rfr-test-cluster-0 2397:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
05:56:33 Pod rfr-test-cluster-0 2397:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 115.708308ms
05:56:33 Pod rfr-test-cluster-0 2397:	Created container redis-exporter
05:56:36 Pod rfr-test-cluster-0 2397:	Started container redis-exporter
05:57:12 Pod rfr-test-cluster-0 2397:	Readiness probe failed: 
05:43:23 Pod rfr-test-cluster-1 892:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-1-worker
05:43:38 Pod rfr-test-cluster-1 899:	Container image "redis:6.2.6-alpine" already present on machine
05:43:38 Pod rfr-test-cluster-1 899:	Created container redis
05:43:39 Pod rfr-test-cluster-1 899:	Started container redis
05:43:39 Pod rfr-test-cluster-1 899:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
05:43:39 Pod rfr-test-cluster-1 899:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 239.333801ms
05:43:40 Pod rfr-test-cluster-1 899:	Created container redis-exporter
05:43:43 Pod rfr-test-cluster-1 899:	Started container redis-exporter
05:44:13 Pod rfr-test-cluster-1 899:	Readiness probe failed: 
05:46:26 Pod rfr-test-cluster-1 899:	Stopping container redis
05:46:26 Pod rfr-test-cluster-1 899:	Stopping container redis-exporter
