06:01:59 Pod redisoperator-56c8dfdfb-bv946 805:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-bv946 to acto-cluster-1-worker
06:02:01 Pod redisoperator-56c8dfdfb-bv946 807:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:02:01 Pod redisoperator-56c8dfdfb-bv946 807:	Created container app
06:02:03 Pod redisoperator-56c8dfdfb-bv946 807:	Started container app
06:01:59 ReplicaSet redisoperator-56c8dfdfb 802:	Created pod: redisoperator-56c8dfdfb-bv946
06:01:24 Pod redisoperator-6445768794-lckzl 732:	Successfully assigned acto-namespace/redisoperator-6445768794-lckzl to acto-cluster-1-worker
06:01:30 Pod redisoperator-6445768794-lckzl 735:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:01:32 Pod redisoperator-6445768794-lckzl 735:	Created container app
06:01:34 Pod redisoperator-6445768794-lckzl 735:	Started container app
06:02:04 Pod redisoperator-6445768794-lckzl 735:	Stopping container app
06:01:24 ReplicaSet redisoperator-6445768794 728:	Created pod: redisoperator-6445768794-lckzl
06:02:04 ReplicaSet redisoperator-6445768794 910:	Deleted pod: redisoperator-6445768794-lckzl
06:01:24 Deployment redisoperator 725:	Scaled up replica set redisoperator-6445768794 to 1
06:01:59 Deployment redisoperator 801:	Scaled up replica set redisoperator-56c8dfdfb to 1
06:02:04 Deployment redisoperator 813:	Scaled down replica set redisoperator-6445768794 to 0
06:02:02 Pod rfr-test-cluster-0 840:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-1-worker3
06:02:03 Pod rfr-test-cluster-0 845:	Container image "redis:6.2.6-alpine" already present on machine
06:02:03 Pod rfr-test-cluster-0 845:	Created container redis
06:02:04 Pod rfr-test-cluster-0 845:	Started container redis
06:02:04 Pod rfr-test-cluster-0 845:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:02:04 Pod rfr-test-cluster-0 845:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 319.640439ms
06:02:05 Pod rfr-test-cluster-0 845:	Created container redis-exporter
06:02:07 Pod rfr-test-cluster-0 845:	Started container redis-exporter
06:02:42 Pod rfr-test-cluster-0 845:	Readiness probe failed: 
06:23:35 Pod rfr-test-cluster-0 845:	Stopping container redis
06:23:35 Pod rfr-test-cluster-0 845:	Stopping container redis-exporter
06:33:03 Pod rfr-test-cluster-0 4852:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-1-worker
06:33:04 Pod rfr-test-cluster-0 4853:	Container image "redis:6.2.6-alpine" already present on machine
06:33:04 Pod rfr-test-cluster-0 4853:	Created container redis
06:33:04 Pod rfr-test-cluster-0 4853:	Started container redis
06:33:04 Pod rfr-test-cluster-0 4853:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:33:04 Pod rfr-test-cluster-0 4853:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 107.792898ms
06:33:04 Pod rfr-test-cluster-0 4853:	Created container redis-exporter
06:33:07 Pod rfr-test-cluster-0 4853:	Started container redis-exporter
06:33:45 Pod rfr-test-cluster-0 4853:	Readiness probe failed: 
06:02:02 Pod rfr-test-cluster-1 843:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-1-worker
06:02:03 Pod rfr-test-cluster-1 850:	Container image "redis:6.2.6-alpine" already present on machine
06:02:03 Pod rfr-test-cluster-1 850:	Created container redis
06:02:04 Pod rfr-test-cluster-1 850:	Started container redis
06:02:04 Pod rfr-test-cluster-1 850:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:02:04 Pod rfr-test-cluster-1 850:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 315.481143ms
06:02:04 Pod rfr-test-cluster-1 850:	Created container redis-exporter
