06:38:02 Pod redisoperator-56c8dfdfb-zwf98 808:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-zwf98 to acto-cluster-1-worker3
06:38:05 Pod redisoperator-56c8dfdfb-zwf98 810:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:38:05 Pod redisoperator-56c8dfdfb-zwf98 810:	Created container app
06:38:07 Pod redisoperator-56c8dfdfb-zwf98 810:	Started container app
06:38:02 ReplicaSet redisoperator-56c8dfdfb 805:	Created pod: redisoperator-56c8dfdfb-zwf98
06:37:32 Pod redisoperator-6445768794-t85fp 741:	Successfully assigned acto-namespace/redisoperator-6445768794-t85fp to acto-cluster-1-worker3
06:37:36 Pod redisoperator-6445768794-t85fp 745:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:37:36 Pod redisoperator-6445768794-t85fp 745:	Created container app
06:37:38 Pod redisoperator-6445768794-t85fp 745:	Started container app
06:38:07 Pod redisoperator-6445768794-t85fp 745:	Stopping container app
06:37:32 ReplicaSet redisoperator-6445768794 732:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
06:37:32 ReplicaSet redisoperator-6445768794 738:	Created pod: redisoperator-6445768794-t85fp
06:38:07 ReplicaSet redisoperator-6445768794 922:	Deleted pod: redisoperator-6445768794-t85fp
06:37:32 Deployment redisoperator 731:	Scaled up replica set redisoperator-6445768794 to 1
06:38:02 Deployment redisoperator 804:	Scaled up replica set redisoperator-56c8dfdfb to 1
06:38:07 Deployment redisoperator 815:	Scaled down replica set redisoperator-6445768794 to 0
06:38:05 Pod rfr-test-cluster-0 841:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-1-worker2
06:38:05 Pod rfr-test-cluster-0 843:	Container image "redis:6.2.6-alpine" already present on machine
06:38:05 Pod rfr-test-cluster-0 843:	Created container redis
06:38:06 Pod rfr-test-cluster-0 843:	Started container redis
06:38:06 Pod rfr-test-cluster-0 843:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:38:06 Pod rfr-test-cluster-0 843:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 294.385285ms
06:38:06 Pod rfr-test-cluster-0 843:	Created container redis-exporter
06:38:09 Pod rfr-test-cluster-0 843:	Started container redis-exporter
06:38:45 Pod rfr-test-cluster-0 843:	Readiness probe failed: 
06:41:38 Pod rfr-test-cluster-0 843:	Stopping container redis
06:41:38 Pod rfr-test-cluster-0 843:	Stopping container redis-exporter
06:38:05 Pod rfr-test-cluster-1 842:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-1-worker3
06:38:05 Pod rfr-test-cluster-1 851:	Container image "redis:6.2.6-alpine" already present on machine
06:38:05 Pod rfr-test-cluster-1 851:	Created container redis
06:38:06 Pod rfr-test-cluster-1 851:	Started container redis
06:38:06 Pod rfr-test-cluster-1 851:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:38:06 Pod rfr-test-cluster-1 851:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 261.180155ms
06:38:06 Pod rfr-test-cluster-1 851:	Created container redis-exporter
06:38:09 Pod rfr-test-cluster-1 851:	Started container redis-exporter
06:38:45 Pod rfr-test-cluster-1 851:	Readiness probe failed: 
06:41:07 Pod rfr-test-cluster-1 851:	Stopping container redis
06:41:07 Pod rfr-test-cluster-1 851:	Stopping container redis-exporter
06:38:05 Pod rfr-test-cluster-2 849:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-1-worker
06:38:05 Pod rfr-test-cluster-2 853:	Container image "redis:6.2.6-alpine" already present on machine
06:38:05 Pod rfr-test-cluster-2 853:	Created container redis
06:38:06 Pod rfr-test-cluster-2 853:	Started container redis
06:38:06 Pod rfr-test-cluster-2 853:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:38:06 Pod rfr-test-cluster-2 853:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 243.043947ms
06:38:06 Pod rfr-test-cluster-2 853:	Created container redis-exporter
06:38:09 Pod rfr-test-cluster-2 853:	Started container redis-exporter
06:38:45 Pod rfr-test-cluster-2 853:	Readiness probe failed: 
06:41:09 Pod rfr-test-cluster-2 853:	Stopping container redis
06:41:09 Pod rfr-test-cluster-2 853:	Stopping container redis-exporter
06:38:05 PodDisruptionBudget rfr-test-cluster 834:	No matching pods found
06:38:05 StatefulSet rfr-test-cluster 837:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
06:38:05 StatefulSet rfr-test-cluster 837:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
06:38:05 StatefulSet rfr-test-cluster 837:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
06:41:09 StatefulSet rfr-test-cluster 1349:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom: Invalid value: "": must specify one of: `fieldRef`, `resourceFieldRef`, `configMapKeyRef` or `secretKeyRef`
06:41:40 StatefulSet rfr-test-cluster 1349:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom: Invalid value: "": must specify one of: `fieldRef`, `resourceFieldRef`, `configMapKeyRef` or `secretKeyRef`
06:38:05 Pod rfs-test-cluster-54df69f8df-hz98k 874:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-hz98k to acto-cluster-1-worker3
06:38:05 Pod rfs-test-cluster-54df69f8df-hz98k 880:	Container image "redis:6.2.6-alpine" already present on machine
06:38:05 Pod rfs-test-cluster-54df69f8df-hz98k 880:	Created container sentinel-config-copy
06:38:20 Pod rfs-test-cluster-54df69f8df-hz98k 880:	Started container sentinel-config-copy
06:38:22 Pod rfs-test-cluster-54df69f8df-hz98k 880:	Container image "redis:6.2.6-alpine" already present on machine
06:38:22 Pod rfs-test-cluster-54df69f8df-hz98k 880:	Created container sentinel
06:38:22 Pod rfs-test-cluster-54df69f8df-hz98k 880:	Started container sentinel
06:44:26 Pod rfs-test-cluster-54df69f8df-hz98k 880:	Stopping container sentinel
06:38:05 Pod rfs-test-cluster-54df69f8df-lcb98 871:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-lcb98 to acto-cluster-1-worker2
06:38:05 Pod rfs-test-cluster-54df69f8df-lcb98 878:	Container image "redis:6.2.6-alpine" already present on machine
