06:54:43 Pod redisoperator-56c8dfdfb-xtj6x 798:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-xtj6x to acto-cluster-2-worker3
06:54:45 Pod redisoperator-56c8dfdfb-xtj6x 801:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:54:45 Pod redisoperator-56c8dfdfb-xtj6x 801:	Created container app
06:54:48 Pod redisoperator-56c8dfdfb-xtj6x 801:	Started container app
06:54:43 ReplicaSet redisoperator-56c8dfdfb 795:	Created pod: redisoperator-56c8dfdfb-xtj6x
06:54:13 Pod redisoperator-6445768794-5mdpm 728:	Successfully assigned acto-namespace/redisoperator-6445768794-5mdpm to acto-cluster-2-worker3
06:54:14 Pod redisoperator-6445768794-5mdpm 730:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:54:14 Pod redisoperator-6445768794-5mdpm 730:	Created container app
06:54:16 Pod redisoperator-6445768794-5mdpm 730:	Started container app
06:54:48 Pod redisoperator-6445768794-5mdpm 730:	Stopping container app
06:54:13 ReplicaSet redisoperator-6445768794 724:	Created pod: redisoperator-6445768794-5mdpm
06:54:48 ReplicaSet redisoperator-6445768794 915:	Deleted pod: redisoperator-6445768794-5mdpm
06:54:13 Deployment redisoperator 721:	Scaled up replica set redisoperator-6445768794 to 1
06:54:43 Deployment redisoperator 794:	Scaled up replica set redisoperator-56c8dfdfb to 1
06:54:48 Deployment redisoperator 805:	Scaled down replica set redisoperator-6445768794 to 0
06:54:46 Pod rfr-test-cluster-0 830:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-2-worker
06:54:47 Pod rfr-test-cluster-0 834:	Container image "redis:6.2.6-alpine" already present on machine
06:54:47 Pod rfr-test-cluster-0 834:	Created container redis
06:54:48 Pod rfr-test-cluster-0 834:	Started container redis
06:54:48 Pod rfr-test-cluster-0 834:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:54:48 Pod rfr-test-cluster-0 834:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 237.661473ms
06:54:48 Pod rfr-test-cluster-0 834:	Created container redis-exporter
06:54:51 Pod rfr-test-cluster-0 834:	Started container redis-exporter
06:55:27 Pod rfr-test-cluster-0 834:	Readiness probe failed: 
06:58:19 Pod rfr-test-cluster-0 834:	Stopping container redis
06:58:19 Pod rfr-test-cluster-0 834:	Stopping container redis-exporter
07:07:50 Pod rfr-test-cluster-0 2353:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-2-worker3
07:07:51 Pod rfr-test-cluster-0 2355:	Container image "redis:6.2.6-alpine" already present on machine
07:07:51 Pod rfr-test-cluster-0 2355:	Created container redis
07:07:51 Pod rfr-test-cluster-0 2355:	Started container redis
07:07:51 Pod rfr-test-cluster-0 2355:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:07:51 Pod rfr-test-cluster-0 2355:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 122.975718ms
