07:36:32 Pod redisoperator-56c8dfdfb-sqw65 802:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-sqw65 to acto-cluster-2-worker3
07:36:33 Pod redisoperator-56c8dfdfb-sqw65 805:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:36:33 Pod redisoperator-56c8dfdfb-sqw65 805:	Created container app
07:36:35 Pod redisoperator-56c8dfdfb-sqw65 805:	Started container app
07:36:32 ReplicaSet redisoperator-56c8dfdfb 799:	Created pod: redisoperator-56c8dfdfb-sqw65
07:36:01 Pod redisoperator-6445768794-2bv5b 730:	Successfully assigned acto-namespace/redisoperator-6445768794-2bv5b to acto-cluster-2-worker2
07:36:03 Pod redisoperator-6445768794-2bv5b 735:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:36:03 Pod redisoperator-6445768794-2bv5b 735:	Created container app
07:36:04 Pod redisoperator-6445768794-2bv5b 735:	Started container app
07:36:35 Pod redisoperator-6445768794-2bv5b 735:	Stopping container app
07:36:01 ReplicaSet redisoperator-6445768794 722:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
07:36:01 ReplicaSet redisoperator-6445768794 728:	Created pod: redisoperator-6445768794-2bv5b
07:36:35 ReplicaSet redisoperator-6445768794 889:	Deleted pod: redisoperator-6445768794-2bv5b
07:36:01 Deployment redisoperator 720:	Scaled up replica set redisoperator-6445768794 to 1
07:36:32 Deployment redisoperator 798:	Scaled up replica set redisoperator-56c8dfdfb to 1
07:36:35 Deployment redisoperator 809:	Scaled down replica set redisoperator-6445768794 to 0
07:36:34 Pod rfr-test-cluster-0 834:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-2-worker2
07:36:35 Pod rfr-test-cluster-0 838:	Container image "redis:6.2.6-alpine" already present on machine
07:36:35 Pod rfr-test-cluster-0 838:	Created container redis
07:36:35 Pod rfr-test-cluster-0 838:	Started container redis
07:36:35 Pod rfr-test-cluster-0 838:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:36:35 Pod rfr-test-cluster-0 838:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 244.414701ms
07:36:35 Pod rfr-test-cluster-0 838:	Created container redis-exporter
07:36:38 Pod rfr-test-cluster-0 838:	Started container redis-exporter
07:37:14 Pod rfr-test-cluster-0 838:	Readiness probe failed: 
07:41:36 Pod rfr-test-cluster-0 838:	Stopping container redis
07:41:36 Pod rfr-test-cluster-0 838:	Stopping container redis-exporter
07:50:40 Pod rfr-test-cluster-0 2460:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-2-worker
07:50:40 Pod rfr-test-cluster-0 2463:	Container image "redis:6.2.6-alpine" already present on machine
07:50:41 Pod rfr-test-cluster-0 2463:	Created container redis
07:50:41 Pod rfr-test-cluster-0 2463:	Started container redis
07:50:41 Pod rfr-test-cluster-0 2463:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:50:41 Pod rfr-test-cluster-0 2463:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 139.208591ms
07:50:41 Pod rfr-test-cluster-0 2463:	Created container redis-exporter
07:50:44 Pod rfr-test-cluster-0 2463:	Started container redis-exporter
07:50:45 Pod rfr-test-cluster-0 2463:	Back-off restarting failed container
07:36:34 Pod rfr-test-cluster-1 837:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-2-worker
07:36:35 Pod rfr-test-cluster-1 842:	Container image "redis:6.2.6-alpine" already present on machine
07:36:35 Pod rfr-test-cluster-1 842:	Created container redis
07:36:35 Pod rfr-test-cluster-1 842:	Started container redis
07:36:35 Pod rfr-test-cluster-1 842:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:36:35 Pod rfr-test-cluster-1 842:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 254.230138ms
07:36:35 Pod rfr-test-cluster-1 842:	Created container redis-exporter
07:36:38 Pod rfr-test-cluster-1 842:	Started container redis-exporter
07:37:14 Pod rfr-test-cluster-1 842:	Readiness probe failed: 
07:40:38 Pod rfr-test-cluster-1 842:	Stopping container redis
07:40:38 Pod rfr-test-cluster-1 842:	Stopping container redis-exporter
07:50:40 Pod rfr-test-cluster-1 2461:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-2-worker2
07:50:41 Pod rfr-test-cluster-1 2466:	Container image "redis:6.2.6-alpine" already present on machine
07:50:41 Pod rfr-test-cluster-1 2466:	Created container redis
07:50:41 Pod rfr-test-cluster-1 2466:	Started container redis
07:50:41 Pod rfr-test-cluster-1 2466:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:50:41 Pod rfr-test-cluster-1 2466:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 111.854801ms
07:50:41 Pod rfr-test-cluster-1 2466:	Created container redis-exporter
07:50:43 Pod rfr-test-cluster-1 2466:	Started container redis-exporter
07:50:44 Pod rfr-test-cluster-1 2466:	Back-off restarting failed container
07:36:34 Pod rfr-test-cluster-2 844:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-2-worker3
07:36:35 Pod rfr-test-cluster-2 848:	Container image "redis:6.2.6-alpine" already present on machine
07:36:35 Pod rfr-test-cluster-2 848:	Created container redis
07:36:35 Pod rfr-test-cluster-2 848:	Started container redis
07:36:35 Pod rfr-test-cluster-2 848:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:36:35 Pod rfr-test-cluster-2 848:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 322.294268ms
07:36:35 Pod rfr-test-cluster-2 848:	Created container redis-exporter
07:36:38 Pod rfr-test-cluster-2 848:	Started container redis-exporter
07:37:14 Pod rfr-test-cluster-2 848:	Readiness probe failed: 
07:41:06 Pod rfr-test-cluster-2 848:	Stopping container redis
07:41:06 Pod rfr-test-cluster-2 848:	Stopping container redis-exporter
07:50:40 Pod rfr-test-cluster-2 2469:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-2-worker3
07:50:40 Pod rfr-test-cluster-2 2471:	Container image "redis:6.2.6-alpine" already present on machine
07:50:40 Pod rfr-test-cluster-2 2471:	Created container redis
07:50:41 Pod rfr-test-cluster-2 2471:	Started container redis
07:50:41 Pod rfr-test-cluster-2 2471:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:50:41 Pod rfr-test-cluster-2 2471:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 136.459634ms
07:50:41 Pod rfr-test-cluster-2 2471:	Created container redis-exporter
07:50:44 Pod rfr-test-cluster-2 2471:	Started container redis-exporter
07:50:45 Pod rfr-test-cluster-2 2471:	Back-off restarting failed container
07:36:34 PodDisruptionBudget rfr-test-cluster 827:	No matching pods found
07:36:34 StatefulSet rfr-test-cluster 832:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
07:36:34 StatefulSet rfr-test-cluster 832:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
07:36:34 StatefulSet rfr-test-cluster 832:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
07:40:39 StatefulSet rfr-test-cluster 1445:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom.secretKeyRef.name: Invalid value: "ACTOKEY": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
07:41:37 StatefulSet rfr-test-cluster 1445:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom.secretKeyRef.name: Invalid value: "ACTOKEY": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
07:36:34 Pod rfs-test-cluster-54df69f8df-kp4tv 861:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-kp4tv to acto-cluster-2-worker2
07:36:35 Pod rfs-test-cluster-54df69f8df-kp4tv 865:	Container image "redis:6.2.6-alpine" already present on machine
07:36:35 Pod rfs-test-cluster-54df69f8df-kp4tv 865:	Created container sentinel-config-copy
07:36:51 Pod rfs-test-cluster-54df69f8df-kp4tv 865:	Started container sentinel-config-copy
07:36:54 Pod rfs-test-cluster-54df69f8df-kp4tv 865:	Container image "redis:6.2.6-alpine" already present on machine
07:36:54 Pod rfs-test-cluster-54df69f8df-kp4tv 865:	Created container sentinel
07:36:54 Pod rfs-test-cluster-54df69f8df-kp4tv 865:	Started container sentinel
07:36:34 Pod rfs-test-cluster-54df69f8df-m5tfm 869:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-m5tfm to acto-cluster-2-worker3
07:36:35 Pod rfs-test-cluster-54df69f8df-m5tfm 875:	Container image "redis:6.2.6-alpine" already present on machine
07:36:35 Pod rfs-test-cluster-54df69f8df-m5tfm 875:	Created container sentinel-config-copy
07:36:52 Pod rfs-test-cluster-54df69f8df-m5tfm 875:	Started container sentinel-config-copy
07:36:54 Pod rfs-test-cluster-54df69f8df-m5tfm 875:	Container image "redis:6.2.6-alpine" already present on machine
07:36:54 Pod rfs-test-cluster-54df69f8df-m5tfm 875:	Created container sentinel
07:36:54 Pod rfs-test-cluster-54df69f8df-m5tfm 875:	Started container sentinel
07:36:34 Pod rfs-test-cluster-54df69f8df-tmxm7 867:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-tmxm7 to acto-cluster-2-worker
07:36:35 Pod rfs-test-cluster-54df69f8df-tmxm7 872:	Container image "redis:6.2.6-alpine" already present on machine
07:36:35 Pod rfs-test-cluster-54df69f8df-tmxm7 872:	Created container sentinel-config-copy
07:36:51 Pod rfs-test-cluster-54df69f8df-tmxm7 872:	Started container sentinel-config-copy
07:36:54 Pod rfs-test-cluster-54df69f8df-tmxm7 872:	Container image "redis:6.2.6-alpine" already present on machine
07:36:54 Pod rfs-test-cluster-54df69f8df-tmxm7 872:	Created container sentinel
07:36:54 Pod rfs-test-cluster-54df69f8df-tmxm7 872:	Started container sentinel
07:36:34 ReplicaSet rfs-test-cluster-54df69f8df 860:	Created pod: rfs-test-cluster-54df69f8df-kp4tv
07:36:34 ReplicaSet rfs-test-cluster-54df69f8df 860:	Created pod: rfs-test-cluster-54df69f8df-tmxm7
07:36:34 ReplicaSet rfs-test-cluster-54df69f8df 860:	Created pod: rfs-test-cluster-54df69f8df-m5tfm
07:36:34 PodDisruptionBudget rfs-test-cluster 855:	No matching pods found
07:36:34 Deployment rfs-test-cluster 859:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
