08:02:41 Pod redisoperator-56c8dfdfb-84x8z 795:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-84x8z to acto-cluster-2-worker3
08:02:42 Pod redisoperator-56c8dfdfb-84x8z 798:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:02:42 Pod redisoperator-56c8dfdfb-84x8z 798:	Created container app
08:02:44 Pod redisoperator-56c8dfdfb-84x8z 798:	Started container app
08:02:41 ReplicaSet redisoperator-56c8dfdfb 792:	Created pod: redisoperator-56c8dfdfb-84x8z
08:02:11 Pod redisoperator-6445768794-mlc64 724:	Successfully assigned acto-namespace/redisoperator-6445768794-mlc64 to acto-cluster-2-worker3
08:02:12 Pod redisoperator-6445768794-mlc64 None:	Cancelling deletion of Pod acto-namespace/redisoperator-6445768794-mlc64
08:02:12 Pod redisoperator-6445768794-mlc64 728:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:02:12 Pod redisoperator-6445768794-mlc64 728:	Created container app
08:02:14 Pod redisoperator-6445768794-mlc64 728:	Started container app
08:02:44 Pod redisoperator-6445768794-mlc64 728:	Stopping container app
08:02:11 ReplicaSet redisoperator-6445768794 716:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
08:02:11 ReplicaSet redisoperator-6445768794 722:	Created pod: redisoperator-6445768794-mlc64
08:02:44 ReplicaSet redisoperator-6445768794 883:	Deleted pod: redisoperator-6445768794-mlc64
08:02:11 Deployment redisoperator 714:	Scaled up replica set redisoperator-6445768794 to 1
08:02:41 Deployment redisoperator 791:	Scaled up replica set redisoperator-56c8dfdfb to 1
08:02:44 Deployment redisoperator 802:	Scaled down replica set redisoperator-6445768794 to 0
08:02:44 Pod rfr-test-cluster-0 826:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-2-worker
08:02:45 Pod rfr-test-cluster-0 830:	Container image "redis:6.2.6-alpine" already present on machine
08:02:45 Pod rfr-test-cluster-0 830:	Created container redis
08:02:45 Pod rfr-test-cluster-0 830:	Started container redis
08:02:45 Pod rfr-test-cluster-0 830:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:02:45 Pod rfr-test-cluster-0 830:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 306.283903ms
08:02:45 Pod rfr-test-cluster-0 830:	Created container redis-exporter
08:02:48 Pod rfr-test-cluster-0 830:	Started container redis-exporter
08:03:24 Pod rfr-test-cluster-0 830:	Readiness probe failed: 
08:06:45 Pod rfr-test-cluster-0 830:	Stopping container redis
08:06:45 Pod rfr-test-cluster-0 830:	Stopping container redis-exporter
08:15:48 Pod rfr-test-cluster-0 2347:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-2-worker
08:15:48 Pod rfr-test-cluster-0 2348:	Container image "redis:6.2.6-alpine" already present on machine
08:15:48 Pod rfr-test-cluster-0 2348:	Created container redis
08:15:49 Pod rfr-test-cluster-0 2348:	Started container redis
08:15:49 Pod rfr-test-cluster-0 2348:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:15:49 Pod rfr-test-cluster-0 2348:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 128.580686ms
08:15:49 Pod rfr-test-cluster-0 2348:	Created container redis-exporter
08:15:51 Pod rfr-test-cluster-0 2348:	Started container redis-exporter
08:16:28 Pod rfr-test-cluster-0 2348:	Readiness probe failed: 
08:02:44 Pod rfr-test-cluster-1 831:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-2-worker3
08:02:45 Pod rfr-test-cluster-1 835:	Container image "redis:6.2.6-alpine" already present on machine
08:02:45 Pod rfr-test-cluster-1 835:	Created container redis
08:02:45 Pod rfr-test-cluster-1 835:	Started container redis
08:02:45 Pod rfr-test-cluster-1 835:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:02:45 Pod rfr-test-cluster-1 835:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 301.370983ms
08:02:45 Pod rfr-test-cluster-1 835:	Created container redis-exporter
08:02:48 Pod rfr-test-cluster-1 835:	Started container redis-exporter
08:03:24 Pod rfr-test-cluster-1 835:	Readiness probe failed: 
08:05:47 Pod rfr-test-cluster-1 835:	Stopping container redis
08:05:47 Pod rfr-test-cluster-1 835:	Stopping container redis-exporter
08:15:48 Pod rfr-test-cluster-1 2350:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-2-worker3
08:15:48 Pod rfr-test-cluster-1 2354:	Container image "redis:6.2.6-alpine" already present on machine
08:15:48 Pod rfr-test-cluster-1 2354:	Created container redis
08:15:49 Pod rfr-test-cluster-1 2354:	Started container redis
08:15:49 Pod rfr-test-cluster-1 2354:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:15:49 Pod rfr-test-cluster-1 2354:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 112.934852ms
08:15:49 Pod rfr-test-cluster-1 2354:	Created container redis-exporter
08:15:51 Pod rfr-test-cluster-1 2354:	Started container redis-exporter
