06:19:43 Pod redisoperator-56c8dfdfb-d26g8 813:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-d26g8 to acto-cluster-3-worker
06:19:44 Pod redisoperator-56c8dfdfb-d26g8 814:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:19:44 Pod redisoperator-56c8dfdfb-d26g8 814:	Created container app
06:19:46 Pod redisoperator-56c8dfdfb-d26g8 814:	Started container app
06:19:43 ReplicaSet redisoperator-56c8dfdfb 810:	Created pod: redisoperator-56c8dfdfb-d26g8
06:19:12 Pod redisoperator-6445768794-hvnlz 741:	Successfully assigned acto-namespace/redisoperator-6445768794-hvnlz to acto-cluster-3-worker2
06:19:14 Pod redisoperator-6445768794-hvnlz 744:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:19:14 Pod redisoperator-6445768794-hvnlz 744:	Created container app
06:19:15 Pod redisoperator-6445768794-hvnlz 744:	Started container app
06:19:46 Pod redisoperator-6445768794-hvnlz 744:	Stopping container app
06:19:12 ReplicaSet redisoperator-6445768794 733:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
06:19:12 ReplicaSet redisoperator-6445768794 739:	Created pod: redisoperator-6445768794-hvnlz
06:19:46 ReplicaSet redisoperator-6445768794 916:	Deleted pod: redisoperator-6445768794-hvnlz
06:19:12 Deployment redisoperator 731:	Scaled up replica set redisoperator-6445768794 to 1
06:19:43 Deployment redisoperator 809:	Scaled up replica set redisoperator-56c8dfdfb to 1
06:19:46 Deployment redisoperator 821:	Scaled down replica set redisoperator-6445768794 to 0
06:19:45 Pod rfr-test-cluster-0 847:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-3-worker
06:19:46 Pod rfr-test-cluster-0 851:	Container image "redis:6.2.6-alpine" already present on machine
06:19:46 Pod rfr-test-cluster-0 851:	Created container redis
06:19:46 Pod rfr-test-cluster-0 851:	Started container redis
