08:03:44 Pod redisoperator-56c8dfdfb-76k46 801:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-76k46 to acto-cluster-3-worker2
08:03:45 Pod redisoperator-56c8dfdfb-76k46 803:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:03:46 Pod redisoperator-56c8dfdfb-76k46 803:	Created container app
08:03:47 Pod redisoperator-56c8dfdfb-76k46 803:	Started container app
08:03:44 ReplicaSet redisoperator-56c8dfdfb 798:	Created pod: redisoperator-56c8dfdfb-76k46
08:03:13 Pod redisoperator-6445768794-48qzg 729:	Successfully assigned acto-namespace/redisoperator-6445768794-48qzg to acto-cluster-3-worker3
08:03:15 Pod redisoperator-6445768794-48qzg 732:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:03:15 Pod redisoperator-6445768794-48qzg 732:	Created container app
08:03:16 Pod redisoperator-6445768794-48qzg 732:	Started container app
08:03:48 Pod redisoperator-6445768794-48qzg 732:	Stopping container app
08:03:13 ReplicaSet redisoperator-6445768794 721:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
08:03:13 ReplicaSet redisoperator-6445768794 728:	Created pod: redisoperator-6445768794-48qzg
08:03:48 ReplicaSet redisoperator-6445768794 919:	Deleted pod: redisoperator-6445768794-48qzg
08:03:13 Deployment redisoperator 719:	Scaled up replica set redisoperator-6445768794 to 1
08:03:44 Deployment redisoperator 797:	Scaled up replica set redisoperator-56c8dfdfb to 1
08:03:48 Deployment redisoperator 808:	Scaled down replica set redisoperator-6445768794 to 0
08:03:47 Pod rfr-test-cluster-0 834:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-3-worker
08:03:47 Pod rfr-test-cluster-0 836:	Container image "redis:6.2.6-alpine" already present on machine
08:03:47 Pod rfr-test-cluster-0 836:	Created container redis
08:03:47 Pod rfr-test-cluster-0 836:	Started container redis
08:03:47 Pod rfr-test-cluster-0 836:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:03:48 Pod rfr-test-cluster-0 836:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 253.784984ms
08:03:48 Pod rfr-test-cluster-0 836:	Created container redis-exporter
08:03:51 Pod rfr-test-cluster-0 836:	Started container redis-exporter
08:04:17 Pod rfr-test-cluster-0 836:	Readiness probe failed: 
08:07:48 Pod rfr-test-cluster-0 836:	Stopping container redis
08:07:48 Pod rfr-test-cluster-0 836:	Stopping container redis-exporter
08:16:51 Pod rfr-test-cluster-0 2361:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-3-worker2
08:16:51 Pod rfr-test-cluster-0 2362:	Container image "redis:6.2.6-alpine" already present on machine
08:16:51 Pod rfr-test-cluster-0 2362:	Created container redis
08:16:51 Pod rfr-test-cluster-0 2362:	Started container redis
08:16:51 Pod rfr-test-cluster-0 2362:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:16:52 Pod rfr-test-cluster-0 2362:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 418.141732ms
08:16:52 Pod rfr-test-cluster-0 2362:	Created container redis-exporter
08:16:55 Pod rfr-test-cluster-0 2362:	Started container redis-exporter
08:17:21 Pod rfr-test-cluster-0 2362:	Readiness probe failed: 
08:03:47 Pod rfr-test-cluster-1 838:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-3-worker2
08:03:47 Pod rfr-test-cluster-1 842:	Container image "redis:6.2.6-alpine" already present on machine
08:03:47 Pod rfr-test-cluster-1 842:	Created container redis
08:03:47 Pod rfr-test-cluster-1 842:	Started container redis
08:03:47 Pod rfr-test-cluster-1 842:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:03:48 Pod rfr-test-cluster-1 842:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 282.642889ms
08:03:48 Pod rfr-test-cluster-1 842:	Created container redis-exporter
08:03:50 Pod rfr-test-cluster-1 842:	Started container redis-exporter
08:04:17 Pod rfr-test-cluster-1 842:	Readiness probe failed: 
08:06:51 Pod rfr-test-cluster-1 842:	Stopping container redis
08:06:51 Pod rfr-test-cluster-1 842:	Stopping container redis-exporter
08:16:51 Pod rfr-test-cluster-1 2363:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-3-worker3
08:16:51 Pod rfr-test-cluster-1 2367:	Container image "redis:6.2.6-alpine" already present on machine
08:16:51 Pod rfr-test-cluster-1 2367:	Created container redis
08:16:51 Pod rfr-test-cluster-1 2367:	Started container redis
08:16:51 Pod rfr-test-cluster-1 2367:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:16:52 Pod rfr-test-cluster-1 2367:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 403.000377ms
08:16:52 Pod rfr-test-cluster-1 2367:	Created container redis-exporter
08:16:55 Pod rfr-test-cluster-1 2367:	Started container redis-exporter
08:17:21 Pod rfr-test-cluster-1 2367:	Readiness probe failed: 
08:03:47 Pod rfr-test-cluster-2 844:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-3-worker3
08:03:47 Pod rfr-test-cluster-2 847:	Container image "redis:6.2.6-alpine" already present on machine
08:03:47 Pod rfr-test-cluster-2 847:	Created container redis
08:03:47 Pod rfr-test-cluster-2 847:	Started container redis
08:03:47 Pod rfr-test-cluster-2 847:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:03:48 Pod rfr-test-cluster-2 847:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 235.104945ms
08:03:48 Pod rfr-test-cluster-2 847:	Created container redis-exporter
08:03:51 Pod rfr-test-cluster-2 847:	Started container redis-exporter
08:04:17 Pod rfr-test-cluster-2 847:	Readiness probe failed: 
