08:46:26 Pod redisoperator-56c8dfdfb-2ksxt 780:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-2ksxt to acto-cluster-3-worker3
08:46:28 Pod redisoperator-56c8dfdfb-2ksxt 783:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:46:28 Pod redisoperator-56c8dfdfb-2ksxt 783:	Created container app
08:46:30 Pod redisoperator-56c8dfdfb-2ksxt 783:	Started container app
08:46:26 ReplicaSet redisoperator-56c8dfdfb 777:	Created pod: redisoperator-56c8dfdfb-2ksxt
08:45:55 Pod redisoperator-6445768794-5wpfc 709:	Successfully assigned acto-namespace/redisoperator-6445768794-5wpfc to acto-cluster-3-worker
08:45:57 Pod redisoperator-6445768794-5wpfc 710:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:45:57 Pod redisoperator-6445768794-5wpfc 710:	Created container app
08:45:58 Pod redisoperator-6445768794-5wpfc 710:	Started container app
08:46:30 Pod redisoperator-6445768794-5wpfc 710:	Stopping container app
08:45:55 ReplicaSet redisoperator-6445768794 701:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
08:45:55 ReplicaSet redisoperator-6445768794 707:	Created pod: redisoperator-6445768794-5wpfc
08:46:30 ReplicaSet redisoperator-6445768794 899:	Deleted pod: redisoperator-6445768794-5wpfc
08:45:55 Deployment redisoperator 699:	Scaled up replica set redisoperator-6445768794 to 1
08:46:26 Deployment redisoperator 776:	Scaled up replica set redisoperator-56c8dfdfb to 1
08:46:30 Deployment redisoperator 787:	Scaled down replica set redisoperator-6445768794 to 0
08:46:28 Pod rfr-test-cluster-0 811:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-3-worker3
08:46:29 Pod rfr-test-cluster-0 816:	Container image "redis:6.2.6-alpine" already present on machine
08:46:29 Pod rfr-test-cluster-0 816:	Created container redis
08:46:29 Pod rfr-test-cluster-0 816:	Started container redis
08:46:29 Pod rfr-test-cluster-0 816:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:46:30 Pod rfr-test-cluster-0 816:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 247.642257ms
08:46:30 Pod rfr-test-cluster-0 816:	Created container redis-exporter
08:46:32 Pod rfr-test-cluster-0 816:	Started container redis-exporter
08:47:08 Pod rfr-test-cluster-0 816:	Readiness probe failed: 
08:50:01 Pod rfr-test-cluster-0 816:	Stopping container redis
08:50:01 Pod rfr-test-cluster-0 816:	Stopping container redis-exporter
