05:42:47 Pod redisoperator-56c8dfdfb-2kd9x 795:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-2kd9x to acto-cluster-4-worker2
05:42:48 Pod redisoperator-56c8dfdfb-2kd9x 797:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
05:42:48 Pod redisoperator-56c8dfdfb-2kd9x 797:	Created container app
05:42:50 Pod redisoperator-56c8dfdfb-2kd9x 797:	Started container app
05:42:47 ReplicaSet redisoperator-56c8dfdfb 792:	Created pod: redisoperator-56c8dfdfb-2kd9x
05:42:16 Pod redisoperator-6445768794-tl2dt 726:	Successfully assigned acto-namespace/redisoperator-6445768794-tl2dt to acto-cluster-4-worker2
05:42:17 Pod redisoperator-6445768794-tl2dt 729:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
05:42:17 Pod redisoperator-6445768794-tl2dt 729:	Created container app
05:42:19 Pod redisoperator-6445768794-tl2dt 729:	Started container app
05:42:50 Pod redisoperator-6445768794-tl2dt 729:	Stopping container app
05:42:16 ReplicaSet redisoperator-6445768794 723:	Created pod: redisoperator-6445768794-tl2dt
05:42:50 ReplicaSet redisoperator-6445768794 817:	Deleted pod: redisoperator-6445768794-tl2dt
05:42:16 Deployment redisoperator 719:	Scaled up replica set redisoperator-6445768794 to 1
05:42:47 Deployment redisoperator 791:	Scaled up replica set redisoperator-56c8dfdfb to 1
05:42:50 Deployment redisoperator 802:	Scaled down replica set redisoperator-6445768794 to 0
05:42:55 Pod rfr-test-cluster-0 849:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-4-worker
05:43:02 Pod rfr-test-cluster-0 852:	Container image "redis:6.2.6-alpine" already present on machine
05:43:02 Pod rfr-test-cluster-0 852:	Created container redis
05:43:05 Pod rfr-test-cluster-0 852:	Started container redis
05:43:05 Pod rfr-test-cluster-0 852:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
05:43:05 Pod rfr-test-cluster-0 852:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 246.285846ms
05:43:05 Pod rfr-test-cluster-0 852:	Created container redis-exporter
05:43:20 Pod rfr-test-cluster-0 852:	Started container redis-exporter
05:43:36 Pod rfr-test-cluster-0 852:	Readiness probe failed: 
05:46:52 Pod rfr-test-cluster-0 852:	Stopping container redis
05:46:52 Pod rfr-test-cluster-0 852:	Stopping container redis-exporter
05:56:21 Pod rfr-test-cluster-0 2398:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-4-worker3
05:56:21 Pod rfr-test-cluster-0 2400:	Container image "redis:6.2.6-alpine" already present on machine
05:56:21 Pod rfr-test-cluster-0 2400:	Created container redis
05:56:22 Pod rfr-test-cluster-0 2400:	Started container redis
05:56:22 Pod rfr-test-cluster-0 2400:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
05:56:22 Pod rfr-test-cluster-0 2400:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 167.463988ms
05:56:22 Pod rfr-test-cluster-0 2400:	Created container redis-exporter
05:56:25 Pod rfr-test-cluster-0 2400:	Started container redis-exporter
05:57:01 Pod rfr-test-cluster-0 2400:	Readiness probe failed: 
05:42:55 Pod rfr-test-cluster-1 854:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-4-worker3
