06:31:45 Pod redisoperator-56c8dfdfb-5cpkf 784:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-5cpkf to acto-cluster-4-worker3
06:31:47 Pod redisoperator-56c8dfdfb-5cpkf 786:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:31:47 Pod redisoperator-56c8dfdfb-5cpkf 786:	Created container app
06:31:49 Pod redisoperator-56c8dfdfb-5cpkf 786:	Started container app
06:31:45 ReplicaSet redisoperator-56c8dfdfb 781:	Created pod: redisoperator-56c8dfdfb-5cpkf
06:31:15 Pod redisoperator-6445768794-vpnwn 713:	Successfully assigned acto-namespace/redisoperator-6445768794-vpnwn to acto-cluster-4-worker3
06:31:16 Pod redisoperator-6445768794-vpnwn 717:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:31:16 Pod redisoperator-6445768794-vpnwn 717:	Created container app
06:31:18 Pod redisoperator-6445768794-vpnwn 717:	Started container app
06:31:49 Pod redisoperator-6445768794-vpnwn 717:	Stopping container app
06:31:15 ReplicaSet redisoperator-6445768794 704:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
06:31:15 ReplicaSet redisoperator-6445768794 711:	Created pod: redisoperator-6445768794-vpnwn
06:31:49 ReplicaSet redisoperator-6445768794 874:	Deleted pod: redisoperator-6445768794-vpnwn
06:31:15 Deployment redisoperator 703:	Scaled up replica set redisoperator-6445768794 to 1
06:31:45 Deployment redisoperator 780:	Scaled up replica set redisoperator-56c8dfdfb to 1
06:31:49 Deployment redisoperator 791:	Scaled down replica set redisoperator-6445768794 to 0
06:31:48 Pod rfr-test-cluster-0 815:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-4-worker3
06:31:49 Pod rfr-test-cluster-0 818:	Container image "redis:6.2.6-alpine" already present on machine
06:31:49 Pod rfr-test-cluster-0 818:	Created container redis
06:31:49 Pod rfr-test-cluster-0 818:	Started container redis
06:31:49 Pod rfr-test-cluster-0 818:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:31:50 Pod rfr-test-cluster-0 818:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 240.291379ms
06:31:50 Pod rfr-test-cluster-0 818:	Created container redis-exporter
06:31:53 Pod rfr-test-cluster-0 818:	Started container redis-exporter
06:32:28 Pod rfr-test-cluster-0 818:	Readiness probe failed: 
06:35:21 Pod rfr-test-cluster-0 818:	Stopping container redis
06:35:21 Pod rfr-test-cluster-0 818:	Stopping container redis-exporter
06:35:22 Pod rfr-test-cluster-0 1421:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-4-worker3
06:35:22 Pod rfr-test-cluster-0 1424:	Pulling image "redis:6.2.6-alpine"
06:35:23 Pod rfr-test-cluster-0 1424:	Successfully pulled image "redis:6.2.6-alpine" in 457.923975ms
06:35:23 Pod rfr-test-cluster-0 1424:	Created container redis
06:35:23 Pod rfr-test-cluster-0 1424:	Started container redis
06:36:02 Pod rfr-test-cluster-0 1424:	Readiness probe failed: 
06:38:45 Pod rfr-test-cluster-0 1424:	Stopping container redis
06:38:47 Pod rfr-test-cluster-0 1802:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-4-worker3
06:38:48 Pod rfr-test-cluster-0 1805:	Container image "redis:6.2.6-alpine" already present on machine
06:38:48 Pod rfr-test-cluster-0 1805:	Created container redis
06:38:48 Pod rfr-test-cluster-0 1805:	Started container redis
06:38:48 Pod rfr-test-cluster-0 1805:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:38:48 Pod rfr-test-cluster-0 1805:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 118.414488ms
06:38:48 Pod rfr-test-cluster-0 1805:	Created container redis-exporter
06:38:51 Pod rfr-test-cluster-0 1805:	Started container redis-exporter
