07:27:16 Pod redisoperator-56c8dfdfb-vt9kz 821:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-vt9kz to acto-cluster-4-worker2
07:27:18 Pod redisoperator-56c8dfdfb-vt9kz 823:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:27:18 Pod redisoperator-56c8dfdfb-vt9kz 823:	Created container app
07:27:19 Pod redisoperator-56c8dfdfb-vt9kz 823:	Started container app
07:27:16 ReplicaSet redisoperator-56c8dfdfb 818:	Created pod: redisoperator-56c8dfdfb-vt9kz
07:26:46 Pod redisoperator-6445768794-wlqsd 753:	Successfully assigned acto-namespace/redisoperator-6445768794-wlqsd to acto-cluster-4-worker2
07:26:47 Pod redisoperator-6445768794-wlqsd 755:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:26:47 Pod redisoperator-6445768794-wlqsd 755:	Created container app
07:26:49 Pod redisoperator-6445768794-wlqsd 755:	Started container app
07:27:20 Pod redisoperator-6445768794-wlqsd 755:	Stopping container app
07:26:46 ReplicaSet redisoperator-6445768794 748:	Created pod: redisoperator-6445768794-wlqsd
07:27:20 ReplicaSet redisoperator-6445768794 940:	Deleted pod: redisoperator-6445768794-wlqsd
07:26:46 Deployment redisoperator 746:	Scaled up replica set redisoperator-6445768794 to 1
07:27:16 Deployment redisoperator 817:	Scaled up replica set redisoperator-56c8dfdfb to 1
07:27:20 Deployment redisoperator 828:	Scaled down replica set redisoperator-6445768794 to 0
07:27:19 Pod rfr-test-cluster-0 853:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-4-worker
07:27:19 Pod rfr-test-cluster-0 857:	Container image "redis:6.2.6-alpine" already present on machine
07:27:19 Pod rfr-test-cluster-0 857:	Created container redis
07:27:20 Pod rfr-test-cluster-0 857:	Started container redis
07:27:20 Pod rfr-test-cluster-0 857:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:27:20 Pod rfr-test-cluster-0 857:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 242.832001ms
07:27:20 Pod rfr-test-cluster-0 857:	Created container redis-exporter
07:27:23 Pod rfr-test-cluster-0 857:	Started container redis-exporter
07:27:59 Pod rfr-test-cluster-0 857:	Readiness probe failed: 
07:31:21 Pod rfr-test-cluster-0 857:	Stopping container redis
07:31:21 Pod rfr-test-cluster-0 857:	Stopping container redis-exporter
07:40:23 Pod rfr-test-cluster-0 2381:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-4-worker2
07:40:24 Pod rfr-test-cluster-0 2384:	Container image "redis:6.2.6-alpine" already present on machine
07:40:24 Pod rfr-test-cluster-0 2384:	Created container redis
07:40:24 Pod rfr-test-cluster-0 2384:	Started container redis
07:40:24 Pod rfr-test-cluster-0 2384:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:40:24 Pod rfr-test-cluster-0 2384:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 120.39909ms
07:40:24 Pod rfr-test-cluster-0 2384:	Created container redis-exporter
07:40:29 Pod rfr-test-cluster-0 2384:	Started container redis-exporter
07:41:03 Pod rfr-test-cluster-0 2384:	Readiness probe failed: 
07:27:19 Pod rfr-test-cluster-1 856:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-4-worker3
07:27:19 Pod rfr-test-cluster-1 860:	Container image "redis:6.2.6-alpine" already present on machine
07:27:19 Pod rfr-test-cluster-1 860:	Created container redis
07:27:19 Pod rfr-test-cluster-1 860:	Started container redis
07:27:19 Pod rfr-test-cluster-1 860:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:27:20 Pod rfr-test-cluster-1 860:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 231.398741ms
07:27:20 Pod rfr-test-cluster-1 860:	Created container redis-exporter
07:27:22 Pod rfr-test-cluster-1 860:	Started container redis-exporter
07:27:49 Pod rfr-test-cluster-1 860:	Readiness probe failed: 
07:30:23 Pod rfr-test-cluster-1 860:	Stopping container redis
07:30:23 Pod rfr-test-cluster-1 860:	Stopping container redis-exporter
07:40:23 Pod rfr-test-cluster-1 2382:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-4-worker3
07:40:24 Pod rfr-test-cluster-1 2386:	Container image "redis:6.2.6-alpine" already present on machine
07:40:24 Pod rfr-test-cluster-1 2386:	Created container redis
07:40:24 Pod rfr-test-cluster-1 2386:	Started container redis
07:40:24 Pod rfr-test-cluster-1 2386:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:40:24 Pod rfr-test-cluster-1 2386:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 196.729429ms
07:40:24 Pod rfr-test-cluster-1 2386:	Created container redis-exporter
07:40:29 Pod rfr-test-cluster-1 2386:	Started container redis-exporter
07:41:03 Pod rfr-test-cluster-1 2386:	Readiness probe failed: 
07:27:19 Pod rfr-test-cluster-2 862:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-4-worker2
07:27:19 Pod rfr-test-cluster-2 866:	Container image "redis:6.2.6-alpine" already present on machine
07:27:19 Pod rfr-test-cluster-2 866:	Created container redis
07:27:19 Pod rfr-test-cluster-2 866:	Started container redis
07:27:19 Pod rfr-test-cluster-2 866:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:27:20 Pod rfr-test-cluster-2 866:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 261.119073ms
07:27:20 Pod rfr-test-cluster-2 866:	Created container redis-exporter
07:27:23 Pod rfr-test-cluster-2 866:	Started container redis-exporter
07:27:49 Pod rfr-test-cluster-2 866:	Readiness probe failed: 
07:30:51 Pod rfr-test-cluster-2 866:	Stopping container redis
07:30:51 Pod rfr-test-cluster-2 866:	Stopping container redis-exporter
07:40:23 Pod rfr-test-cluster-2 2388:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-4-worker
07:40:24 Pod rfr-test-cluster-2 2393:	Container image "redis:6.2.6-alpine" already present on machine
07:40:24 Pod rfr-test-cluster-2 2393:	Created container redis
07:40:24 Pod rfr-test-cluster-2 2393:	Started container redis
07:40:24 Pod rfr-test-cluster-2 2393:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:40:24 Pod rfr-test-cluster-2 2393:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 126.361958ms
07:40:24 Pod rfr-test-cluster-2 2393:	Created container redis-exporter
07:40:29 Pod rfr-test-cluster-2 2393:	Started container redis-exporter
07:41:03 Pod rfr-test-cluster-2 2393:	Readiness probe failed: 
07:27:18 PodDisruptionBudget rfr-test-cluster 847:	No matching pods found
07:27:19 StatefulSet rfr-test-cluster 851:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
07:27:19 StatefulSet rfr-test-cluster 851:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
07:27:19 StatefulSet rfr-test-cluster 851:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
07:30:26 StatefulSet rfr-test-cluster 1365:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom.secretKeyRef.name: Invalid value: "": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
