07:45:49 Pod redisoperator-56c8dfdfb-4h9cc 807:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-4h9cc to acto-cluster-4-worker2
07:45:51 Pod redisoperator-56c8dfdfb-4h9cc 810:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:45:51 Pod redisoperator-56c8dfdfb-4h9cc 810:	Created container app
07:45:53 Pod redisoperator-56c8dfdfb-4h9cc 810:	Started container app
07:45:49 ReplicaSet redisoperator-56c8dfdfb 804:	Created pod: redisoperator-56c8dfdfb-4h9cc
07:45:19 Pod redisoperator-6445768794-mfjkq 735:	Successfully assigned acto-namespace/redisoperator-6445768794-mfjkq to acto-cluster-4-worker3
07:45:21 Pod redisoperator-6445768794-mfjkq 740:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:45:21 Pod redisoperator-6445768794-mfjkq 740:	Created container app
07:45:22 Pod redisoperator-6445768794-mfjkq 740:	Started container app
07:45:53 Pod redisoperator-6445768794-mfjkq 740:	Stopping container app
07:45:19 ReplicaSet redisoperator-6445768794 728:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
07:45:19 ReplicaSet redisoperator-6445768794 733:	Created pod: redisoperator-6445768794-mfjkq
07:45:53 ReplicaSet redisoperator-6445768794 919:	Deleted pod: redisoperator-6445768794-mfjkq
07:45:19 Deployment redisoperator 726:	Scaled up replica set redisoperator-6445768794 to 1
07:45:49 Deployment redisoperator 803:	Scaled up replica set redisoperator-56c8dfdfb to 1
07:45:53 Deployment redisoperator 815:	Scaled down replica set redisoperator-6445768794 to 0
07:45:52 Pod rfr-test-cluster-0 839:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-4-worker2
07:45:53 Pod rfr-test-cluster-0 843:	Container image "redis:6.2.6-alpine" already present on machine
07:45:53 Pod rfr-test-cluster-0 843:	Created container redis
07:45:53 Pod rfr-test-cluster-0 843:	Started container redis
07:45:53 Pod rfr-test-cluster-0 843:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:45:53 Pod rfr-test-cluster-0 843:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 286.111636ms
07:45:53 Pod rfr-test-cluster-0 843:	Created container redis-exporter
07:45:56 Pod rfr-test-cluster-0 843:	Started container redis-exporter
07:46:32 Pod rfr-test-cluster-0 843:	Readiness probe failed: 
07:49:54 Pod rfr-test-cluster-0 843:	Stopping container redis
07:49:54 Pod rfr-test-cluster-0 843:	Stopping container redis-exporter
07:59:06 Pod rfr-test-cluster-0 2376:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-4-worker2
07:59:07 Pod rfr-test-cluster-0 2379:	Container image "redis:6.2.6-alpine" already present on machine
07:59:07 Pod rfr-test-cluster-0 2379:	Created container redis
07:59:08 Pod rfr-test-cluster-0 2379:	Started container redis
07:59:08 Pod rfr-test-cluster-0 2379:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:59:08 Pod rfr-test-cluster-0 2379:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 136.908557ms
07:59:08 Pod rfr-test-cluster-0 2379:	Created container redis-exporter
07:59:11 Pod rfr-test-cluster-0 2379:	Started container redis-exporter
