08:04:19 Pod redisoperator-56c8dfdfb-s9n25 793:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-s9n25 to acto-cluster-4-worker
08:04:20 Pod redisoperator-56c8dfdfb-s9n25 795:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:04:20 Pod redisoperator-56c8dfdfb-s9n25 795:	Created container app
08:04:22 Pod redisoperator-56c8dfdfb-s9n25 795:	Started container app
08:04:19 ReplicaSet redisoperator-56c8dfdfb 790:	Created pod: redisoperator-56c8dfdfb-s9n25
08:03:48 Pod redisoperator-6445768794-8b7s7 723:	Successfully assigned acto-namespace/redisoperator-6445768794-8b7s7 to acto-cluster-4-worker
08:03:49 Pod redisoperator-6445768794-8b7s7 None:	Cancelling deletion of Pod acto-namespace/redisoperator-6445768794-8b7s7
08:03:51 Pod redisoperator-6445768794-8b7s7 725:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:03:51 Pod redisoperator-6445768794-8b7s7 725:	Created container app
08:03:54 Pod redisoperator-6445768794-8b7s7 725:	Started container app
08:04:23 Pod redisoperator-6445768794-8b7s7 725:	Stopping container app
08:03:48 ReplicaSet redisoperator-6445768794 714:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
08:03:48 ReplicaSet redisoperator-6445768794 720:	Created pod: redisoperator-6445768794-8b7s7
08:04:23 ReplicaSet redisoperator-6445768794 907:	Deleted pod: redisoperator-6445768794-8b7s7
08:03:48 Deployment redisoperator 713:	Scaled up replica set redisoperator-6445768794 to 1
08:04:19 Deployment redisoperator 789:	Scaled up replica set redisoperator-56c8dfdfb to 1
08:04:23 Deployment redisoperator 800:	Scaled down replica set redisoperator-6445768794 to 0
08:04:21 Pod rfr-test-cluster-0 827:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-4-worker
08:04:22 Pod rfr-test-cluster-0 832:	Container image "redis:6.2.6-alpine" already present on machine
08:04:22 Pod rfr-test-cluster-0 832:	Created container redis
