06:16:28 Pod redisoperator-56c8dfdfb-ppltg 791:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-ppltg to acto-cluster-5-worker3
06:16:30 Pod redisoperator-56c8dfdfb-ppltg 793:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:16:30 Pod redisoperator-56c8dfdfb-ppltg 793:	Created container app
06:16:31 Pod redisoperator-56c8dfdfb-ppltg 793:	Started container app
06:16:28 ReplicaSet redisoperator-56c8dfdfb 788:	Created pod: redisoperator-56c8dfdfb-ppltg
06:15:58 Pod redisoperator-6445768794-tlf8m 719:	Successfully assigned acto-namespace/redisoperator-6445768794-tlf8m to acto-cluster-5-worker
06:16:00 Pod redisoperator-6445768794-tlf8m 722:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:16:00 Pod redisoperator-6445768794-tlf8m 722:	Created container app
06:16:02 Pod redisoperator-6445768794-tlf8m 722:	Started container app
06:16:32 Pod redisoperator-6445768794-tlf8m 722:	Stopping container app
06:15:58 ReplicaSet redisoperator-6445768794 710:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
06:15:58 ReplicaSet redisoperator-6445768794 717:	Created pod: redisoperator-6445768794-tlf8m
06:16:32 ReplicaSet redisoperator-6445768794 902:	Deleted pod: redisoperator-6445768794-tlf8m
06:15:58 Deployment redisoperator 709:	Scaled up replica set redisoperator-6445768794 to 1
06:16:28 Deployment redisoperator 787:	Scaled up replica set redisoperator-56c8dfdfb to 1
06:16:32 Deployment redisoperator 798:	Scaled down replica set redisoperator-6445768794 to 0
06:16:31 Pod rfr-test-cluster-0 823:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-5-worker3
06:16:31 Pod rfr-test-cluster-0 826:	Container image "redis:6.2.6-alpine" already present on machine
06:16:31 Pod rfr-test-cluster-0 826:	Created container redis
06:16:32 Pod rfr-test-cluster-0 826:	Started container redis
06:16:32 Pod rfr-test-cluster-0 826:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:16:32 Pod rfr-test-cluster-0 826:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 229.41023ms
06:16:32 Pod rfr-test-cluster-0 826:	Created container redis-exporter
06:16:34 Pod rfr-test-cluster-0 826:	Started container redis-exporter
06:17:11 Pod rfr-test-cluster-0 826:	Readiness probe failed: 
06:20:03 Pod rfr-test-cluster-0 826:	Stopping container redis
06:20:03 Pod rfr-test-cluster-0 826:	Stopping container redis-exporter
06:20:04 Pod rfr-test-cluster-0 1441:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-5-worker3
06:20:05 Pod rfr-test-cluster-0 1442:	Container image "redis:6.2.6-alpine" already present on machine
06:20:05 Pod rfr-test-cluster-0 1442:	Created container redis
06:20:05 Pod rfr-test-cluster-0 1442:	Started container redis
06:20:05 Pod rfr-test-cluster-0 1442:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:20:05 Pod rfr-test-cluster-0 1442:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 115.77553ms
06:20:05 Pod rfr-test-cluster-0 1442:	Created container redis-exporter
06:20:07 Pod rfr-test-cluster-0 1442:	Started container redis-exporter
06:20:45 Pod rfr-test-cluster-0 1442:	Readiness probe failed: 
06:24:29 Pod rfr-test-cluster-0 1442:	Stopping container redis
06:24:29 Pod rfr-test-cluster-0 1442:	Stopping container redis-exporter
06:24:30 Pod rfr-test-cluster-0 1928:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-5-worker3
06:24:31 Pod rfr-test-cluster-0 1930:	Container image "redis:6.2.6-alpine" already present on machine
06:24:31 Pod rfr-test-cluster-0 1930:	Created container redis
06:24:31 Pod rfr-test-cluster-0 1930:	Started container redis
06:24:31 Pod rfr-test-cluster-0 1930:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:24:31 Pod rfr-test-cluster-0 1930:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 226.221881ms
06:24:31 Pod rfr-test-cluster-0 1930:	Created container redis-exporter
06:24:34 Pod rfr-test-cluster-0 1930:	Started container redis-exporter
06:16:31 Pod rfr-test-cluster-1 828:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-5-worker
06:16:31 Pod rfr-test-cluster-1 830:	Container image "redis:6.2.6-alpine" already present on machine
06:16:31 Pod rfr-test-cluster-1 830:	Created container redis
06:16:32 Pod rfr-test-cluster-1 830:	Started container redis
06:16:32 Pod rfr-test-cluster-1 830:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:16:32 Pod rfr-test-cluster-1 830:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 265.306742ms
06:16:32 Pod rfr-test-cluster-1 830:	Created container redis-exporter
06:16:34 Pod rfr-test-cluster-1 830:	Started container redis-exporter
06:17:11 Pod rfr-test-cluster-1 830:	Readiness probe failed: 
06:19:33 Pod rfr-test-cluster-1 830:	Stopping container redis
06:19:33 Pod rfr-test-cluster-1 830:	Stopping container redis-exporter
06:19:37 Pod rfr-test-cluster-1 1339:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-5-worker
06:19:38 Pod rfr-test-cluster-1 1342:	Container image "redis:6.2.6-alpine" already present on machine
06:19:38 Pod rfr-test-cluster-1 1342:	Created container redis
06:19:38 Pod rfr-test-cluster-1 1342:	Started container redis
06:19:38 Pod rfr-test-cluster-1 1342:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
