07:11:58 Pod redisoperator-56c8dfdfb-zqvvl 791:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-zqvvl to acto-cluster-5-worker2
07:11:59 Pod redisoperator-56c8dfdfb-zqvvl 794:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:11:59 Pod redisoperator-56c8dfdfb-zqvvl 794:	Created container app
07:12:01 Pod redisoperator-56c8dfdfb-zqvvl 794:	Started container app
07:11:58 ReplicaSet redisoperator-56c8dfdfb 788:	Created pod: redisoperator-56c8dfdfb-zqvvl
07:11:28 Pod redisoperator-6445768794-pnrdq 718:	Successfully assigned acto-namespace/redisoperator-6445768794-pnrdq to acto-cluster-5-worker2
07:11:29 Pod redisoperator-6445768794-pnrdq 721:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:11:29 Pod redisoperator-6445768794-pnrdq 721:	Created container app
07:11:30 Pod redisoperator-6445768794-pnrdq 721:	Started container app
07:12:02 Pod redisoperator-6445768794-pnrdq 721:	Stopping container app
07:11:28 ReplicaSet redisoperator-6445768794 710:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
07:11:28 ReplicaSet redisoperator-6445768794 715:	Created pod: redisoperator-6445768794-pnrdq
07:12:02 ReplicaSet redisoperator-6445768794 833:	Deleted pod: redisoperator-6445768794-pnrdq
07:11:28 Deployment redisoperator 708:	Scaled up replica set redisoperator-6445768794 to 1
07:11:58 Deployment redisoperator 787:	Scaled up replica set redisoperator-56c8dfdfb to 1
07:12:02 Deployment redisoperator 799:	Scaled down replica set redisoperator-6445768794 to 0
07:12:02 Pod rfr-test-cluster-0 826:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-5-worker3
07:12:02 Pod rfr-test-cluster-0 831:	Container image "redis:6.2.6-alpine" already present on machine
07:12:02 Pod rfr-test-cluster-0 831:	Created container redis
07:12:03 Pod rfr-test-cluster-0 831:	Started container redis
07:12:03 Pod rfr-test-cluster-0 831:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:12:03 Pod rfr-test-cluster-0 831:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 243.223373ms
07:12:03 Pod rfr-test-cluster-0 831:	Created container redis-exporter
07:12:06 Pod rfr-test-cluster-0 831:	Started container redis-exporter
