08:21:35 Pod redisoperator-56c8dfdfb-hz868 793:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-hz868 to acto-cluster-5-worker2
08:21:36 Pod redisoperator-56c8dfdfb-hz868 795:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:21:36 Pod redisoperator-56c8dfdfb-hz868 795:	Created container app
08:21:37 Pod redisoperator-56c8dfdfb-hz868 795:	Started container app
08:21:35 ReplicaSet redisoperator-56c8dfdfb 790:	Created pod: redisoperator-56c8dfdfb-hz868
08:21:04 Pod redisoperator-6445768794-8sqbd 723:	Successfully assigned acto-namespace/redisoperator-6445768794-8sqbd to acto-cluster-5-worker
08:21:09 Pod redisoperator-6445768794-8sqbd 727:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:21:10 Pod redisoperator-6445768794-8sqbd 727:	Created container app
08:21:11 Pod redisoperator-6445768794-8sqbd 727:	Started container app
08:21:38 Pod redisoperator-6445768794-8sqbd 727:	Stopping container app
08:21:04 ReplicaSet redisoperator-6445768794 712:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
08:21:04 ReplicaSet redisoperator-6445768794 718:	Created pod: redisoperator-6445768794-8sqbd
08:21:38 ReplicaSet redisoperator-6445768794 881:	Deleted pod: redisoperator-6445768794-8sqbd
08:21:04 Deployment redisoperator 711:	Scaled up replica set redisoperator-6445768794 to 1
08:21:35 Deployment redisoperator 789:	Scaled up replica set redisoperator-56c8dfdfb to 1
08:21:38 Deployment redisoperator 800:	Scaled down replica set redisoperator-6445768794 to 0
08:21:37 Pod rfr-test-cluster-0 825:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-5-worker2
08:21:38 Pod rfr-test-cluster-0 829:	Container image "redis:6.2.6-alpine" already present on machine
08:21:38 Pod rfr-test-cluster-0 829:	Created container redis
08:21:38 Pod rfr-test-cluster-0 829:	Started container redis
08:21:38 Pod rfr-test-cluster-0 829:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:21:38 Pod rfr-test-cluster-0 829:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 242.897599ms
08:21:38 Pod rfr-test-cluster-0 829:	Created container redis-exporter
08:21:41 Pod rfr-test-cluster-0 829:	Started container redis-exporter
08:22:17 Pod rfr-test-cluster-0 829:	Readiness probe failed: 
08:25:39 Pod rfr-test-cluster-0 829:	Stopping container redis
08:25:39 Pod rfr-test-cluster-0 829:	Stopping container redis-exporter
08:25:40 Pod rfr-test-cluster-0 1546:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-5-worker2
08:25:41 Pod rfr-test-cluster-0 1549:	Pulling image "redis:6.2.6-alpine"
08:25:41 Pod rfr-test-cluster-0 1549:	Successfully pulled image "redis:6.2.6-alpine" in 192.521738ms
08:25:41 Pod rfr-test-cluster-0 1549:	Created container redis
08:25:41 Pod rfr-test-cluster-0 1549:	Started container redis
08:26:21 Pod rfr-test-cluster-0 1549:	Readiness probe failed: 
08:29:03 Pod rfr-test-cluster-0 1549:	Stopping container redis
08:29:05 Pod rfr-test-cluster-0 2020:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-5-worker2
08:29:05 Pod rfr-test-cluster-0 2022:	Container image "redis:6.2.6-alpine" already present on machine
08:29:05 Pod rfr-test-cluster-0 2022:	Created container redis
08:29:05 Pod rfr-test-cluster-0 2022:	Started container redis
08:29:05 Pod rfr-test-cluster-0 2022:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:29:06 Pod rfr-test-cluster-0 2022:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 117.543966ms
08:29:06 Pod rfr-test-cluster-0 2022:	Created container redis-exporter
08:29:08 Pod rfr-test-cluster-0 2022:	Started container redis-exporter
08:21:37 Pod rfr-test-cluster-1 826:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-5-worker3
08:21:38 Pod rfr-test-cluster-1 835:	Container image "redis:6.2.6-alpine" already present on machine
08:21:38 Pod rfr-test-cluster-1 835:	Created container redis
08:21:38 Pod rfr-test-cluster-1 835:	Started container redis
08:21:38 Pod rfr-test-cluster-1 835:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:21:38 Pod rfr-test-cluster-1 835:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 220.876518ms
08:21:38 Pod rfr-test-cluster-1 835:	Created container redis-exporter
08:21:41 Pod rfr-test-cluster-1 835:	Started container redis-exporter
08:22:17 Pod rfr-test-cluster-1 835:	Readiness probe failed: 
08:24:41 Pod rfr-test-cluster-1 835:	Stopping container redis
08:24:41 Pod rfr-test-cluster-1 835:	Stopping container redis-exporter
08:24:42 Pod rfr-test-cluster-1 1354:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-5-worker3
08:24:43 Pod rfr-test-cluster-1 1357:	Pulling image "redis:6.2.6-alpine"
08:24:43 Pod rfr-test-cluster-1 1357:	Successfully pulled image "redis:6.2.6-alpine" in 434.616682ms
08:24:43 Pod rfr-test-cluster-1 1357:	Created container redis
08:24:43 Pod rfr-test-cluster-1 1357:	Started container redis
08:29:39 Pod rfr-test-cluster-1 1357:	Stopping container redis
08:29:40 Pod rfr-test-cluster-1 2149:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-5-worker3
08:29:40 Pod rfr-test-cluster-1 2150:	Container image "redis:6.2.6-alpine" already present on machine
08:29:40 Pod rfr-test-cluster-1 2150:	Created container redis
08:29:41 Pod rfr-test-cluster-1 2150:	Started container redis
08:29:41 Pod rfr-test-cluster-1 2150:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:29:41 Pod rfr-test-cluster-1 2150:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 120.082907ms
08:29:41 Pod rfr-test-cluster-1 2150:	Created container redis-exporter
08:29:43 Pod rfr-test-cluster-1 2150:	Started container redis-exporter
08:30:20 Pod rfr-test-cluster-1 2150:	Readiness probe failed: 
08:21:37 Pod rfr-test-cluster-2 833:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-5-worker
08:21:38 Pod rfr-test-cluster-2 836:	Container image "redis:6.2.6-alpine" already present on machine
08:21:38 Pod rfr-test-cluster-2 836:	Created container redis
08:21:38 Pod rfr-test-cluster-2 836:	Started container redis
08:21:38 Pod rfr-test-cluster-2 836:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:21:38 Pod rfr-test-cluster-2 836:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 309.191048ms
08:21:38 Pod rfr-test-cluster-2 836:	Created container redis-exporter
08:21:41 Pod rfr-test-cluster-2 836:	Started container redis-exporter
08:22:17 Pod rfr-test-cluster-2 836:	Readiness probe failed: 
08:25:09 Pod rfr-test-cluster-2 836:	Stopping container redis
08:25:09 Pod rfr-test-cluster-2 836:	Stopping container redis-exporter
08:25:10 Pod rfr-test-cluster-2 1432:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-5-worker
08:25:11 Pod rfr-test-cluster-2 1433:	Pulling image "redis:6.2.6-alpine"
08:25:11 Pod rfr-test-cluster-2 1433:	Successfully pulled image "redis:6.2.6-alpine" in 429.786897ms
08:25:11 Pod rfr-test-cluster-2 1433:	Created container redis
08:25:11 Pod rfr-test-cluster-2 1433:	Started container redis
08:29:09 Pod rfr-test-cluster-2 1433:	Stopping container redis
08:29:10 Pod rfr-test-cluster-2 1433:	Liveness probe errored: rpc error: code = Unknown desc = failed to exec in container: container is in CONTAINER_EXITED state
08:29:10 Pod rfr-test-cluster-2 1433:	Readiness probe errored: rpc error: code = Unknown desc = failed to exec in container: container is in CONTAINER_EXITED state
08:29:11 Pod rfr-test-cluster-2 2063:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-5-worker
08:29:11 Pod rfr-test-cluster-2 2064:	Container image "redis:6.2.6-alpine" already present on machine
08:29:11 Pod rfr-test-cluster-2 2064:	Created container redis
08:29:11 Pod rfr-test-cluster-2 2064:	Started container redis
08:29:11 Pod rfr-test-cluster-2 2064:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:29:12 Pod rfr-test-cluster-2 2064:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 117.849988ms
08:29:12 Pod rfr-test-cluster-2 2064:	Created container redis-exporter
08:29:14 Pod rfr-test-cluster-2 2064:	Started container redis-exporter
08:21:37 PodDisruptionBudget rfr-test-cluster 818:	No matching pods found
08:21:37 StatefulSet rfr-test-cluster 823:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
08:21:37 StatefulSet rfr-test-cluster 823:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
08:21:37 StatefulSet rfr-test-cluster 823:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
08:21:37 Pod rfs-test-cluster-54df69f8df-4kl78 852:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-4kl78 to acto-cluster-5-worker3
08:21:38 Pod rfs-test-cluster-54df69f8df-4kl78 856:	Container image "redis:6.2.6-alpine" already present on machine
08:21:38 Pod rfs-test-cluster-54df69f8df-4kl78 856:	Created container sentinel-config-copy
08:21:53 Pod rfs-test-cluster-54df69f8df-4kl78 856:	Started container sentinel-config-copy
08:21:56 Pod rfs-test-cluster-54df69f8df-4kl78 856:	Container image "redis:6.2.6-alpine" already present on machine
08:21:56 Pod rfs-test-cluster-54df69f8df-4kl78 856:	Created container sentinel
08:21:56 Pod rfs-test-cluster-54df69f8df-4kl78 856:	Started container sentinel
08:26:21 Pod rfs-test-cluster-54df69f8df-4kl78 856:	Stopping container sentinel
08:29:53 Pod rfs-test-cluster-54df69f8df-9nkdj 2211:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-9nkdj to acto-cluster-5-worker2
08:29:53 Pod rfs-test-cluster-54df69f8df-9nkdj 2214:	Container image "redis:6.2.6-alpine" already present on machine
08:29:53 Pod rfs-test-cluster-54df69f8df-9nkdj 2214:	Created container sentinel-config-copy
08:30:07 Pod rfs-test-cluster-54df69f8df-9nkdj 2214:	Started container sentinel-config-copy
08:30:09 Pod rfs-test-cluster-54df69f8df-9nkdj 2214:	Container image "redis:6.2.6-alpine" already present on machine
08:30:09 Pod rfs-test-cluster-54df69f8df-9nkdj 2214:	Created container sentinel
08:30:09 Pod rfs-test-cluster-54df69f8df-9nkdj 2214:	Started container sentinel
08:21:37 Pod rfs-test-cluster-54df69f8df-drbfb 858:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-drbfb to acto-cluster-5-worker2
08:21:38 Pod rfs-test-cluster-54df69f8df-drbfb 862:	Container image "redis:6.2.6-alpine" already present on machine
08:21:38 Pod rfs-test-cluster-54df69f8df-drbfb 862:	Created container sentinel-config-copy
08:21:52 Pod rfs-test-cluster-54df69f8df-drbfb 862:	Started container sentinel-config-copy
08:21:55 Pod rfs-test-cluster-54df69f8df-drbfb 862:	Container image "redis:6.2.6-alpine" already present on machine
08:21:55 Pod rfs-test-cluster-54df69f8df-drbfb 862:	Created container sentinel
08:21:55 Pod rfs-test-cluster-54df69f8df-drbfb 862:	Started container sentinel
08:25:31 Pod rfs-test-cluster-54df69f8df-drbfb 862:	Stopping container sentinel
08:30:43 Pod rfs-test-cluster-54df69f8df-h6msp 2345:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-h6msp to acto-cluster-5-worker3
08:30:45 Pod rfs-test-cluster-54df69f8df-h6msp 2348:	Container image "redis:6.2.6-alpine" already present on machine
08:30:45 Pod rfs-test-cluster-54df69f8df-h6msp 2348:	Created container sentinel-config-copy
08:30:57 Pod rfs-test-cluster-54df69f8df-h6msp 2348:	Started container sentinel-config-copy
08:30:59 Pod rfs-test-cluster-54df69f8df-h6msp 2348:	Container image "redis:6.2.6-alpine" already present on machine
08:30:59 Pod rfs-test-cluster-54df69f8df-h6msp 2348:	Created container sentinel
08:30:59 Pod rfs-test-cluster-54df69f8df-h6msp 2348:	Started container sentinel
08:29:02 Pod rfs-test-cluster-54df69f8df-j8w5j 1992:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-j8w5j to acto-cluster-5-worker3
08:29:03 Pod rfs-test-cluster-54df69f8df-j8w5j 1995:	Container image "redis:6.2.6-alpine" already present on machine
08:29:03 Pod rfs-test-cluster-54df69f8df-j8w5j 1995:	Created container sentinel-config-copy
08:29:18 Pod rfs-test-cluster-54df69f8df-j8w5j 1995:	Started container sentinel-config-copy
08:29:20 Pod rfs-test-cluster-54df69f8df-j8w5j 1995:	Container image "redis:6.2.6-alpine" already present on machine
08:29:20 Pod rfs-test-cluster-54df69f8df-j8w5j 1995:	Created container sentinel
08:29:20 Pod rfs-test-cluster-54df69f8df-j8w5j 1995:	Started container sentinel
08:21:37 Pod rfs-test-cluster-54df69f8df-vtkkl 859:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-vtkkl to acto-cluster-5-worker
08:21:38 Pod rfs-test-cluster-54df69f8df-vtkkl 864:	Container image "redis:6.2.6-alpine" already present on machine
08:21:38 Pod rfs-test-cluster-54df69f8df-vtkkl 864:	Created container sentinel-config-copy
08:21:53 Pod rfs-test-cluster-54df69f8df-vtkkl 864:	Started container sentinel-config-copy
08:21:54 Pod rfs-test-cluster-54df69f8df-vtkkl 864:	Container image "redis:6.2.6-alpine" already present on machine
08:21:54 Pod rfs-test-cluster-54df69f8df-vtkkl 864:	Created container sentinel
08:21:55 Pod rfs-test-cluster-54df69f8df-vtkkl 864:	Started container sentinel
08:27:11 Pod rfs-test-cluster-54df69f8df-vtkkl 864:	Stopping container sentinel
08:21:37 ReplicaSet rfs-test-cluster-54df69f8df 850:	Created pod: rfs-test-cluster-54df69f8df-4kl78
08:21:37 ReplicaSet rfs-test-cluster-54df69f8df 850:	Created pod: rfs-test-cluster-54df69f8df-drbfb
08:21:37 ReplicaSet rfs-test-cluster-54df69f8df 850:	Created pod: rfs-test-cluster-54df69f8df-vtkkl
08:25:31 ReplicaSet rfs-test-cluster-54df69f8df 1485:	Deleted pod: rfs-test-cluster-54df69f8df-drbfb
08:26:21 ReplicaSet rfs-test-cluster-54df69f8df 1643:	Deleted pod: rfs-test-cluster-54df69f8df-4kl78
08:27:11 ReplicaSet rfs-test-cluster-54df69f8df 1776:	Deleted pod: rfs-test-cluster-54df69f8df-vtkkl
08:29:02 ReplicaSet rfs-test-cluster-54df69f8df 1990:	Created pod: rfs-test-cluster-54df69f8df-j8w5j
08:29:53 ReplicaSet rfs-test-cluster-54df69f8df 2208:	Created pod: rfs-test-cluster-54df69f8df-9nkdj
08:30:43 ReplicaSet rfs-test-cluster-54df69f8df 2342:	Created pod: rfs-test-cluster-54df69f8df-h6msp
08:24:40 Pod rfs-test-cluster-55849b4bc6-9mp2d 1328:	Successfully assigned acto-namespace/rfs-test-cluster-55849b4bc6-9mp2d to acto-cluster-5-worker2
08:24:41 Pod rfs-test-cluster-55849b4bc6-9mp2d 1330:	Pulling image "redis:6.2.6-alpine"
08:24:41 Pod rfs-test-cluster-55849b4bc6-9mp2d 1330:	Successfully pulled image "redis:6.2.6-alpine" in 426.668635ms
08:24:41 Pod rfs-test-cluster-55849b4bc6-9mp2d 1330:	Created container sentinel-config-copy
08:24:56 Pod rfs-test-cluster-55849b4bc6-9mp2d 1330:	Started container sentinel-config-copy
08:24:58 Pod rfs-test-cluster-55849b4bc6-9mp2d 1330:	Pulling image "redis:6.2.6-alpine"
08:24:58 Pod rfs-test-cluster-55849b4bc6-9mp2d 1330:	Successfully pulled image "redis:6.2.6-alpine" in 185.431653ms
08:24:58 Pod rfs-test-cluster-55849b4bc6-9mp2d 1330:	Created container sentinel
08:24:58 Pod rfs-test-cluster-55849b4bc6-9mp2d 1330:	Started container sentinel
08:30:43 Pod rfs-test-cluster-55849b4bc6-9mp2d 1330:	Stopping container sentinel
08:25:31 Pod rfs-test-cluster-55849b4bc6-l8kbh 1497:	Successfully assigned acto-namespace/rfs-test-cluster-55849b4bc6-l8kbh to acto-cluster-5-worker3
08:25:31 Pod rfs-test-cluster-55849b4bc6-l8kbh 1501:	Pulling image "redis:6.2.6-alpine"
08:25:31 Pod rfs-test-cluster-55849b4bc6-l8kbh 1501:	Successfully pulled image "redis:6.2.6-alpine" in 194.232352ms
08:25:31 Pod rfs-test-cluster-55849b4bc6-l8kbh 1501:	Created container sentinel-config-copy
08:25:45 Pod rfs-test-cluster-55849b4bc6-l8kbh 1501:	Started container sentinel-config-copy
08:25:47 Pod rfs-test-cluster-55849b4bc6-l8kbh 1501:	Pulling image "redis:6.2.6-alpine"
08:25:47 Pod rfs-test-cluster-55849b4bc6-l8kbh 1501:	Successfully pulled image "redis:6.2.6-alpine" in 187.005231ms
08:25:47 Pod rfs-test-cluster-55849b4bc6-l8kbh 1501:	Created container sentinel
08:25:48 Pod rfs-test-cluster-55849b4bc6-l8kbh 1501:	Started container sentinel
08:29:53 Pod rfs-test-cluster-55849b4bc6-l8kbh 1501:	Stopping container sentinel
08:26:21 Pod rfs-test-cluster-55849b4bc6-nbftm 1656:	Successfully assigned acto-namespace/rfs-test-cluster-55849b4bc6-nbftm to acto-cluster-5-worker
08:26:21 Pod rfs-test-cluster-55849b4bc6-nbftm 1659:	Pulling image "redis:6.2.6-alpine"
08:26:21 Pod rfs-test-cluster-55849b4bc6-nbftm 1659:	Successfully pulled image "redis:6.2.6-alpine" in 192.045347ms
08:26:21 Pod rfs-test-cluster-55849b4bc6-nbftm 1659:	Created container sentinel-config-copy
08:26:35 Pod rfs-test-cluster-55849b4bc6-nbftm 1659:	Started container sentinel-config-copy
08:26:37 Pod rfs-test-cluster-55849b4bc6-nbftm 1659:	Pulling image "redis:6.2.6-alpine"
08:26:37 Pod rfs-test-cluster-55849b4bc6-nbftm 1659:	Successfully pulled image "redis:6.2.6-alpine" in 181.922744ms
08:26:37 Pod rfs-test-cluster-55849b4bc6-nbftm 1659:	Created container sentinel
08:26:38 Pod rfs-test-cluster-55849b4bc6-nbftm 1659:	Started container sentinel
08:31:33 Pod rfs-test-cluster-55849b4bc6-nbftm 1659:	Stopping container sentinel
08:24:40 ReplicaSet rfs-test-cluster-55849b4bc6 1325:	Created pod: rfs-test-cluster-55849b4bc6-9mp2d
08:25:31 ReplicaSet rfs-test-cluster-55849b4bc6 1495:	Created pod: rfs-test-cluster-55849b4bc6-l8kbh
08:26:21 ReplicaSet rfs-test-cluster-55849b4bc6 1653:	Created pod: rfs-test-cluster-55849b4bc6-nbftm
08:29:53 ReplicaSet rfs-test-cluster-55849b4bc6 2198:	Deleted pod: rfs-test-cluster-55849b4bc6-l8kbh
08:30:43 ReplicaSet rfs-test-cluster-55849b4bc6 2332:	Deleted pod: rfs-test-cluster-55849b4bc6-9mp2d
08:31:33 ReplicaSet rfs-test-cluster-55849b4bc6 2459:	Deleted pod: rfs-test-cluster-55849b4bc6-nbftm
08:21:37 PodDisruptionBudget rfs-test-cluster 845:	No matching pods found
08:21:37 Deployment rfs-test-cluster 848:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
08:24:40 Deployment rfs-test-cluster 1324:	Scaled up replica set rfs-test-cluster-55849b4bc6 to 1
08:25:31 Deployment rfs-test-cluster 1417:	Scaled down replica set rfs-test-cluster-54df69f8df to 2
08:25:31 Deployment rfs-test-cluster 1488:	Scaled up replica set rfs-test-cluster-55849b4bc6 to 2
08:26:21 Deployment rfs-test-cluster 1617:	Scaled down replica set rfs-test-cluster-54df69f8df to 1
08:26:21 Deployment rfs-test-cluster 1646:	Scaled up replica set rfs-test-cluster-55849b4bc6 to 3
08:27:11 Deployment rfs-test-cluster 1765:	Scaled down replica set rfs-test-cluster-54df69f8df to 0
08:29:02 Deployment rfs-test-cluster 1986:	Scaled up replica set rfs-test-cluster-54df69f8df to 1
08:29:53 Deployment rfs-test-cluster 2134:	Scaled down replica set rfs-test-cluster-55849b4bc6 to 2
08:29:53 Deployment rfs-test-cluster 2134:	(combined from similar events): Scaled down replica set rfs-test-cluster-55849b4bc6 to 0
