09:48:11 Pod redisoperator-56c8dfdfb-zvs77 786:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-zvs77 to acto-cluster-5-worker
09:48:13 Pod redisoperator-56c8dfdfb-zvs77 788:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
09:48:13 Pod redisoperator-56c8dfdfb-zvs77 788:	Created container app
09:48:14 Pod redisoperator-56c8dfdfb-zvs77 788:	Started container app
09:48:11 ReplicaSet redisoperator-56c8dfdfb 783:	Created pod: redisoperator-56c8dfdfb-zvs77
09:47:41 Pod redisoperator-6445768794-gb68m 714:	Successfully assigned acto-namespace/redisoperator-6445768794-gb68m to acto-cluster-5-worker
09:47:43 Pod redisoperator-6445768794-gb68m 717:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
09:47:43 Pod redisoperator-6445768794-gb68m 717:	Created container app
09:47:44 Pod redisoperator-6445768794-gb68m 717:	Started container app
09:48:14 Pod redisoperator-6445768794-gb68m 717:	Stopping container app
09:47:41 ReplicaSet redisoperator-6445768794 707:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
09:47:41 ReplicaSet redisoperator-6445768794 711:	Created pod: redisoperator-6445768794-gb68m
09:48:14 ReplicaSet redisoperator-6445768794 871:	Deleted pod: redisoperator-6445768794-gb68m
09:47:41 Deployment redisoperator 705:	Scaled up replica set redisoperator-6445768794 to 1
09:48:11 Deployment redisoperator 782:	Scaled up replica set redisoperator-56c8dfdfb to 1
09:48:14 Deployment redisoperator 793:	Scaled down replica set redisoperator-6445768794 to 0
09:48:14 Pod rfr-test-cluster-0 817:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-5-worker3
09:48:14 Pod rfr-test-cluster-0 820:	Container image "redis:6.2.6-alpine" already present on machine
09:48:14 Pod rfr-test-cluster-0 820:	Created container redis
09:48:15 Pod rfr-test-cluster-0 820:	Started container redis
09:48:15 Pod rfr-test-cluster-0 820:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:48:15 Pod rfr-test-cluster-0 820:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 308.311919ms
09:48:15 Pod rfr-test-cluster-0 820:	Created container redis-exporter
09:48:18 Pod rfr-test-cluster-0 820:	Started container redis-exporter
09:48:54 Pod rfr-test-cluster-0 820:	Readiness probe failed: 
09:52:16 Pod rfr-test-cluster-0 820:	Stopping container redis
09:52:16 Pod rfr-test-cluster-0 820:	Stopping container redis-exporter
10:01:18 Pod rfr-test-cluster-0 2340:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-5-worker3
10:01:18 Pod rfr-test-cluster-0 2344:	Container image "redis:6.2.6-alpine" already present on machine
10:01:18 Pod rfr-test-cluster-0 2344:	Created container redis
10:01:19 Pod rfr-test-cluster-0 2344:	Started container redis
10:01:19 Pod rfr-test-cluster-0 2344:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
10:01:19 Pod rfr-test-cluster-0 2344:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 197.316453ms
