07:24:29 Pod redisoperator-56c8dfdfb-ww8rs 839:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-ww8rs to acto-cluster-6-worker3
07:24:30 Pod redisoperator-56c8dfdfb-ww8rs 841:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:24:30 Pod redisoperator-56c8dfdfb-ww8rs 841:	Created container app
07:24:32 Pod redisoperator-56c8dfdfb-ww8rs 841:	Started container app
07:24:29 ReplicaSet redisoperator-56c8dfdfb 836:	Created pod: redisoperator-56c8dfdfb-ww8rs
07:23:59 Pod redisoperator-6445768794-wf9n7 764:	Successfully assigned acto-namespace/redisoperator-6445768794-wf9n7 to acto-cluster-6-worker
07:24:00 Pod redisoperator-6445768794-wf9n7 766:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:24:00 Pod redisoperator-6445768794-wf9n7 766:	Created container app
07:24:02 Pod redisoperator-6445768794-wf9n7 766:	Started container app
07:24:33 Pod redisoperator-6445768794-wf9n7 766:	Stopping container app
07:23:59 ReplicaSet redisoperator-6445768794 755:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
07:23:59 ReplicaSet redisoperator-6445768794 761:	Created pod: redisoperator-6445768794-wf9n7
07:24:33 ReplicaSet redisoperator-6445768794 957:	Deleted pod: redisoperator-6445768794-wf9n7
07:23:59 Deployment redisoperator 754:	Scaled up replica set redisoperator-6445768794 to 1
07:24:29 Deployment redisoperator 835:	Scaled up replica set redisoperator-56c8dfdfb to 1
07:24:33 Deployment redisoperator 847:	Scaled down replica set redisoperator-6445768794 to 0
07:24:31 Pod rfr-test-cluster-0 871:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-6-worker2
07:24:32 Pod rfr-test-cluster-0 873:	Container image "redis:6.2.6-alpine" already present on machine
07:24:32 Pod rfr-test-cluster-0 873:	Created container redis
07:24:32 Pod rfr-test-cluster-0 873:	Started container redis
07:24:32 Pod rfr-test-cluster-0 873:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:24:32 Pod rfr-test-cluster-0 873:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 244.607485ms
07:24:32 Pod rfr-test-cluster-0 873:	Created container redis-exporter
07:24:35 Pod rfr-test-cluster-0 873:	Started container redis-exporter
07:25:12 Pod rfr-test-cluster-0 873:	Readiness probe failed: 
07:28:03 Pod rfr-test-cluster-0 873:	Stopping container redis
07:28:03 Pod rfr-test-cluster-0 873:	Stopping container redis-exporter
07:37:35 Pod rfr-test-cluster-0 2393:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-6-worker2
07:37:36 Pod rfr-test-cluster-0 2394:	Container image "redis:6.2.6-alpine" already present on machine
07:37:36 Pod rfr-test-cluster-0 2394:	Created container redis
07:37:36 Pod rfr-test-cluster-0 2394:	Started container redis
07:37:36 Pod rfr-test-cluster-0 2394:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:37:36 Pod rfr-test-cluster-0 2394:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 121.769828ms
07:37:36 Pod rfr-test-cluster-0 2394:	Created container redis-exporter
