08:22:47 Pod redisoperator-56c8dfdfb-mkv88 790:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-mkv88 to acto-cluster-6-worker2
08:22:48 Pod redisoperator-56c8dfdfb-mkv88 793:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:22:49 Pod redisoperator-56c8dfdfb-mkv88 793:	Created container app
08:22:50 Pod redisoperator-56c8dfdfb-mkv88 793:	Started container app
08:22:47 ReplicaSet redisoperator-56c8dfdfb 787:	Created pod: redisoperator-56c8dfdfb-mkv88
08:22:17 Pod redisoperator-6445768794-xjlhx 720:	Successfully assigned acto-namespace/redisoperator-6445768794-xjlhx to acto-cluster-6-worker
08:22:21 Pod redisoperator-6445768794-xjlhx 723:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:22:21 Pod redisoperator-6445768794-xjlhx 723:	Created container app
08:22:22 Pod redisoperator-6445768794-xjlhx 723:	Started container app
08:22:50 Pod redisoperator-6445768794-xjlhx 723:	Stopping container app
08:22:17 ReplicaSet redisoperator-6445768794 710:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
08:22:17 ReplicaSet redisoperator-6445768794 717:	Created pod: redisoperator-6445768794-xjlhx
08:22:50 ReplicaSet redisoperator-6445768794 895:	Deleted pod: redisoperator-6445768794-xjlhx
08:22:17 Deployment redisoperator 709:	Scaled up replica set redisoperator-6445768794 to 1
08:22:47 Deployment redisoperator 786:	Scaled up replica set redisoperator-56c8dfdfb to 1
08:22:50 Deployment redisoperator 797:	Scaled down replica set redisoperator-6445768794 to 0
08:22:49 Pod rfr-test-cluster-0 821:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-6-worker3
08:22:50 Pod rfr-test-cluster-0 825:	Container image "redis:6.2.6-alpine" already present on machine
08:22:50 Pod rfr-test-cluster-0 825:	Created container redis
08:22:50 Pod rfr-test-cluster-0 825:	Started container redis
08:22:50 Pod rfr-test-cluster-0 825:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:22:51 Pod rfr-test-cluster-0 825:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 287.402978ms
08:22:51 Pod rfr-test-cluster-0 825:	Created container redis-exporter
08:22:54 Pod rfr-test-cluster-0 825:	Started container redis-exporter
08:23:29 Pod rfr-test-cluster-0 825:	Readiness probe failed: 
08:26:51 Pod rfr-test-cluster-0 825:	Stopping container redis
08:26:51 Pod rfr-test-cluster-0 825:	Stopping container redis-exporter
08:26:52 Pod rfr-test-cluster-0 1496:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-6-worker3
08:26:53 Pod rfr-test-cluster-0 1497:	Container image "redis:6.2.6-alpine" already present on machine
08:26:53 Pod rfr-test-cluster-0 1497:	Created container redis
08:26:53 Pod rfr-test-cluster-0 1497:	Started container redis
08:26:53 Pod rfr-test-cluster-0 1497:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:26:53 Pod rfr-test-cluster-0 1497:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 117.670345ms
08:26:53 Pod rfr-test-cluster-0 1497:	Created container redis-exporter
08:26:56 Pod rfr-test-cluster-0 1497:	Started container redis-exporter
08:27:32 Pod rfr-test-cluster-0 1497:	Readiness probe failed: 
08:22:49 Pod rfr-test-cluster-1 826:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-6-worker2
08:22:50 Pod rfr-test-cluster-1 829:	Container image "redis:6.2.6-alpine" already present on machine
08:22:50 Pod rfr-test-cluster-1 829:	Created container redis
08:22:50 Pod rfr-test-cluster-1 829:	Started container redis
08:22:50 Pod rfr-test-cluster-1 829:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:22:51 Pod rfr-test-cluster-1 829:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 323.447423ms
08:22:51 Pod rfr-test-cluster-1 829:	Created container redis-exporter
08:22:53 Pod rfr-test-cluster-1 829:	Started container redis-exporter
08:23:29 Pod rfr-test-cluster-1 829:	Readiness probe failed: 
08:25:53 Pod rfr-test-cluster-1 829:	Stopping container redis
08:25:53 Pod rfr-test-cluster-1 829:	Stopping container redis-exporter
08:25:55 Pod rfr-test-cluster-1 1333:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-6-worker2
