06:56:53 Pod redisoperator-56c8dfdfb-g546l 788:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-g546l to acto-cluster-7-worker
06:56:55 Pod redisoperator-56c8dfdfb-g546l 790:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:56:55 Pod redisoperator-56c8dfdfb-g546l 790:	Created container app
06:56:56 Pod redisoperator-56c8dfdfb-g546l 790:	Started container app
06:56:53 ReplicaSet redisoperator-56c8dfdfb 785:	Created pod: redisoperator-56c8dfdfb-g546l
06:56:23 Pod redisoperator-6445768794-w67xk 716:	Successfully assigned acto-namespace/redisoperator-6445768794-w67xk to acto-cluster-7-worker2
06:56:24 Pod redisoperator-6445768794-w67xk 719:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:56:25 Pod redisoperator-6445768794-w67xk 719:	Created container app
06:56:26 Pod redisoperator-6445768794-w67xk 719:	Started container app
06:56:57 Pod redisoperator-6445768794-w67xk 719:	Stopping container app
06:56:23 ReplicaSet redisoperator-6445768794 708:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
06:56:23 ReplicaSet redisoperator-6445768794 714:	Created pod: redisoperator-6445768794-w67xk
06:56:57 ReplicaSet redisoperator-6445768794 905:	Deleted pod: redisoperator-6445768794-w67xk
06:56:23 Deployment redisoperator 706:	Scaled up replica set redisoperator-6445768794 to 1
06:56:53 Deployment redisoperator 784:	Scaled up replica set redisoperator-56c8dfdfb to 1
06:56:57 Deployment redisoperator 795:	Scaled down replica set redisoperator-6445768794 to 0
06:56:55 Pod rfr-test-cluster-0 819:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-7-worker3
06:56:56 Pod rfr-test-cluster-0 824:	Container image "redis:6.2.6-alpine" already present on machine
06:56:56 Pod rfr-test-cluster-0 824:	Created container redis
06:56:56 Pod rfr-test-cluster-0 824:	Started container redis
06:56:56 Pod rfr-test-cluster-0 824:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:56:57 Pod rfr-test-cluster-0 824:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 234.155247ms
06:56:57 Pod rfr-test-cluster-0 824:	Created container redis-exporter
06:57:00 Pod rfr-test-cluster-0 824:	Started container redis-exporter
06:57:35 Pod rfr-test-cluster-0 824:	Readiness probe failed: 
07:00:29 Pod rfr-test-cluster-0 824:	Stopping container redis
07:00:29 Pod rfr-test-cluster-0 824:	Stopping container redis-exporter
07:00:31 Pod rfr-test-cluster-0 1452:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-7-worker3
07:00:32 Pod rfr-test-cluster-0 1453:	Container image "redis:6.2.6-alpine" already present on machine
07:00:32 Pod rfr-test-cluster-0 1453:	Created container redis
07:00:32 Pod rfr-test-cluster-0 1453:	Started container redis
07:00:32 Pod rfr-test-cluster-0 1453:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:00:33 Pod rfr-test-cluster-0 1453:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 127.51164ms
07:00:33 Pod rfr-test-cluster-0 1453:	Created container redis-exporter
07:00:35 Pod rfr-test-cluster-0 1453:	Started container redis-exporter
07:01:12 Pod rfr-test-cluster-0 1453:	Readiness probe failed: 
07:04:56 Pod rfr-test-cluster-0 1453:	Stopping container redis
07:04:56 Pod rfr-test-cluster-0 1453:	Stopping container redis-exporter
07:04:57 Pod rfr-test-cluster-0 1939:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-7-worker3
07:04:58 Pod rfr-test-cluster-0 1941:	Container image "redis:6.2.6-alpine" already present on machine
07:04:58 Pod rfr-test-cluster-0 1941:	Created container redis
07:04:58 Pod rfr-test-cluster-0 1941:	Started container redis
07:04:58 Pod rfr-test-cluster-0 1941:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:04:58 Pod rfr-test-cluster-0 1941:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 110.93449ms
07:04:58 Pod rfr-test-cluster-0 1941:	Created container redis-exporter
07:05:01 Pod rfr-test-cluster-0 1941:	Started container redis-exporter
07:06:06 Pod rfr-test-cluster-0 1941:	Usage of EmptyDir volume "redis-data" exceeds the limit "5". 
07:06:06 Pod rfr-test-cluster-0 1941:	Stopping container redis
07:06:06 Pod rfr-test-cluster-0 1941:	Stopping container redis-exporter
07:06:07 Pod rfr-test-cluster-0 2173:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-7-worker3
07:06:08 Pod rfr-test-cluster-0 2176:	Container image "redis:6.2.6-alpine" already present on machine
07:06:08 Pod rfr-test-cluster-0 2176:	Created container redis
07:06:08 Pod rfr-test-cluster-0 2176:	Started container redis
07:06:08 Pod rfr-test-cluster-0 2176:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:06:08 Pod rfr-test-cluster-0 2176:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 126.207136ms
07:06:08 Pod rfr-test-cluster-0 2176:	Created container redis-exporter
07:06:11 Pod rfr-test-cluster-0 2176:	Started container redis-exporter
07:06:47 Pod rfr-test-cluster-0 2176:	Readiness probe failed: 
07:10:09 Pod rfr-test-cluster-0 2176:	Usage of EmptyDir volume "redis-data" exceeds the limit "5". 
07:10:09 Pod rfr-test-cluster-0 2176:	Stopping container redis
07:10:09 Pod rfr-test-cluster-0 2176:	Stopping container redis-exporter
07:10:10 Pod rfr-test-cluster-0 2760:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-7-worker3
07:10:10 Pod rfr-test-cluster-0 2766:	Container image "redis:6.2.6-alpine" already present on machine
07:10:10 Pod rfr-test-cluster-0 2766:	Created container redis
07:10:11 Pod rfr-test-cluster-0 2766:	Started container redis
07:10:11 Pod rfr-test-cluster-0 2766:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:10:11 Pod rfr-test-cluster-0 2766:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 175.714415ms
07:10:11 Pod rfr-test-cluster-0 2766:	Created container redis-exporter
07:10:15 Pod rfr-test-cluster-0 2766:	Started container redis-exporter
07:10:50 Pod rfr-test-cluster-0 2766:	Readiness probe failed: 
07:13:01 Pod rfr-test-cluster-0 2766:	Usage of EmptyDir volume "redis-data" exceeds the limit "5". 
07:13:01 Pod rfr-test-cluster-0 2766:	Stopping container redis
07:13:01 Pod rfr-test-cluster-0 2766:	Stopping container redis-exporter
07:13:02 Pod rfr-test-cluster-0 3145:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-7-worker3
07:13:03 Pod rfr-test-cluster-0 3148:	Container image "redis:6.2.6-alpine" already present on machine
07:13:03 Pod rfr-test-cluster-0 3148:	Created container redis
07:13:03 Pod rfr-test-cluster-0 3148:	Started container redis
07:13:03 Pod rfr-test-cluster-0 3148:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:13:03 Pod rfr-test-cluster-0 3148:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 117.25814ms
07:13:03 Pod rfr-test-cluster-0 3148:	Created container redis-exporter
07:13:06 Pod rfr-test-cluster-0 3148:	Started container redis-exporter
07:14:03 Pod rfr-test-cluster-0 3148:	Usage of EmptyDir volume "redis-data" exceeds the limit "5". 
