09:39:23 Pod redisoperator-56c8dfdfb-vl45k 798:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-vl45k to acto-cluster-7-worker2
09:39:24 Pod redisoperator-56c8dfdfb-vl45k 801:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
09:39:24 Pod redisoperator-56c8dfdfb-vl45k 801:	Created container app
09:39:26 Pod redisoperator-56c8dfdfb-vl45k 801:	Started container app
09:39:23 ReplicaSet redisoperator-56c8dfdfb 795:	Created pod: redisoperator-56c8dfdfb-vl45k
09:38:53 Pod redisoperator-6445768794-vlp2f 728:	Successfully assigned acto-namespace/redisoperator-6445768794-vlp2f to acto-cluster-7-worker2
09:38:54 Pod redisoperator-6445768794-vlp2f None:	Cancelling deletion of Pod acto-namespace/redisoperator-6445768794-vlp2f
09:38:54 Pod redisoperator-6445768794-vlp2f 731:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
09:38:54 Pod redisoperator-6445768794-vlp2f 731:	Created container app
09:38:56 Pod redisoperator-6445768794-vlp2f 731:	Started container app
09:39:26 Pod redisoperator-6445768794-vlp2f 731:	Stopping container app
09:38:53 ReplicaSet redisoperator-6445768794 717:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
09:38:53 ReplicaSet redisoperator-6445768794 723:	Created pod: redisoperator-6445768794-vlp2f
09:39:26 ReplicaSet redisoperator-6445768794 888:	Deleted pod: redisoperator-6445768794-vlp2f
09:38:53 Deployment redisoperator 716:	Scaled up replica set redisoperator-6445768794 to 1
09:39:23 Deployment redisoperator 794:	Scaled up replica set redisoperator-56c8dfdfb to 1
09:39:26 Deployment redisoperator 805:	Scaled down replica set redisoperator-6445768794 to 0
09:39:25 Pod rfr-test-cluster-0 829:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-7-worker
09:39:26 Pod rfr-test-cluster-0 833:	Container image "redis:6.2.6-alpine" already present on machine
09:39:26 Pod rfr-test-cluster-0 833:	Created container redis
09:39:26 Pod rfr-test-cluster-0 833:	Started container redis
09:39:26 Pod rfr-test-cluster-0 833:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:39:26 Pod rfr-test-cluster-0 833:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 263.761941ms
09:39:26 Pod rfr-test-cluster-0 833:	Created container redis-exporter
09:39:29 Pod rfr-test-cluster-0 833:	Started container redis-exporter
