06:35:30 Pod redisoperator-56c8dfdfb-fxd4k 811:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-fxd4k to acto-cluster-8-worker
06:35:31 Pod redisoperator-56c8dfdfb-fxd4k 814:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:35:31 Pod redisoperator-56c8dfdfb-fxd4k 814:	Created container app
06:35:32 Pod redisoperator-56c8dfdfb-fxd4k 814:	Started container app
06:35:30 ReplicaSet redisoperator-56c8dfdfb 808:	Created pod: redisoperator-56c8dfdfb-fxd4k
06:35:00 Pod redisoperator-6445768794-s4ns2 739:	Successfully assigned acto-namespace/redisoperator-6445768794-s4ns2 to acto-cluster-8-worker3
06:35:01 Pod redisoperator-6445768794-s4ns2 743:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:35:01 Pod redisoperator-6445768794-s4ns2 743:	Created container app
06:35:02 Pod redisoperator-6445768794-s4ns2 743:	Started container app
06:35:33 Pod redisoperator-6445768794-s4ns2 743:	Stopping container app
06:35:00 ReplicaSet redisoperator-6445768794 730:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
06:35:00 ReplicaSet redisoperator-6445768794 736:	Created pod: redisoperator-6445768794-s4ns2
06:35:33 ReplicaSet redisoperator-6445768794 845:	Deleted pod: redisoperator-6445768794-s4ns2
06:35:00 Deployment redisoperator 729:	Scaled up replica set redisoperator-6445768794 to 1
06:35:30 Deployment redisoperator 807:	Scaled up replica set redisoperator-56c8dfdfb to 1
06:35:33 Deployment redisoperator 818:	Scaled down replica set redisoperator-6445768794 to 0
06:35:33 Pod rfr-test-cluster-0 858:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-8-worker3
06:35:34 Pod rfr-test-cluster-0 860:	Container image "redis:6.2.6-alpine" already present on machine
06:35:34 Pod rfr-test-cluster-0 860:	Created container redis
06:35:34 Pod rfr-test-cluster-0 860:	Started container redis
06:35:34 Pod rfr-test-cluster-0 860:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:35:34 Pod rfr-test-cluster-0 860:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 335.21975ms
