07:23:07 Pod redisoperator-56c8dfdfb-2g4ff 795:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-2g4ff to acto-cluster-8-worker
07:23:09 Pod redisoperator-56c8dfdfb-2g4ff 797:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:23:09 Pod redisoperator-56c8dfdfb-2g4ff 797:	Created container app
07:23:10 Pod redisoperator-56c8dfdfb-2g4ff 797:	Started container app
07:23:07 ReplicaSet redisoperator-56c8dfdfb 792:	Created pod: redisoperator-56c8dfdfb-2g4ff
07:22:36 Pod redisoperator-6445768794-tz5zm 724:	Successfully assigned acto-namespace/redisoperator-6445768794-tz5zm to acto-cluster-8-worker
07:22:39 Pod redisoperator-6445768794-tz5zm 727:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:22:39 Pod redisoperator-6445768794-tz5zm 727:	Created container app
07:22:39 Pod redisoperator-6445768794-tz5zm None:	Cancelling deletion of Pod acto-namespace/redisoperator-6445768794-tz5zm
07:22:41 Pod redisoperator-6445768794-tz5zm 727:	Started container app
07:23:11 Pod redisoperator-6445768794-tz5zm 727:	Stopping container app
07:22:36 ReplicaSet redisoperator-6445768794 715:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
07:22:36 ReplicaSet redisoperator-6445768794 721:	Created pod: redisoperator-6445768794-tz5zm
07:23:11 ReplicaSet redisoperator-6445768794 908:	Deleted pod: redisoperator-6445768794-tz5zm
07:22:36 Deployment redisoperator 714:	Scaled up replica set redisoperator-6445768794 to 1
07:23:07 Deployment redisoperator 791:	Scaled up replica set redisoperator-56c8dfdfb to 1
07:23:11 Deployment redisoperator 802:	Scaled down replica set redisoperator-6445768794 to 0
07:23:09 Pod rfr-test-cluster-0 827:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-8-worker2
07:23:10 Pod rfr-test-cluster-0 830:	Container image "redis:6.2.6-alpine" already present on machine
07:23:10 Pod rfr-test-cluster-0 830:	Created container redis
07:23:10 Pod rfr-test-cluster-0 830:	Started container redis
