08:10:07 Pod redisoperator-56c8dfdfb-dxnr2 796:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-dxnr2 to acto-cluster-8-worker2
08:10:09 Pod redisoperator-56c8dfdfb-dxnr2 799:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:10:09 Pod redisoperator-56c8dfdfb-dxnr2 799:	Created container app
08:10:10 Pod redisoperator-56c8dfdfb-dxnr2 799:	Started container app
08:10:07 ReplicaSet redisoperator-56c8dfdfb 793:	Created pod: redisoperator-56c8dfdfb-dxnr2
08:09:37 Pod redisoperator-6445768794-ghpbc 726:	Successfully assigned acto-namespace/redisoperator-6445768794-ghpbc to acto-cluster-8-worker2
08:09:38 Pod redisoperator-6445768794-ghpbc None:	Cancelling deletion of Pod acto-namespace/redisoperator-6445768794-ghpbc
08:09:38 Pod redisoperator-6445768794-ghpbc 729:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:09:38 Pod redisoperator-6445768794-ghpbc 729:	Created container app
08:09:40 Pod redisoperator-6445768794-ghpbc 729:	Started container app
08:10:11 Pod redisoperator-6445768794-ghpbc 729:	Stopping container app
08:09:37 ReplicaSet redisoperator-6445768794 717:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
08:09:37 ReplicaSet redisoperator-6445768794 723:	Created pod: redisoperator-6445768794-ghpbc
08:10:11 ReplicaSet redisoperator-6445768794 910:	Deleted pod: redisoperator-6445768794-ghpbc
08:09:37 Deployment redisoperator 716:	Scaled up replica set redisoperator-6445768794 to 1
08:10:07 Deployment redisoperator 792:	Scaled up replica set redisoperator-56c8dfdfb to 1
08:10:11 Deployment redisoperator 803:	Scaled down replica set redisoperator-6445768794 to 0
08:10:09 Pod rfr-test-cluster-0 830:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-8-worker
08:10:10 Pod rfr-test-cluster-0 835:	Container image "redis:6.2.6-alpine" already present on machine
08:10:10 Pod rfr-test-cluster-0 835:	Created container redis
08:10:10 Pod rfr-test-cluster-0 835:	Started container redis
08:10:10 Pod rfr-test-cluster-0 835:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:10:11 Pod rfr-test-cluster-0 835:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 269.04425ms
08:10:11 Pod rfr-test-cluster-0 835:	Created container redis-exporter
08:10:14 Pod rfr-test-cluster-0 835:	Started container redis-exporter
08:10:49 Pod rfr-test-cluster-0 835:	Readiness probe failed: 
08:13:42 Pod rfr-test-cluster-0 835:	Stopping container redis
08:13:42 Pod rfr-test-cluster-0 835:	Stopping container redis-exporter
08:23:13 Pod rfr-test-cluster-0 2340:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-8-worker3
08:23:14 Pod rfr-test-cluster-0 2342:	Container image "redis:6.2.6-alpine" already present on machine
08:23:14 Pod rfr-test-cluster-0 2342:	Created container redis
