06:38:40 Pod redisoperator-56c8dfdfb-scrq9 783:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-scrq9 to acto-cluster-9-worker2
06:38:41 Pod redisoperator-56c8dfdfb-scrq9 785:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:38:42 Pod redisoperator-56c8dfdfb-scrq9 785:	Created container app
06:38:43 Pod redisoperator-56c8dfdfb-scrq9 785:	Started container app
06:38:40 ReplicaSet redisoperator-56c8dfdfb 780:	Created pod: redisoperator-56c8dfdfb-scrq9
06:38:10 Pod redisoperator-6445768794-rnqsl 712:	Successfully assigned acto-namespace/redisoperator-6445768794-rnqsl to acto-cluster-9-worker2
06:38:11 Pod redisoperator-6445768794-rnqsl 714:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:38:11 Pod redisoperator-6445768794-rnqsl 714:	Created container app
06:38:13 Pod redisoperator-6445768794-rnqsl 714:	Started container app
06:38:43 Pod redisoperator-6445768794-rnqsl 714:	Stopping container app
06:38:10 ReplicaSet redisoperator-6445768794 703:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
06:38:10 ReplicaSet redisoperator-6445768794 709:	Created pod: redisoperator-6445768794-rnqsl
06:38:43 ReplicaSet redisoperator-6445768794 877:	Deleted pod: redisoperator-6445768794-rnqsl
06:38:10 Deployment redisoperator 702:	Scaled up replica set redisoperator-6445768794 to 1
06:38:40 Deployment redisoperator 779:	Scaled up replica set redisoperator-56c8dfdfb to 1
06:38:43 Deployment redisoperator 790:	Scaled down replica set redisoperator-6445768794 to 0
06:38:42 Pod rfr-test-cluster-0 816:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-9-worker2
06:38:43 Pod rfr-test-cluster-0 819:	Container image "redis:6.2.6-alpine" already present on machine
06:38:43 Pod rfr-test-cluster-0 819:	Created container redis
06:38:43 Pod rfr-test-cluster-0 819:	Started container redis
06:38:43 Pod rfr-test-cluster-0 819:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:38:44 Pod rfr-test-cluster-0 819:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 336.549836ms
06:38:44 Pod rfr-test-cluster-0 819:	Created container redis-exporter
06:38:47 Pod rfr-test-cluster-0 819:	Started container redis-exporter
06:39:22 Pod rfr-test-cluster-0 819:	Readiness probe failed: 
06:45:45 Pod rfr-test-cluster-0 819:	Stopping container redis
06:45:45 Pod rfr-test-cluster-0 819:	Stopping container redis-exporter
