07:37:07 Pod redisoperator-56c8dfdfb-ksnls 794:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-ksnls to acto-cluster-9-worker3
07:37:08 Pod redisoperator-56c8dfdfb-ksnls 795:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:37:09 Pod redisoperator-56c8dfdfb-ksnls 795:	Created container app
07:37:10 Pod redisoperator-56c8dfdfb-ksnls 795:	Started container app
07:37:07 ReplicaSet redisoperator-56c8dfdfb 791:	Created pod: redisoperator-56c8dfdfb-ksnls
07:36:37 Pod redisoperator-6445768794-5hbtc 725:	Successfully assigned acto-namespace/redisoperator-6445768794-5hbtc to acto-cluster-9-worker2
07:36:39 Pod redisoperator-6445768794-5hbtc 728:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:36:39 Pod redisoperator-6445768794-5hbtc 728:	Created container app
07:36:40 Pod redisoperator-6445768794-5hbtc 728:	Started container app
07:37:11 Pod redisoperator-6445768794-5hbtc 728:	Stopping container app
07:36:37 ReplicaSet redisoperator-6445768794 714:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
07:36:37 ReplicaSet redisoperator-6445768794 721:	Created pod: redisoperator-6445768794-5hbtc
07:37:11 ReplicaSet redisoperator-6445768794 900:	Deleted pod: redisoperator-6445768794-5hbtc
07:36:37 Deployment redisoperator 713:	Scaled up replica set redisoperator-6445768794 to 1
07:37:07 Deployment redisoperator 790:	Scaled up replica set redisoperator-56c8dfdfb to 1
07:37:11 Deployment redisoperator 801:	Scaled down replica set redisoperator-6445768794 to 0
07:37:09 Pod rfr-test-cluster-0 825:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-9-worker
07:37:10 Pod rfr-test-cluster-0 827:	Container image "redis:6.2.6-alpine" already present on machine
07:37:10 Pod rfr-test-cluster-0 827:	Created container redis
07:37:10 Pod rfr-test-cluster-0 827:	Started container redis
07:37:10 Pod rfr-test-cluster-0 827:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:37:11 Pod rfr-test-cluster-0 827:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 253.793315ms
07:37:11 Pod rfr-test-cluster-0 827:	Created container redis-exporter
07:37:14 Pod rfr-test-cluster-0 827:	Started container redis-exporter
07:37:49 Pod rfr-test-cluster-0 827:	Readiness probe failed: 
07:37:09 Pod rfr-test-cluster-1 830:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-9-worker2
07:37:10 Pod rfr-test-cluster-1 833:	Container image "redis:6.2.6-alpine" already present on machine
07:37:10 Pod rfr-test-cluster-1 833:	Created container redis
07:37:10 Pod rfr-test-cluster-1 833:	Started container redis
07:37:10 Pod rfr-test-cluster-1 833:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:37:11 Pod rfr-test-cluster-1 833:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 249.347821ms
07:37:11 Pod rfr-test-cluster-1 833:	Created container redis-exporter
07:37:14 Pod rfr-test-cluster-1 833:	Started container redis-exporter
07:37:49 Pod rfr-test-cluster-1 833:	Readiness probe failed: 
07:37:09 Pod rfr-test-cluster-2 834:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-9-worker3
07:37:10 Pod rfr-test-cluster-2 838:	Container image "redis:6.2.6-alpine" already present on machine
07:37:10 Pod rfr-test-cluster-2 838:	Created container redis
07:37:10 Pod rfr-test-cluster-2 838:	Started container redis
07:37:10 Pod rfr-test-cluster-2 838:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:37:11 Pod rfr-test-cluster-2 838:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 257.76187ms
07:37:11 Pod rfr-test-cluster-2 838:	Created container redis-exporter
07:37:13 Pod rfr-test-cluster-2 838:	Started container redis-exporter
07:37:49 Pod rfr-test-cluster-2 838:	Readiness probe failed: 
07:37:09 PodDisruptionBudget rfr-test-cluster 819:	No matching pods found
