08:07:46 Pod redisoperator-56c8dfdfb-7smfc 789:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-7smfc to acto-cluster-9-worker2
08:07:47 Pod redisoperator-56c8dfdfb-7smfc 791:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:07:47 Pod redisoperator-56c8dfdfb-7smfc 791:	Created container app
08:07:49 Pod redisoperator-56c8dfdfb-7smfc 791:	Started container app
08:07:46 ReplicaSet redisoperator-56c8dfdfb 786:	Created pod: redisoperator-56c8dfdfb-7smfc
08:07:15 Pod redisoperator-6445768794-4447f 717:	Successfully assigned acto-namespace/redisoperator-6445768794-4447f to acto-cluster-9-worker2
08:07:17 Pod redisoperator-6445768794-4447f 719:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:07:17 Pod redisoperator-6445768794-4447f 719:	Created container app
08:07:18 Pod redisoperator-6445768794-4447f None:	Cancelling deletion of Pod acto-namespace/redisoperator-6445768794-4447f
08:07:18 Pod redisoperator-6445768794-4447f 719:	Started container app
08:07:49 Pod redisoperator-6445768794-4447f 719:	Stopping container app
08:07:15 ReplicaSet redisoperator-6445768794 707:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
08:07:15 ReplicaSet redisoperator-6445768794 714:	Created pod: redisoperator-6445768794-4447f
08:07:49 ReplicaSet redisoperator-6445768794 874:	Deleted pod: redisoperator-6445768794-4447f
08:07:15 Deployment redisoperator 705:	Scaled up replica set redisoperator-6445768794 to 1
08:07:46 Deployment redisoperator 785:	Scaled up replica set redisoperator-56c8dfdfb to 1
08:07:49 Deployment redisoperator 796:	Scaled down replica set redisoperator-6445768794 to 0
08:07:49 Pod rfr-test-cluster-0 821:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-9-worker2
08:07:50 Pod rfr-test-cluster-0 827:	Container image "redis:6.2.6-alpine" already present on machine
08:07:50 Pod rfr-test-cluster-0 827:	Created container redis
08:07:50 Pod rfr-test-cluster-0 827:	Started container redis
08:07:50 Pod rfr-test-cluster-0 827:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:07:50 Pod rfr-test-cluster-0 827:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 299.642242ms
08:07:50 Pod rfr-test-cluster-0 827:	Created container redis-exporter
08:07:53 Pod rfr-test-cluster-0 827:	Started container redis-exporter
08:08:29 Pod rfr-test-cluster-0 827:	Readiness probe failed: 
08:07:49 Pod rfr-test-cluster-1 825:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-9-worker3
08:07:50 Pod rfr-test-cluster-1 829:	Container image "redis:6.2.6-alpine" already present on machine
08:07:50 Pod rfr-test-cluster-1 829:	Created container redis
08:07:50 Pod rfr-test-cluster-1 829:	Started container redis
08:07:50 Pod rfr-test-cluster-1 829:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:07:50 Pod rfr-test-cluster-1 829:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 248.442685ms
08:07:50 Pod rfr-test-cluster-1 829:	Created container redis-exporter
08:07:53 Pod rfr-test-cluster-1 829:	Started container redis-exporter
08:08:29 Pod rfr-test-cluster-1 829:	Readiness probe failed: 
08:07:49 Pod rfr-test-cluster-2 830:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-9-worker
08:07:50 Pod rfr-test-cluster-2 834:	Container image "redis:6.2.6-alpine" already present on machine
08:07:50 Pod rfr-test-cluster-2 834:	Created container redis
08:07:50 Pod rfr-test-cluster-2 834:	Started container redis
08:07:50 Pod rfr-test-cluster-2 834:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:07:50 Pod rfr-test-cluster-2 834:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 516.737264ms
08:07:50 Pod rfr-test-cluster-2 834:	Created container redis-exporter
08:07:54 Pod rfr-test-cluster-2 834:	Started container redis-exporter
08:08:29 Pod rfr-test-cluster-2 834:	Readiness probe failed: 
08:07:49 PodDisruptionBudget rfr-test-cluster 815:	No matching pods found
08:07:49 StatefulSet rfr-test-cluster 818:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
08:07:49 StatefulSet rfr-test-cluster 818:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
08:07:49 StatefulSet rfr-test-cluster 818:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
08:07:49 Pod rfs-test-cluster-54df69f8df-6qjjq 849:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-6qjjq to acto-cluster-9-worker
08:07:50 Pod rfs-test-cluster-54df69f8df-6qjjq 853:	Container image "redis:6.2.6-alpine" already present on machine
08:07:50 Pod rfs-test-cluster-54df69f8df-6qjjq 853:	Created container sentinel-config-copy
08:08:05 Pod rfs-test-cluster-54df69f8df-6qjjq 853:	Started container sentinel-config-copy
08:08:06 Pod rfs-test-cluster-54df69f8df-6qjjq 853:	Container image "redis:6.2.6-alpine" already present on machine
08:08:06 Pod rfs-test-cluster-54df69f8df-6qjjq 853:	Created container sentinel
08:08:06 Pod rfs-test-cluster-54df69f8df-6qjjq 853:	Started container sentinel
08:13:32 Pod rfs-test-cluster-54df69f8df-6qjjq 853:	Stopping container sentinel
08:07:49 Pod rfs-test-cluster-54df69f8df-bhlpx 855:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-bhlpx to acto-cluster-9-worker3
08:07:50 Pod rfs-test-cluster-54df69f8df-bhlpx 860:	Container image "redis:6.2.6-alpine" already present on machine
08:07:50 Pod rfs-test-cluster-54df69f8df-bhlpx 860:	Created container sentinel-config-copy
08:08:04 Pod rfs-test-cluster-54df69f8df-bhlpx 860:	Started container sentinel-config-copy
08:08:06 Pod rfs-test-cluster-54df69f8df-bhlpx 860:	Container image "redis:6.2.6-alpine" already present on machine
08:08:06 Pod rfs-test-cluster-54df69f8df-bhlpx 860:	Created container sentinel
08:08:06 Pod rfs-test-cluster-54df69f8df-bhlpx 860:	Started container sentinel
08:14:22 Pod rfs-test-cluster-54df69f8df-bhlpx 860:	Stopping container sentinel
08:07:49 Pod rfs-test-cluster-54df69f8df-h8bl8 854:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-h8bl8 to acto-cluster-9-worker2
08:07:50 Pod rfs-test-cluster-54df69f8df-h8bl8 859:	Container image "redis:6.2.6-alpine" already present on machine
08:07:50 Pod rfs-test-cluster-54df69f8df-h8bl8 859:	Created container sentinel-config-copy
08:08:05 Pod rfs-test-cluster-54df69f8df-h8bl8 859:	Started container sentinel-config-copy
08:08:06 Pod rfs-test-cluster-54df69f8df-h8bl8 859:	Container image "redis:6.2.6-alpine" already present on machine
08:08:06 Pod rfs-test-cluster-54df69f8df-h8bl8 859:	Created container sentinel
08:08:07 Pod rfs-test-cluster-54df69f8df-h8bl8 859:	Started container sentinel
08:12:42 Pod rfs-test-cluster-54df69f8df-h8bl8 859:	Stopping container sentinel
08:07:49 ReplicaSet rfs-test-cluster-54df69f8df 847:	Created pod: rfs-test-cluster-54df69f8df-6qjjq
08:07:49 ReplicaSet rfs-test-cluster-54df69f8df 847:	Created pod: rfs-test-cluster-54df69f8df-h8bl8
08:07:49 ReplicaSet rfs-test-cluster-54df69f8df 847:	Created pod: rfs-test-cluster-54df69f8df-bhlpx
08:12:42 ReplicaSet rfs-test-cluster-54df69f8df 1516:	Deleted pod: rfs-test-cluster-54df69f8df-h8bl8
08:13:32 ReplicaSet rfs-test-cluster-54df69f8df 1646:	Deleted pod: rfs-test-cluster-54df69f8df-6qjjq
08:14:22 ReplicaSet rfs-test-cluster-54df69f8df 1771:	Deleted pod: rfs-test-cluster-54df69f8df-bhlpx
08:19:50 Pod rfs-test-cluster-6d54f84994-745ml 2502:	Successfully assigned acto-namespace/rfs-test-cluster-6d54f84994-745ml to acto-cluster-9-worker2
08:19:50 Pod rfs-test-cluster-6d54f84994-745ml 2504:	Container image "redis:6.2.6-alpine" already present on machine
08:19:50 Pod rfs-test-cluster-6d54f84994-745ml 2504:	Created container sentinel-config-copy
08:20:03 Pod rfs-test-cluster-6d54f84994-745ml 2504:	Started container sentinel-config-copy
08:20:04 Pod rfs-test-cluster-6d54f84994-745ml 2504:	Container image "redis:6.2.6-alpine" already present on machine
08:20:04 Pod rfs-test-cluster-6d54f84994-745ml 2504:	Created container sentinel
08:20:04 Pod rfs-test-cluster-6d54f84994-745ml 2504:	Started container sentinel
08:24:14 Pod rfs-test-cluster-6d54f84994-745ml 2504:	Stopping container sentinel
08:13:32 Pod rfs-test-cluster-6d54f84994-98qkx 1660:	Successfully assigned acto-namespace/rfs-test-cluster-6d54f84994-98qkx to acto-cluster-9-worker3
08:13:33 Pod rfs-test-cluster-6d54f84994-98qkx 1664:	Container image "redis:6.2.6-alpine" already present on machine
08:13:33 Pod rfs-test-cluster-6d54f84994-98qkx 1664:	Created container sentinel-config-copy
08:13:47 Pod rfs-test-cluster-6d54f84994-98qkx 1664:	Started container sentinel-config-copy
08:13:50 Pod rfs-test-cluster-6d54f84994-98qkx 1664:	Container image "redis:6.2.6-alpine" already present on machine
08:13:50 Pod rfs-test-cluster-6d54f84994-98qkx 1664:	Created container sentinel
08:13:50 Pod rfs-test-cluster-6d54f84994-98qkx 1664:	Started container sentinel
08:17:55 Pod rfs-test-cluster-6d54f84994-98qkx 1664:	Stopping container sentinel
08:11:52 Pod rfs-test-cluster-6d54f84994-9qjvj 1410:	Successfully assigned acto-namespace/rfs-test-cluster-6d54f84994-9qjvj to acto-cluster-9-worker2
08:11:52 Pod rfs-test-cluster-6d54f84994-9qjvj 1412:	Container image "redis:6.2.6-alpine" already present on machine
08:11:52 Pod rfs-test-cluster-6d54f84994-9qjvj 1412:	Created container sentinel-config-copy
08:12:05 Pod rfs-test-cluster-6d54f84994-9qjvj 1412:	Started container sentinel-config-copy
