06:55:29 Pod redisoperator-56c8dfdfb-kvkrj 790:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-kvkrj to acto-cluster-10-worker
06:55:30 Pod redisoperator-56c8dfdfb-kvkrj 792:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:55:30 Pod redisoperator-56c8dfdfb-kvkrj 792:	Created container app
06:55:31 Pod redisoperator-56c8dfdfb-kvkrj 792:	Started container app
06:55:29 ReplicaSet redisoperator-56c8dfdfb 787:	Created pod: redisoperator-56c8dfdfb-kvkrj
06:54:59 Pod redisoperator-6445768794-nmj78 719:	Successfully assigned acto-namespace/redisoperator-6445768794-nmj78 to acto-cluster-10-worker
06:55:03 Pod redisoperator-6445768794-nmj78 724:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:55:03 Pod redisoperator-6445768794-nmj78 724:	Created container app
06:55:06 Pod redisoperator-6445768794-nmj78 724:	Started container app
06:55:32 Pod redisoperator-6445768794-nmj78 724:	Stopping container app
06:54:59 ReplicaSet redisoperator-6445768794 710:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
06:54:59 ReplicaSet redisoperator-6445768794 717:	Created pod: redisoperator-6445768794-nmj78
06:55:32 ReplicaSet redisoperator-6445768794 827:	Deleted pod: redisoperator-6445768794-nmj78
06:54:59 Deployment redisoperator 708:	Scaled up replica set redisoperator-6445768794 to 1
06:55:29 Deployment redisoperator 786:	Scaled up replica set redisoperator-56c8dfdfb to 1
06:55:32 Deployment redisoperator 797:	Scaled down replica set redisoperator-6445768794 to 0
06:55:32 Pod rfr-test-cluster-0 828:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-10-worker2
06:55:33 Pod rfr-test-cluster-0 835:	Container image "redis:6.2.6-alpine" already present on machine
06:55:33 Pod rfr-test-cluster-0 835:	Created container redis
06:55:33 Pod rfr-test-cluster-0 835:	Started container redis
06:55:33 Pod rfr-test-cluster-0 835:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:55:33 Pod rfr-test-cluster-0 835:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 237.988495ms
06:55:33 Pod rfr-test-cluster-0 835:	Created container redis-exporter
06:55:36 Pod rfr-test-cluster-0 835:	Started container redis-exporter
06:56:12 Pod rfr-test-cluster-0 835:	Readiness probe failed: 
06:55:32 Pod rfr-test-cluster-1 833:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-10-worker
06:55:33 Pod rfr-test-cluster-1 841:	Container image "redis:6.2.6-alpine" already present on machine
06:55:33 Pod rfr-test-cluster-1 841:	Created container redis
06:55:33 Pod rfr-test-cluster-1 841:	Started container redis
06:55:33 Pod rfr-test-cluster-1 841:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:55:34 Pod rfr-test-cluster-1 841:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 382.768795ms
06:55:34 Pod rfr-test-cluster-1 841:	Created container redis-exporter
06:55:36 Pod rfr-test-cluster-1 841:	Started container redis-exporter
06:56:12 Pod rfr-test-cluster-1 841:	Readiness probe failed: 
06:55:32 Pod rfr-test-cluster-2 843:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-10-worker3
06:55:32 Pod rfr-test-cluster-2 848:	Container image "redis:6.2.6-alpine" already present on machine
06:55:33 Pod rfr-test-cluster-2 848:	Created container redis
06:55:33 Pod rfr-test-cluster-2 848:	Started container redis
06:55:33 Pod rfr-test-cluster-2 848:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:55:33 Pod rfr-test-cluster-2 848:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 238.037263ms
06:55:33 Pod rfr-test-cluster-2 848:	Created container redis-exporter
06:55:36 Pod rfr-test-cluster-2 848:	Started container redis-exporter
06:56:12 Pod rfr-test-cluster-2 848:	Readiness probe failed: 
06:55:32 PodDisruptionBudget rfr-test-cluster 819:	No matching pods found
06:55:32 StatefulSet rfr-test-cluster 821:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
06:55:32 StatefulSet rfr-test-cluster 821:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
06:55:32 StatefulSet rfr-test-cluster 821:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
06:55:32 Pod rfs-test-cluster-54df69f8df-2p8hw 863:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-2p8hw to acto-cluster-10-worker3
06:55:33 Pod rfs-test-cluster-54df69f8df-2p8hw 867:	Container image "redis:6.2.6-alpine" already present on machine
06:55:33 Pod rfs-test-cluster-54df69f8df-2p8hw 867:	Created container sentinel-config-copy
06:55:47 Pod rfs-test-cluster-54df69f8df-2p8hw 867:	Started container sentinel-config-copy
06:55:50 Pod rfs-test-cluster-54df69f8df-2p8hw 867:	Container image "redis:6.2.6-alpine" already present on machine
06:55:50 Pod rfs-test-cluster-54df69f8df-2p8hw 867:	Created container sentinel
06:55:50 Pod rfs-test-cluster-54df69f8df-2p8hw 867:	Started container sentinel
06:59:25 Pod rfs-test-cluster-54df69f8df-2p8hw 867:	Stopping container sentinel
06:55:32 Pod rfs-test-cluster-54df69f8df-kmqvw 869:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-kmqvw to acto-cluster-10-worker
06:55:33 Pod rfs-test-cluster-54df69f8df-kmqvw 874:	Container image "redis:6.2.6-alpine" already present on machine
06:55:33 Pod rfs-test-cluster-54df69f8df-kmqvw 874:	Created container sentinel-config-copy
06:55:48 Pod rfs-test-cluster-54df69f8df-kmqvw 874:	Started container sentinel-config-copy
06:55:50 Pod rfs-test-cluster-54df69f8df-kmqvw 874:	Container image "redis:6.2.6-alpine" already present on machine
06:55:50 Pod rfs-test-cluster-54df69f8df-kmqvw 874:	Created container sentinel
06:55:50 Pod rfs-test-cluster-54df69f8df-kmqvw 874:	Started container sentinel
07:00:16 Pod rfs-test-cluster-54df69f8df-kmqvw 874:	Stopping container sentinel
06:55:32 Pod rfs-test-cluster-54df69f8df-rt62s 868:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-rt62s to acto-cluster-10-worker2
06:55:33 Pod rfs-test-cluster-54df69f8df-rt62s 873:	Container image "redis:6.2.6-alpine" already present on machine
06:55:33 Pod rfs-test-cluster-54df69f8df-rt62s 873:	Created container sentinel-config-copy
06:55:47 Pod rfs-test-cluster-54df69f8df-rt62s 873:	Started container sentinel-config-copy
06:55:49 Pod rfs-test-cluster-54df69f8df-rt62s 873:	Container image "redis:6.2.6-alpine" already present on machine
06:55:49 Pod rfs-test-cluster-54df69f8df-rt62s 873:	Created container sentinel
06:55:49 Pod rfs-test-cluster-54df69f8df-rt62s 873:	Started container sentinel
07:01:06 Pod rfs-test-cluster-54df69f8df-rt62s 873:	Stopping container sentinel
06:55:32 ReplicaSet rfs-test-cluster-54df69f8df 861:	Created pod: rfs-test-cluster-54df69f8df-2p8hw
06:55:32 ReplicaSet rfs-test-cluster-54df69f8df 861:	Created pod: rfs-test-cluster-54df69f8df-rt62s
06:55:32 ReplicaSet rfs-test-cluster-54df69f8df 861:	Created pod: rfs-test-cluster-54df69f8df-kmqvw
06:59:25 ReplicaSet rfs-test-cluster-54df69f8df 1420:	Deleted pod: rfs-test-cluster-54df69f8df-2p8hw
07:00:16 ReplicaSet rfs-test-cluster-54df69f8df 1546:	Deleted pod: rfs-test-cluster-54df69f8df-kmqvw
07:01:06 ReplicaSet rfs-test-cluster-54df69f8df 1677:	Deleted pod: rfs-test-cluster-54df69f8df-rt62s
