07:16:50 Pod redisoperator-56c8dfdfb-mbwql 801:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-mbwql to acto-cluster-10-worker
07:16:52 Pod redisoperator-56c8dfdfb-mbwql 804:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:16:52 Pod redisoperator-56c8dfdfb-mbwql 804:	Created container app
07:16:53 Pod redisoperator-56c8dfdfb-mbwql 804:	Started container app
07:16:50 ReplicaSet redisoperator-56c8dfdfb 798:	Created pod: redisoperator-56c8dfdfb-mbwql
07:16:20 Pod redisoperator-6445768794-9x5xn 730:	Successfully assigned acto-namespace/redisoperator-6445768794-9x5xn to acto-cluster-10-worker3
07:16:21 Pod redisoperator-6445768794-9x5xn 735:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:16:21 Pod redisoperator-6445768794-9x5xn 735:	Created container app
07:16:23 Pod redisoperator-6445768794-9x5xn 735:	Started container app
07:16:53 Pod redisoperator-6445768794-9x5xn 735:	Stopping container app
07:16:20 ReplicaSet redisoperator-6445768794 722:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
07:16:20 ReplicaSet redisoperator-6445768794 728:	Created pod: redisoperator-6445768794-9x5xn
07:16:53 ReplicaSet redisoperator-6445768794 915:	Deleted pod: redisoperator-6445768794-9x5xn
07:16:20 Deployment redisoperator 720:	Scaled up replica set redisoperator-6445768794 to 1
07:16:50 Deployment redisoperator 797:	Scaled up replica set redisoperator-56c8dfdfb to 1
07:16:53 Deployment redisoperator 808:	Scaled down replica set redisoperator-6445768794 to 0
07:16:52 Pod rfr-test-cluster-0 835:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-10-worker2
07:16:53 Pod rfr-test-cluster-0 839:	Container image "redis:6.2.6-alpine" already present on machine
07:16:53 Pod rfr-test-cluster-0 839:	Created container redis
07:16:53 Pod rfr-test-cluster-0 839:	Started container redis
07:16:53 Pod rfr-test-cluster-0 839:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:16:53 Pod rfr-test-cluster-0 839:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 288.948575ms
07:16:53 Pod rfr-test-cluster-0 839:	Created container redis-exporter
07:16:56 Pod rfr-test-cluster-0 839:	Started container redis-exporter
07:17:32 Pod rfr-test-cluster-0 839:	Readiness probe failed: 
07:22:55 Pod rfr-test-cluster-0 839:	Stopping container redis
07:22:55 Pod rfr-test-cluster-0 839:	Stopping container redis-exporter
07:32:00 Pod rfr-test-cluster-0 2548:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-10-worker3
07:32:00 Pod rfr-test-cluster-0 2549:	Container image "redis:6.2.6-alpine" already present on machine
07:32:00 Pod rfr-test-cluster-0 2549:	Created container redis
07:32:00 Pod rfr-test-cluster-0 2549:	Started container redis
07:32:00 Pod rfr-test-cluster-0 2549:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:32:01 Pod rfr-test-cluster-0 2549:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 119.79101ms
07:32:01 Pod rfr-test-cluster-0 2549:	Created container redis-exporter
07:32:04 Pod rfr-test-cluster-0 2549:	Started container redis-exporter
07:32:30 Pod rfr-test-cluster-0 2549:	Readiness probe failed: 
07:16:52 Pod rfr-test-cluster-1 838:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-10-worker
07:16:53 Pod rfr-test-cluster-1 843:	Container image "redis:6.2.6-alpine" already present on machine
07:16:53 Pod rfr-test-cluster-1 843:	Created container redis
07:16:53 Pod rfr-test-cluster-1 843:	Started container redis
07:16:53 Pod rfr-test-cluster-1 843:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:16:53 Pod rfr-test-cluster-1 843:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 311.237625ms
07:16:53 Pod rfr-test-cluster-1 843:	Created container redis-exporter
07:16:56 Pod rfr-test-cluster-1 843:	Started container redis-exporter
07:17:32 Pod rfr-test-cluster-1 843:	Readiness probe failed: 
07:21:58 Pod rfr-test-cluster-1 843:	Stopping container redis
07:21:58 Pod rfr-test-cluster-1 843:	Stopping container redis-exporter
07:32:00 Pod rfr-test-cluster-1 2551:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-10-worker
07:32:00 Pod rfr-test-cluster-1 2554:	Container image "redis:6.2.6-alpine" already present on machine
07:32:00 Pod rfr-test-cluster-1 2554:	Created container redis
07:32:00 Pod rfr-test-cluster-1 2554:	Started container redis
07:32:00 Pod rfr-test-cluster-1 2554:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:32:01 Pod rfr-test-cluster-1 2554:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 168.473388ms
07:32:01 Pod rfr-test-cluster-1 2554:	Created container redis-exporter
07:32:03 Pod rfr-test-cluster-1 2554:	Started container redis-exporter
07:32:30 Pod rfr-test-cluster-1 2554:	Readiness probe failed: 
07:16:52 Pod rfr-test-cluster-2 845:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-10-worker3
07:16:53 Pod rfr-test-cluster-2 849:	Container image "redis:6.2.6-alpine" already present on machine
07:16:53 Pod rfr-test-cluster-2 849:	Created container redis
07:16:53 Pod rfr-test-cluster-2 849:	Started container redis
07:16:53 Pod rfr-test-cluster-2 849:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:16:53 Pod rfr-test-cluster-2 849:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 261.834698ms
07:16:53 Pod rfr-test-cluster-2 849:	Created container redis-exporter
07:16:56 Pod rfr-test-cluster-2 849:	Started container redis-exporter
07:17:32 Pod rfr-test-cluster-2 849:	Readiness probe failed: 
07:22:25 Pod rfr-test-cluster-2 849:	Stopping container redis
07:22:25 Pod rfr-test-cluster-2 849:	Stopping container redis-exporter
07:32:00 Pod rfr-test-cluster-2 2555:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-10-worker2
07:32:00 Pod rfr-test-cluster-2 2559:	Container image "redis:6.2.6-alpine" already present on machine
07:32:00 Pod rfr-test-cluster-2 2559:	Created container redis
07:32:00 Pod rfr-test-cluster-2 2559:	Started container redis
07:32:00 Pod rfr-test-cluster-2 2559:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:32:01 Pod rfr-test-cluster-2 2559:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 130.912304ms
07:32:01 Pod rfr-test-cluster-2 2559:	Created container redis-exporter
07:32:03 Pod rfr-test-cluster-2 2559:	Started container redis-exporter
07:32:30 Pod rfr-test-cluster-2 2559:	Readiness probe failed: 
07:16:52 PodDisruptionBudget rfr-test-cluster 828:	No matching pods found
07:16:52 StatefulSet rfr-test-cluster 832:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
07:16:52 StatefulSet rfr-test-cluster 832:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
07:16:52 StatefulSet rfr-test-cluster 832:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
07:21:59 StatefulSet rfr-test-cluster 1530:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: [spec.containers[1].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[1].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[1].resources.limits[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource type or fully qualified, spec.containers[1].resources.limits[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource for containers, spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[1].resources.requests[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource for containers]
07:21:59 StatefulSet rfr-test-cluster 1530:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: [spec.containers[1].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[1].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[1].resources.limits[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource type or fully qualified, spec.containers[1].resources.limits[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource for containers, spec.containers[1].resources.requests[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource for containers, spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers]
07:22:04 StatefulSet rfr-test-cluster 1530:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: [spec.containers[1].resources.limits[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource type or fully qualified, spec.containers[1].resources.limits[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource for containers, spec.containers[1].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[1].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[1].resources.requests[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource for containers, spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers]
