07:37:13 Pod redisoperator-56c8dfdfb-dj5kx 799:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-dj5kx to acto-cluster-10-worker2
07:37:15 Pod redisoperator-56c8dfdfb-dj5kx 802:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:37:15 Pod redisoperator-56c8dfdfb-dj5kx 802:	Created container app
07:37:16 Pod redisoperator-56c8dfdfb-dj5kx 802:	Started container app
07:37:13 ReplicaSet redisoperator-56c8dfdfb 796:	Created pod: redisoperator-56c8dfdfb-dj5kx
07:36:43 Pod redisoperator-6445768794-2ljxj 727:	Successfully assigned acto-namespace/redisoperator-6445768794-2ljxj to acto-cluster-10-worker2
07:36:44 Pod redisoperator-6445768794-2ljxj 731:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:36:44 Pod redisoperator-6445768794-2ljxj 731:	Created container app
07:36:46 Pod redisoperator-6445768794-2ljxj 731:	Started container app
07:37:16 Pod redisoperator-6445768794-2ljxj 731:	Stopping container app
07:36:43 ReplicaSet redisoperator-6445768794 718:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
07:36:43 ReplicaSet redisoperator-6445768794 725:	Created pod: redisoperator-6445768794-2ljxj
07:37:16 ReplicaSet redisoperator-6445768794 891:	Deleted pod: redisoperator-6445768794-2ljxj
07:36:43 Deployment redisoperator 717:	Scaled up replica set redisoperator-6445768794 to 1
07:37:13 Deployment redisoperator 795:	Scaled up replica set redisoperator-56c8dfdfb to 1
07:37:16 Deployment redisoperator 806:	Scaled down replica set redisoperator-6445768794 to 0
07:37:16 Pod rfr-test-cluster-0 830:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-10-worker3
07:37:17 Pod rfr-test-cluster-0 835:	Container image "redis:6.2.6-alpine" already present on machine
07:37:17 Pod rfr-test-cluster-0 835:	Created container redis
07:37:17 Pod rfr-test-cluster-0 835:	Started container redis
07:37:17 Pod rfr-test-cluster-0 835:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:37:17 Pod rfr-test-cluster-0 835:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 250.405291ms
07:37:17 Pod rfr-test-cluster-0 835:	Created container redis-exporter
07:37:20 Pod rfr-test-cluster-0 835:	Started container redis-exporter
07:37:56 Pod rfr-test-cluster-0 835:	Readiness probe failed: 
07:40:47 Pod rfr-test-cluster-0 835:	Stopping container redis
07:40:47 Pod rfr-test-cluster-0 835:	Stopping container redis-exporter
07:50:20 Pod rfr-test-cluster-0 2357:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-10-worker2
07:50:20 Pod rfr-test-cluster-0 2358:	Container image "redis:6.2.6-alpine" already present on machine
07:50:20 Pod rfr-test-cluster-0 2358:	Created container redis
07:50:20 Pod rfr-test-cluster-0 2358:	Started container redis
07:50:20 Pod rfr-test-cluster-0 2358:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:50:21 Pod rfr-test-cluster-0 2358:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 125.555538ms
07:50:21 Pod rfr-test-cluster-0 2358:	Created container redis-exporter
07:50:23 Pod rfr-test-cluster-0 2358:	Started container redis-exporter
07:50:50 Pod rfr-test-cluster-0 2358:	Readiness probe failed: 
07:37:16 Pod rfr-test-cluster-1 834:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-10-worker2
07:37:16 Pod rfr-test-cluster-1 840:	Container image "redis:6.2.6-alpine" already present on machine
07:37:16 Pod rfr-test-cluster-1 840:	Created container redis
07:37:17 Pod rfr-test-cluster-1 840:	Started container redis
07:37:17 Pod rfr-test-cluster-1 840:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:37:17 Pod rfr-test-cluster-1 840:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 236.487434ms
07:37:17 Pod rfr-test-cluster-1 840:	Created container redis-exporter
07:37:20 Pod rfr-test-cluster-1 840:	Started container redis-exporter
