07:23:37 Pod redisoperator-56c8dfdfb-4mhbk 798:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-4mhbk to acto-cluster-12-worker3
07:23:39 Pod redisoperator-56c8dfdfb-4mhbk 800:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:23:39 Pod redisoperator-56c8dfdfb-4mhbk 800:	Created container app
07:23:40 Pod redisoperator-56c8dfdfb-4mhbk 800:	Started container app
07:23:37 ReplicaSet redisoperator-56c8dfdfb 795:	Created pod: redisoperator-56c8dfdfb-4mhbk
07:23:07 Pod redisoperator-6445768794-pwjjz 730:	Successfully assigned acto-namespace/redisoperator-6445768794-pwjjz to acto-cluster-12-worker3
07:23:09 Pod redisoperator-6445768794-pwjjz 732:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:23:09 Pod redisoperator-6445768794-pwjjz 732:	Created container app
07:23:10 Pod redisoperator-6445768794-pwjjz 732:	Started container app
07:23:40 Pod redisoperator-6445768794-pwjjz 732:	Stopping container app
07:23:07 ReplicaSet redisoperator-6445768794 720:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
07:23:07 ReplicaSet redisoperator-6445768794 726:	Created pod: redisoperator-6445768794-pwjjz
07:23:40 ReplicaSet redisoperator-6445768794 887:	Deleted pod: redisoperator-6445768794-pwjjz
07:23:07 Deployment redisoperator 718:	Scaled up replica set redisoperator-6445768794 to 1
07:23:37 Deployment redisoperator 794:	Scaled up replica set redisoperator-56c8dfdfb to 1
07:23:40 Deployment redisoperator 805:	Scaled down replica set redisoperator-6445768794 to 0
07:23:40 Pod rfr-test-cluster-0 834:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-12-worker3
07:23:41 Pod rfr-test-cluster-0 837:	Container image "redis:6.2.6-alpine" already present on machine
07:23:41 Pod rfr-test-cluster-0 837:	Created container redis
07:23:41 Pod rfr-test-cluster-0 837:	Started container redis
07:23:41 Pod rfr-test-cluster-0 837:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:23:41 Pod rfr-test-cluster-0 837:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 327.654514ms
07:23:41 Pod rfr-test-cluster-0 837:	Created container redis-exporter
07:23:44 Pod rfr-test-cluster-0 837:	Started container redis-exporter
07:24:20 Pod rfr-test-cluster-0 837:	Readiness probe failed: 
07:27:42 Pod rfr-test-cluster-0 837:	Stopping container redis
07:27:42 Pod rfr-test-cluster-0 837:	Stopping container redis-exporter
07:27:43 Pod rfr-test-cluster-0 1502:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-12-worker3
07:27:44 Pod rfr-test-cluster-0 1503:	Container image "redis:6.2.6-alpine" already present on machine
07:27:44 Pod rfr-test-cluster-0 1503:	Created container redis
07:27:44 Pod rfr-test-cluster-0 1503:	Started container redis
07:27:44 Pod rfr-test-cluster-0 1503:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:27:44 Pod rfr-test-cluster-0 1503:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 118.025354ms
07:27:44 Pod rfr-test-cluster-0 1503:	Created container redis-exporter
07:27:46 Pod rfr-test-cluster-0 1503:	Started container redis-exporter
07:28:23 Pod rfr-test-cluster-0 1503:	Readiness probe failed: 
07:31:06 Pod rfr-test-cluster-0 1503:	Stopping container redis
07:31:06 Pod rfr-test-cluster-0 1503:	Stopping container redis-exporter
07:31:08 Pod rfr-test-cluster-0 1889:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-12-worker3
07:31:08 Pod rfr-test-cluster-0 1890:	Container image "redis:6.2.6-alpine" already present on machine
07:31:08 Pod rfr-test-cluster-0 1890:	Created container redis
07:31:09 Pod rfr-test-cluster-0 1890:	Started container redis
07:31:09 Pod rfr-test-cluster-0 1890:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:31:09 Pod rfr-test-cluster-0 1890:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 113.491679ms
07:31:09 Pod rfr-test-cluster-0 1890:	Created container redis-exporter
07:31:12 Pod rfr-test-cluster-0 1890:	Started container redis-exporter
07:33:42 Pod rfr-test-cluster-0 1890:	Stopping container redis
07:33:42 Pod rfr-test-cluster-0 1890:	Stopping container redis-exporter
07:33:44 Pod rfr-test-cluster-0 2327:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-12-worker3
07:33:44 Pod rfr-test-cluster-0 2330:	Container image "redis:6.2.6-alpine" already present on machine
07:33:44 Pod rfr-test-cluster-0 2330:	Created container redis
07:33:45 Pod rfr-test-cluster-0 2330:	Started container redis
07:33:45 Pod rfr-test-cluster-0 2330:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:33:45 Pod rfr-test-cluster-0 2330:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 158.389955ms
07:33:45 Pod rfr-test-cluster-0 2330:	Created container redis-exporter
07:33:47 Pod rfr-test-cluster-0 2330:	Started container redis-exporter
07:34:24 Pod rfr-test-cluster-0 2330:	Readiness probe failed: 
07:37:08 Pod rfr-test-cluster-0 2330:	Stopping container redis
07:37:08 Pod rfr-test-cluster-0 2330:	Stopping container redis-exporter
07:37:10 Pod rfr-test-cluster-0 2714:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-12-worker3
07:37:10 Pod rfr-test-cluster-0 2715:	Container image "redis:6.2.6-alpine" already present on machine
07:37:10 Pod rfr-test-cluster-0 2715:	Created container redis
07:37:11 Pod rfr-test-cluster-0 2715:	Started container redis
07:37:11 Pod rfr-test-cluster-0 2715:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:37:11 Pod rfr-test-cluster-0 2715:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 120.310066ms
07:37:11 Pod rfr-test-cluster-0 2715:	Created container redis-exporter
07:37:14 Pod rfr-test-cluster-0 2715:	Started container redis-exporter
07:23:40 Pod rfr-test-cluster-1 839:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-12-worker
07:23:41 Pod rfr-test-cluster-1 841:	Container image "redis:6.2.6-alpine" already present on machine
07:23:41 Pod rfr-test-cluster-1 841:	Created container redis
07:23:41 Pod rfr-test-cluster-1 841:	Started container redis
07:23:41 Pod rfr-test-cluster-1 841:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:23:41 Pod rfr-test-cluster-1 841:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 259.750032ms
07:23:41 Pod rfr-test-cluster-1 841:	Created container redis-exporter
07:23:44 Pod rfr-test-cluster-1 841:	Started container redis-exporter
07:24:20 Pod rfr-test-cluster-1 841:	Readiness probe failed: 
07:26:44 Pod rfr-test-cluster-1 841:	Stopping container redis
07:26:44 Pod rfr-test-cluster-1 841:	Stopping container redis-exporter
07:26:45 Pod rfr-test-cluster-1 1338:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-12-worker
07:26:45 Pod rfr-test-cluster-1 1339:	Container image "redis:6.2.6-alpine" already present on machine
07:26:46 Pod rfr-test-cluster-1 1339:	Created container redis
07:26:46 Pod rfr-test-cluster-1 1339:	Started container redis
