05:42:46 Pod redisoperator-56c8dfdfb-q7j2d 799:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-q7j2d to acto-cluster-13-worker2
05:42:48 Pod redisoperator-56c8dfdfb-q7j2d 801:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
05:42:48 Pod redisoperator-56c8dfdfb-q7j2d 801:	Created container app
05:42:49 Pod redisoperator-56c8dfdfb-q7j2d 801:	Started container app
05:42:46 ReplicaSet redisoperator-56c8dfdfb 797:	Created pod: redisoperator-56c8dfdfb-q7j2d
05:42:16 Pod redisoperator-6445768794-qr6gj 731:	Successfully assigned acto-namespace/redisoperator-6445768794-qr6gj to acto-cluster-13-worker2
05:42:17 Pod redisoperator-6445768794-qr6gj 735:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
05:42:17 Pod redisoperator-6445768794-qr6gj 735:	Created container app
05:42:18 Pod redisoperator-6445768794-qr6gj 735:	Started container app
05:42:50 Pod redisoperator-6445768794-qr6gj 735:	Stopping container app
05:42:16 ReplicaSet redisoperator-6445768794 723:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
05:42:16 ReplicaSet redisoperator-6445768794 730:	Created pod: redisoperator-6445768794-qr6gj
05:42:50 ReplicaSet redisoperator-6445768794 819:	Deleted pod: redisoperator-6445768794-qr6gj
05:42:16 Deployment redisoperator 721:	Scaled up replica set redisoperator-6445768794 to 1
05:42:46 Deployment redisoperator 796:	Scaled up replica set redisoperator-56c8dfdfb to 1
05:42:50 Deployment redisoperator 807:	Scaled down replica set redisoperator-6445768794 to 0
05:42:54 Pod rfr-test-cluster-0 854:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-13-worker2
05:42:57 Pod rfr-test-cluster-0 857:	Container image "redis:6.2.6-alpine" already present on machine
05:42:57 Pod rfr-test-cluster-0 857:	Created container redis
05:43:03 Pod rfr-test-cluster-0 857:	Started container redis
05:43:03 Pod rfr-test-cluster-0 857:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
05:43:03 Pod rfr-test-cluster-0 857:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 266.239038ms
05:43:04 Pod rfr-test-cluster-0 857:	Created container redis-exporter
05:43:09 Pod rfr-test-cluster-0 857:	Started container redis-exporter
05:43:36 Pod rfr-test-cluster-0 857:	Readiness probe failed: 
05:47:51 Pod rfr-test-cluster-0 857:	Stopping container redis
05:47:51 Pod rfr-test-cluster-0 857:	Stopping container redis-exporter
05:57:21 Pod rfr-test-cluster-0 2495:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-13-worker3
05:57:21 Pod rfr-test-cluster-0 2499:	Container image "redis:6.2.6-alpine" already present on machine
05:57:21 Pod rfr-test-cluster-0 2499:	Created container redis
05:57:21 Pod rfr-test-cluster-0 2499:	Started container redis
05:57:21 Pod rfr-test-cluster-0 2499:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
05:57:22 Pod rfr-test-cluster-0 2499:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 193.305699ms
05:57:22 Pod rfr-test-cluster-0 2499:	Created container redis-exporter
05:57:25 Pod rfr-test-cluster-0 2499:	Started container redis-exporter
05:57:51 Pod rfr-test-cluster-0 2499:	Readiness probe failed: 
05:42:54 Pod rfr-test-cluster-1 858:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-13-worker
05:42:57 Pod rfr-test-cluster-1 862:	Container image "redis:6.2.6-alpine" already present on machine
05:42:57 Pod rfr-test-cluster-1 862:	Created container redis
05:43:00 Pod rfr-test-cluster-1 862:	Started container redis
05:43:00 Pod rfr-test-cluster-1 862:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
