06:29:55 Pod redisoperator-56c8dfdfb-fgc9t 815:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-fgc9t to acto-cluster-13-worker2
06:29:57 Pod redisoperator-56c8dfdfb-fgc9t 817:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:29:57 Pod redisoperator-56c8dfdfb-fgc9t 817:	Created container app
06:29:58 Pod redisoperator-56c8dfdfb-fgc9t 817:	Started container app
06:29:55 ReplicaSet redisoperator-56c8dfdfb 812:	Created pod: redisoperator-56c8dfdfb-fgc9t
06:29:25 Pod redisoperator-6445768794-mzl5z 743:	Successfully assigned acto-namespace/redisoperator-6445768794-mzl5z to acto-cluster-13-worker3
06:29:27 Pod redisoperator-6445768794-mzl5z 748:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:29:27 Pod redisoperator-6445768794-mzl5z 748:	Created container app
06:29:28 Pod redisoperator-6445768794-mzl5z 748:	Started container app
06:29:59 Pod redisoperator-6445768794-mzl5z 748:	Stopping container app
06:29:25 ReplicaSet redisoperator-6445768794 734:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
06:29:25 ReplicaSet redisoperator-6445768794 741:	Created pod: redisoperator-6445768794-mzl5z
06:29:59 ReplicaSet redisoperator-6445768794 929:	Deleted pod: redisoperator-6445768794-mzl5z
06:29:25 Deployment redisoperator 733:	Scaled up replica set redisoperator-6445768794 to 1
06:29:55 Deployment redisoperator 811:	Scaled up replica set redisoperator-56c8dfdfb to 1
06:29:59 Deployment redisoperator 822:	Scaled down replica set redisoperator-6445768794 to 0
06:29:58 Pod rfr-test-cluster-0 847:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-13-worker3
06:29:58 Pod rfr-test-cluster-0 851:	Container image "redis:6.2.6-alpine" already present on machine
06:29:58 Pod rfr-test-cluster-0 851:	Created container redis
06:29:59 Pod rfr-test-cluster-0 851:	Started container redis
06:29:59 Pod rfr-test-cluster-0 851:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:29:59 Pod rfr-test-cluster-0 851:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 259.889574ms
06:29:59 Pod rfr-test-cluster-0 851:	Created container redis-exporter
06:30:02 Pod rfr-test-cluster-0 851:	Started container redis-exporter
06:30:38 Pod rfr-test-cluster-0 851:	Readiness probe failed: 
06:34:00 Pod rfr-test-cluster-0 851:	Stopping container redis
06:34:00 Pod rfr-test-cluster-0 851:	Stopping container redis-exporter
06:34:03 Pod rfr-test-cluster-0 1526:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-13-worker3
06:34:04 Pod rfr-test-cluster-0 1527:	Container image "redis:6.2.6-alpine" already present on machine
06:34:04 Pod rfr-test-cluster-0 1527:	Created container redis
06:34:04 Pod rfr-test-cluster-0 1527:	Started container redis
06:34:04 Pod rfr-test-cluster-0 1527:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
