08:48:19 Pod redisoperator-56c8dfdfb-wrjfq 817:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-wrjfq to acto-cluster-13-worker3
08:48:21 Pod redisoperator-56c8dfdfb-wrjfq 819:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:48:21 Pod redisoperator-56c8dfdfb-wrjfq 819:	Created container app
08:48:22 Pod redisoperator-56c8dfdfb-wrjfq 819:	Started container app
08:48:19 ReplicaSet redisoperator-56c8dfdfb 814:	Created pod: redisoperator-56c8dfdfb-wrjfq
08:47:49 Pod redisoperator-6445768794-mtp4j 745:	Successfully assigned acto-namespace/redisoperator-6445768794-mtp4j to acto-cluster-13-worker
08:47:50 Pod redisoperator-6445768794-mtp4j 749:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:47:50 Pod redisoperator-6445768794-mtp4j 749:	Created container app
08:47:52 Pod redisoperator-6445768794-mtp4j 749:	Started container app
08:48:23 Pod redisoperator-6445768794-mtp4j 749:	Stopping container app
08:47:49 ReplicaSet redisoperator-6445768794 735:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
08:47:49 ReplicaSet redisoperator-6445768794 741:	Created pod: redisoperator-6445768794-mtp4j
08:48:23 ReplicaSet redisoperator-6445768794 934:	Deleted pod: redisoperator-6445768794-mtp4j
08:47:49 Deployment redisoperator 734:	Scaled up replica set redisoperator-6445768794 to 1
08:48:19 Deployment redisoperator 813:	Scaled up replica set redisoperator-56c8dfdfb to 1
08:48:23 Deployment redisoperator 824:	Scaled down replica set redisoperator-6445768794 to 0
08:48:21 Pod rfr-test-cluster-0 850:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-13-worker
08:48:22 Pod rfr-test-cluster-0 853:	Container image "redis:6.2.6-alpine" already present on machine
08:48:22 Pod rfr-test-cluster-0 853:	Created container redis
08:48:22 Pod rfr-test-cluster-0 853:	Started container redis
08:48:22 Pod rfr-test-cluster-0 853:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
