05:42:49 Pod redisoperator-56c8dfdfb-kk7rj 800:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-kk7rj to acto-cluster-14-worker
05:42:50 Pod redisoperator-56c8dfdfb-kk7rj 802:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
05:42:50 Pod redisoperator-56c8dfdfb-kk7rj 802:	Created container app
05:42:52 Pod redisoperator-56c8dfdfb-kk7rj 802:	Started container app
05:42:49 ReplicaSet redisoperator-56c8dfdfb 797:	Created pod: redisoperator-56c8dfdfb-kk7rj
05:42:19 Pod redisoperator-6445768794-rvdt7 732:	Successfully assigned acto-namespace/redisoperator-6445768794-rvdt7 to acto-cluster-14-worker
05:42:20 Pod redisoperator-6445768794-rvdt7 734:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
05:42:20 Pod redisoperator-6445768794-rvdt7 734:	Created container app
05:42:22 Pod redisoperator-6445768794-rvdt7 734:	Started container app
05:42:52 Pod redisoperator-6445768794-rvdt7 734:	Stopping container app
05:42:19 ReplicaSet redisoperator-6445768794 728:	Created pod: redisoperator-6445768794-rvdt7
05:42:52 ReplicaSet redisoperator-6445768794 817:	Deleted pod: redisoperator-6445768794-rvdt7
05:42:19 Deployment redisoperator 725:	Scaled up replica set redisoperator-6445768794 to 1
05:42:49 Deployment redisoperator 796:	Scaled up replica set redisoperator-56c8dfdfb to 1
05:42:52 Deployment redisoperator 807:	Scaled down replica set redisoperator-6445768794 to 0
05:42:58 Pod rfr-test-cluster-0 855:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-14-worker3
05:43:03 Pod rfr-test-cluster-0 858:	Container image "redis:6.2.6-alpine" already present on machine
05:43:03 Pod rfr-test-cluster-0 858:	Created container redis
05:43:05 Pod rfr-test-cluster-0 858:	Started container redis
05:43:05 Pod rfr-test-cluster-0 858:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
