07:49:27 Pod redisoperator-56c8dfdfb-lrxfh 811:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-lrxfh to acto-cluster-14-worker2
07:49:29 Pod redisoperator-56c8dfdfb-lrxfh 813:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:49:29 Pod redisoperator-56c8dfdfb-lrxfh 813:	Created container app
07:49:32 Pod redisoperator-56c8dfdfb-lrxfh 813:	Started container app
07:49:27 ReplicaSet redisoperator-56c8dfdfb 808:	Created pod: redisoperator-56c8dfdfb-lrxfh
07:48:57 Pod redisoperator-6445768794-wkpcd 739:	Successfully assigned acto-namespace/redisoperator-6445768794-wkpcd to acto-cluster-14-worker
07:48:59 Pod redisoperator-6445768794-wkpcd 743:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
07:48:59 Pod redisoperator-6445768794-wkpcd 743:	Created container app
07:49:00 Pod redisoperator-6445768794-wkpcd 743:	Started container app
07:49:33 Pod redisoperator-6445768794-wkpcd 743:	Stopping container app
07:48:57 ReplicaSet redisoperator-6445768794 731:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
07:48:57 ReplicaSet redisoperator-6445768794 736:	Created pod: redisoperator-6445768794-wkpcd
07:49:33 ReplicaSet redisoperator-6445768794 904:	Deleted pod: redisoperator-6445768794-wkpcd
07:48:57 Deployment redisoperator 729:	Scaled up replica set redisoperator-6445768794 to 1
07:49:27 Deployment redisoperator 807:	Scaled up replica set redisoperator-56c8dfdfb to 1
07:49:33 Deployment redisoperator 818:	Scaled down replica set redisoperator-6445768794 to 0
07:49:32 Pod rfr-test-cluster-0 846:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-14-worker
07:49:34 Pod rfr-test-cluster-0 851:	Container image "redis:6.2.6-alpine" already present on machine
07:49:34 Pod rfr-test-cluster-0 851:	Created container redis
07:49:36 Pod rfr-test-cluster-0 851:	Started container redis
07:49:36 Pod rfr-test-cluster-0 851:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:49:37 Pod rfr-test-cluster-0 851:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 259.830237ms
07:49:37 Pod rfr-test-cluster-0 851:	Created container redis-exporter
07:49:40 Pod rfr-test-cluster-0 851:	Started container redis-exporter
07:50:12 Pod rfr-test-cluster-0 851:	Readiness probe failed: 
08:06:33 Pod rfr-test-cluster-0 851:	Stopping container redis
08:06:33 Pod rfr-test-cluster-0 851:	Stopping container redis-exporter
08:16:01 Pod rfr-test-cluster-0 3928:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-14-worker
08:16:01 Pod rfr-test-cluster-0 3931:	Container image "redis:6.2.6-alpine" already present on machine
08:16:01 Pod rfr-test-cluster-0 3931:	Created container redis
08:16:02 Pod rfr-test-cluster-0 3931:	Started container redis
08:16:02 Pod rfr-test-cluster-0 3931:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:16:02 Pod rfr-test-cluster-0 3931:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 131.806477ms
08:16:02 Pod rfr-test-cluster-0 3931:	Created container redis-exporter
08:16:05 Pod rfr-test-cluster-0 3931:	Started container redis-exporter
08:16:41 Pod rfr-test-cluster-0 3931:	Readiness probe failed: 
07:49:32 Pod rfr-test-cluster-1 850:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-14-worker2
07:49:34 Pod rfr-test-cluster-1 856:	Container image "redis:6.2.6-alpine" already present on machine
07:49:34 Pod rfr-test-cluster-1 856:	Created container redis
07:49:37 Pod rfr-test-cluster-1 856:	Started container redis
07:49:37 Pod rfr-test-cluster-1 856:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:49:37 Pod rfr-test-cluster-1 856:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 292.625853ms
07:49:37 Pod rfr-test-cluster-1 856:	Created container redis-exporter
07:49:40 Pod rfr-test-cluster-1 856:	Started container redis-exporter
07:50:12 Pod rfr-test-cluster-1 856:	Readiness probe failed: 
08:05:59 Pod rfr-test-cluster-1 856:	Stopping container redis
08:05:59 Pod rfr-test-cluster-1 856:	Stopping container redis-exporter
08:16:01 Pod rfr-test-cluster-1 3932:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-14-worker2
08:16:01 Pod rfr-test-cluster-1 3935:	Container image "redis:6.2.6-alpine" already present on machine
08:16:01 Pod rfr-test-cluster-1 3935:	Created container redis
08:16:02 Pod rfr-test-cluster-1 3935:	Started container redis
08:16:02 Pod rfr-test-cluster-1 3935:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:16:02 Pod rfr-test-cluster-1 3935:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 119.332187ms
08:16:02 Pod rfr-test-cluster-1 3935:	Created container redis-exporter
08:16:05 Pod rfr-test-cluster-1 3935:	Started container redis-exporter
08:16:41 Pod rfr-test-cluster-1 3935:	Readiness probe failed: 
07:49:32 Pod rfr-test-cluster-2 854:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-14-worker3
07:49:34 Pod rfr-test-cluster-2 859:	Container image "redis:6.2.6-alpine" already present on machine
07:49:34 Pod rfr-test-cluster-2 859:	Created container redis
07:49:36 Pod rfr-test-cluster-2 859:	Started container redis
07:49:36 Pod rfr-test-cluster-2 859:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:49:36 Pod rfr-test-cluster-2 859:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 268.538604ms
07:49:37 Pod rfr-test-cluster-2 859:	Created container redis-exporter
07:49:40 Pod rfr-test-cluster-2 859:	Started container redis-exporter
07:50:12 Pod rfr-test-cluster-2 859:	Readiness probe failed: 
08:06:04 Pod rfr-test-cluster-2 859:	Stopping container redis
08:06:04 Pod rfr-test-cluster-2 859:	Stopping container redis-exporter
08:16:01 Pod rfr-test-cluster-2 3938:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-14-worker3
08:16:01 Pod rfr-test-cluster-2 3942:	Container image "redis:6.2.6-alpine" already present on machine
08:16:01 Pod rfr-test-cluster-2 3942:	Created container redis
08:16:02 Pod rfr-test-cluster-2 3942:	Started container redis
08:16:02 Pod rfr-test-cluster-2 3942:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:16:02 Pod rfr-test-cluster-2 3942:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 122.927058ms
08:16:02 Pod rfr-test-cluster-2 3942:	Created container redis-exporter
08:16:05 Pod rfr-test-cluster-2 3942:	Started container redis-exporter
08:16:41 Pod rfr-test-cluster-2 3942:	Readiness probe failed: 
07:49:31 PodDisruptionBudget rfr-test-cluster 840:	No matching pods found
07:49:32 StatefulSet rfr-test-cluster 844:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
07:49:32 StatefulSet rfr-test-cluster 844:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
07:49:32 StatefulSet rfr-test-cluster 844:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
08:06:02 StatefulSet rfr-test-cluster 2916:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom.configMapKeyRef.name: Invalid value: "ACTOKEY": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
08:06:35 StatefulSet rfr-test-cluster 2916:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom.configMapKeyRef.name: Invalid value: "ACTOKEY": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
07:49:32 Pod rfs-test-cluster-54df69f8df-8zhzn 872:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-8zhzn to acto-cluster-14-worker2
07:49:34 Pod rfs-test-cluster-54df69f8df-8zhzn 877:	Container image "redis:6.2.6-alpine" already present on machine
07:49:34 Pod rfs-test-cluster-54df69f8df-8zhzn 877:	Created container sentinel-config-copy
07:49:53 Pod rfs-test-cluster-54df69f8df-8zhzn 877:	Started container sentinel-config-copy
07:49:57 Pod rfs-test-cluster-54df69f8df-8zhzn 877:	Container image "redis:6.2.6-alpine" already present on machine
07:49:57 Pod rfs-test-cluster-54df69f8df-8zhzn 877:	Created container sentinel
07:49:58 Pod rfs-test-cluster-54df69f8df-8zhzn 877:	Started container sentinel
07:59:36 Pod rfs-test-cluster-54df69f8df-8zhzn 877:	Stopping container sentinel
08:04:04 Pod rfs-test-cluster-54df69f8df-c4smt 2659:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-c4smt to acto-cluster-14-worker3
08:04:04 Pod rfs-test-cluster-54df69f8df-c4smt 2661:	Container image "redis:6.2.6-alpine" already present on machine
08:04:04 Pod rfs-test-cluster-54df69f8df-c4smt 2661:	Created container sentinel-config-copy
08:04:16 Pod rfs-test-cluster-54df69f8df-c4smt 2661:	Started container sentinel-config-copy
08:04:17 Pod rfs-test-cluster-54df69f8df-c4smt 2661:	Container image "redis:6.2.6-alpine" already present on machine
08:04:17 Pod rfs-test-cluster-54df69f8df-c4smt 2661:	Created container sentinel
08:04:17 Pod rfs-test-cluster-54df69f8df-c4smt 2661:	Started container sentinel
08:03:14 Pod rfs-test-cluster-54df69f8df-ltmjb 2531:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-ltmjb to acto-cluster-14-worker
08:03:15 Pod rfs-test-cluster-54df69f8df-ltmjb 2534:	Container image "redis:6.2.6-alpine" already present on machine
08:03:15 Pod rfs-test-cluster-54df69f8df-ltmjb 2534:	Created container sentinel-config-copy
08:03:27 Pod rfs-test-cluster-54df69f8df-ltmjb 2534:	Started container sentinel-config-copy
08:03:30 Pod rfs-test-cluster-54df69f8df-ltmjb 2534:	Container image "redis:6.2.6-alpine" already present on machine
08:03:30 Pod rfs-test-cluster-54df69f8df-ltmjb 2534:	Created container sentinel
08:03:30 Pod rfs-test-cluster-54df69f8df-ltmjb 2534:	Started container sentinel
08:02:22 Pod rfs-test-cluster-54df69f8df-mp8gm 2408:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-mp8gm to acto-cluster-14-worker2
08:02:23 Pod rfs-test-cluster-54df69f8df-mp8gm 2410:	Container image "redis:6.2.6-alpine" already present on machine
08:02:23 Pod rfs-test-cluster-54df69f8df-mp8gm 2410:	Created container sentinel-config-copy
08:02:39 Pod rfs-test-cluster-54df69f8df-mp8gm 2410:	Started container sentinel-config-copy
08:02:42 Pod rfs-test-cluster-54df69f8df-mp8gm 2410:	Container image "redis:6.2.6-alpine" already present on machine
08:02:42 Pod rfs-test-cluster-54df69f8df-mp8gm 2410:	Created container sentinel
08:02:42 Pod rfs-test-cluster-54df69f8df-mp8gm 2410:	Started container sentinel
07:49:32 Pod rfs-test-cluster-54df69f8df-xp4gt 879:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-xp4gt to acto-cluster-14-worker3
07:49:34 Pod rfs-test-cluster-54df69f8df-xp4gt 885:	Container image "redis:6.2.6-alpine" already present on machine
07:49:34 Pod rfs-test-cluster-54df69f8df-xp4gt 885:	Created container sentinel-config-copy
07:49:51 Pod rfs-test-cluster-54df69f8df-xp4gt 885:	Started container sentinel-config-copy
07:49:53 Pod rfs-test-cluster-54df69f8df-xp4gt 885:	Container image "redis:6.2.6-alpine" already present on machine
07:49:53 Pod rfs-test-cluster-54df69f8df-xp4gt 885:	Created container sentinel
07:49:54 Pod rfs-test-cluster-54df69f8df-xp4gt 885:	Started container sentinel
08:01:16 Pod rfs-test-cluster-54df69f8df-xp4gt 885:	Stopping container sentinel
07:49:32 Pod rfs-test-cluster-54df69f8df-z64mh 878:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-z64mh to acto-cluster-14-worker
07:49:34 Pod rfs-test-cluster-54df69f8df-z64mh 884:	Container image "redis:6.2.6-alpine" already present on machine
07:49:34 Pod rfs-test-cluster-54df69f8df-z64mh 884:	Created container sentinel-config-copy
07:49:53 Pod rfs-test-cluster-54df69f8df-z64mh 884:	Started container sentinel-config-copy
07:49:58 Pod rfs-test-cluster-54df69f8df-z64mh 884:	Container image "redis:6.2.6-alpine" already present on machine
07:49:58 Pod rfs-test-cluster-54df69f8df-z64mh 884:	Created container sentinel
07:49:58 Pod rfs-test-cluster-54df69f8df-z64mh 884:	Started container sentinel
