08:39:21 Pod redisoperator-56c8dfdfb-spxtg 783:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-spxtg to acto-cluster-14-worker
08:39:22 Pod redisoperator-56c8dfdfb-spxtg 785:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:39:22 Pod redisoperator-56c8dfdfb-spxtg 785:	Created container app
08:39:24 Pod redisoperator-56c8dfdfb-spxtg 785:	Started container app
08:39:21 ReplicaSet redisoperator-56c8dfdfb 780:	Created pod: redisoperator-56c8dfdfb-spxtg
08:38:50 Pod redisoperator-6445768794-qmvbk 712:	Successfully assigned acto-namespace/redisoperator-6445768794-qmvbk to acto-cluster-14-worker3
08:38:52 Pod redisoperator-6445768794-qmvbk 716:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
08:38:52 Pod redisoperator-6445768794-qmvbk 716:	Created container app
08:38:53 Pod redisoperator-6445768794-qmvbk 716:	Started container app
08:39:25 Pod redisoperator-6445768794-qmvbk 716:	Stopping container app
08:38:50 ReplicaSet redisoperator-6445768794 704:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
08:38:50 ReplicaSet redisoperator-6445768794 710:	Created pod: redisoperator-6445768794-qmvbk
08:39:25 ReplicaSet redisoperator-6445768794 901:	Deleted pod: redisoperator-6445768794-qmvbk
08:38:50 Deployment redisoperator 702:	Scaled up replica set redisoperator-6445768794 to 1
08:39:21 Deployment redisoperator 779:	Scaled up replica set redisoperator-56c8dfdfb to 1
08:39:25 Deployment redisoperator 790:	Scaled down replica set redisoperator-6445768794 to 0
08:39:23 Pod rfr-test-cluster-0 816:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-14-worker2
08:39:24 Pod rfr-test-cluster-0 819:	Container image "redis:6.2.6-alpine" already present on machine
08:39:24 Pod rfr-test-cluster-0 819:	Created container redis
08:39:24 Pod rfr-test-cluster-0 819:	Started container redis
08:39:24 Pod rfr-test-cluster-0 819:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:39:25 Pod rfr-test-cluster-0 819:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 270.013989ms
08:39:25 Pod rfr-test-cluster-0 819:	Created container redis-exporter
08:39:28 Pod rfr-test-cluster-0 819:	Started container redis-exporter
08:40:03 Pod rfr-test-cluster-0 819:	Readiness probe failed: 
08:42:55 Pod rfr-test-cluster-0 819:	Stopping container redis
08:42:55 Pod rfr-test-cluster-0 819:	Stopping container redis-exporter
08:52:27 Pod rfr-test-cluster-0 2334:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-14-worker3
