06:39:43 Pod redisoperator-56c8dfdfb-g5cbx 785:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-g5cbx to acto-cluster-15-worker3
06:39:46 Pod redisoperator-56c8dfdfb-g5cbx 787:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:39:46 Pod redisoperator-56c8dfdfb-g5cbx 787:	Created container app
06:39:48 Pod redisoperator-56c8dfdfb-g5cbx 787:	Started container app
06:39:43 ReplicaSet redisoperator-56c8dfdfb 782:	Created pod: redisoperator-56c8dfdfb-g5cbx
06:39:13 Pod redisoperator-6445768794-v4hhn 713:	Successfully assigned acto-namespace/redisoperator-6445768794-v4hhn to acto-cluster-15-worker2
06:39:15 Pod redisoperator-6445768794-v4hhn 716:	Container image "quay.io/spotahome/redis-operator:v1.1.0" already present on machine
06:39:15 Pod redisoperator-6445768794-v4hhn 716:	Created container app
06:39:16 Pod redisoperator-6445768794-v4hhn 716:	Started container app
06:39:49 Pod redisoperator-6445768794-v4hhn 716:	Stopping container app
06:39:13 ReplicaSet redisoperator-6445768794 704:	Error creating: pods "redisoperator-6445768794-" is forbidden: error looking up service account acto-namespace/redisoperator: serviceaccount "redisoperator" not found
06:39:13 ReplicaSet redisoperator-6445768794 710:	Created pod: redisoperator-6445768794-v4hhn
06:39:49 ReplicaSet redisoperator-6445768794 907:	Deleted pod: redisoperator-6445768794-v4hhn
06:39:13 Deployment redisoperator 703:	Scaled up replica set redisoperator-6445768794 to 1
06:39:43 Deployment redisoperator 781:	Scaled up replica set redisoperator-56c8dfdfb to 1
06:39:49 Deployment redisoperator 792:	Scaled down replica set redisoperator-6445768794 to 0
06:39:46 Pod rfr-test-cluster-0 814:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-15-worker
06:39:47 Pod rfr-test-cluster-0 815:	Container image "redis:6.2.6-alpine" already present on machine
06:39:47 Pod rfr-test-cluster-0 815:	Created container redis
06:39:48 Pod rfr-test-cluster-0 815:	Started container redis
06:39:48 Pod rfr-test-cluster-0 815:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:39:48 Pod rfr-test-cluster-0 815:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 243.124477ms
06:39:48 Pod rfr-test-cluster-0 815:	Created container redis-exporter
06:39:50 Pod rfr-test-cluster-0 815:	Started container redis-exporter
06:40:26 Pod rfr-test-cluster-0 815:	Readiness probe failed: 
06:43:20 Pod rfr-test-cluster-0 815:	Stopping container redis
06:43:20 Pod rfr-test-cluster-0 815:	Stopping container redis-exporter
06:52:50 Pod rfr-test-cluster-0 2338:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-15-worker2
06:52:50 Pod rfr-test-cluster-0 2341:	Container image "redis:6.2.6-alpine" already present on machine
06:52:50 Pod rfr-test-cluster-0 2341:	Created container redis
06:52:51 Pod rfr-test-cluster-0 2341:	Started container redis
06:52:51 Pod rfr-test-cluster-0 2341:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:52:51 Pod rfr-test-cluster-0 2341:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 122.537037ms
06:52:51 Pod rfr-test-cluster-0 2341:	Created container redis-exporter
06:52:54 Pod rfr-test-cluster-0 2341:	Started container redis-exporter
06:53:30 Pod rfr-test-cluster-0 2341:	Readiness probe failed: 
06:39:46 Pod rfr-test-cluster-1 818:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-15-worker3
06:39:47 Pod rfr-test-cluster-1 822:	Container image "redis:6.2.6-alpine" already present on machine
06:39:47 Pod rfr-test-cluster-1 822:	Created container redis
06:39:47 Pod rfr-test-cluster-1 822:	Started container redis
06:39:47 Pod rfr-test-cluster-1 822:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
