I0402 08:08:16.659422       1 stateful_set_control.go:92] : [acto-namespace/test-cluster]'s StatefulSet: [acto-namespace/test-cluster-pd] updated successfully
I0402 08:08:16.703214       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
E0402 08:08:16.703264       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed unable to load certificates from secret acto-namespace/test-cluster-tidb-server-secret: secret "test-cluster-tidb-server-secret" not found, requeuing
I0402 08:08:16.791810       1 statefulset.go:164] set acto-namespace/test-cluster-pd partition to 3
I0402 08:08:17.296464       1 pd_upgrader.go:135] pd upgrader: transfer pd leader to: test-cluster-pd-0 successfully
I0402 08:08:17.345805       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
I0402 08:08:17.345849       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s pd member: [test-cluster-pd-2] is transferring leader to pd member: [test-cluster-pd-0], requeuing
E0402 08:08:17.410616       1 pd_member_manager.go:190] failed to sync TidbCluster: [acto-namespace/test-cluster]'s status, error: Error response 503 URL http://test-cluster-pd.acto-namespace:2379/pd/health,body response: no leader
I0402 08:08:17.470273       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
E0402 08:08:17.470336       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbcluster: [acto-namespace/test-cluster]'s pd status sync failed, can not to be upgraded, requeuing
E0402 08:08:17.529054       1 pd_member_manager.go:190] failed to sync TidbCluster: [acto-namespace/test-cluster]'s status, error: Error response 503 URL http://test-cluster-pd.acto-namespace:2379/pd/health,body response: no leader
I0402 08:08:17.589241       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
E0402 08:08:17.589307       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbcluster: [acto-namespace/test-cluster]'s pd status sync failed, can not to be upgraded, requeuing
E0402 08:08:17.655522       1 pd_member_manager.go:190] failed to sync TidbCluster: [acto-namespace/test-cluster]'s status, error: Error response 503 URL http://test-cluster-pd.acto-namespace:2379/pd/health,body response: no leader
E0402 08:08:17.664429       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbcluster: [acto-namespace/test-cluster]'s pd status sync failed, can not to be upgraded, requeuing
I0402 08:08:18.249586       1 statefulset.go:164] set acto-namespace/test-cluster-pd partition to 3
I0402 08:08:18.249634       1 statefulset.go:164] set acto-namespace/test-cluster-pd partition to 2
I0402 08:08:18.259829       1 stateful_set_control.go:92] : [acto-namespace/test-cluster]'s StatefulSet: [acto-namespace/test-cluster-pd] updated successfully
I0402 08:08:18.303470       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
I0402 08:08:18.303507       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: TidbCluster: [acto-namespace/test-cluster], waiting for TiKV cluster running, requeuing
E0402 08:08:18.823225       1 pd_member_manager.go:190] failed to sync TidbCluster: [acto-namespace/test-cluster]'s status, error: Error response 503 URL http://test-cluster-pd.acto-namespace:2379/pd/health,body response: no leader
I0402 08:08:18.873812       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
E0402 08:08:18.873871       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbcluster: [acto-namespace/test-cluster]'s pd status sync failed, can not to be upgraded, requeuing
E0402 08:08:19.423329       1 pd_member_manager.go:190] failed to sync TidbCluster: [acto-namespace/test-cluster]'s status, error: Error response 503 URL http://test-cluster-pd.acto-namespace:2379/pd/health,body response: no leader
I0402 08:08:19.476361       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
E0402 08:08:19.476407       1 tidb_cluster_controller.go:126] TidbCluster: acto-namespace/test-cluster, sync failed tidbcluster: [acto-namespace/test-cluster]'s pd status sync failed, can not to be upgraded, requeuing
E0402 08:08:23.053542       1 pd_failover.go:70] PD failover replicas (0) reaches the limit (0), skip failover
I0402 08:08:23.053634       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"d5661197-e563-4df3-871f-4f0ec4cffca3", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1833", FieldPath:""}): type: 'Warning' reason: 'PDMemberUnhealthy' acto-namespace/test-cluster-pd-2(5110389971597451409) is unhealthy
I0402 08:08:23.054153       1 statefulset.go:164] set acto-namespace/test-cluster-pd partition to 2
I0402 08:08:23.072662       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
I0402 08:08:23.072693       1 tidb_cluster_controller.go:124] TidbCluster: acto-namespace/test-cluster, still need sync: tidbcluster: [acto-namespace/test-cluster]'s upgraded pd pod: [test-cluster-pd-2] is not ready, requeuing
E0402 08:08:26.168019       1 pd_failover.go:70] PD failover replicas (0) reaches the limit (0), skip failover
I0402 08:08:26.168157       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"d5661197-e563-4df3-871f-4f0ec4cffca3", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1833", FieldPath:""}): type: 'Warning' reason: 'PDMemberUnhealthy' acto-namespace/test-cluster-pd-2(5110389971597451409) is unhealthy
I0402 08:08:26.169051       1 statefulset.go:164] set acto-namespace/test-cluster-pd partition to 2
I0402 08:08:26.213924       1 tidbcluster_control.go:69] TidbCluster: [acto-namespace/test-cluster] updated successfully
