I0402 13:49:54.102148       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"6b6c0d19-8d0e-4d0a-a9ac-a529789d2b87", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1809", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.additionalContainers[0].image: Required value: empty image
E0402 13:50:07.219086       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.additionalContainers[0].image: Required value: empty image
I0402 13:50:07.219172       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"6b6c0d19-8d0e-4d0a-a9ac-a529789d2b87", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1809", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.additionalContainers[0].image: Required value: empty image
E0402 13:50:21.796905       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.additionalContainers[0].image: Required value: empty image
I0402 13:50:21.797006       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"6b6c0d19-8d0e-4d0a-a9ac-a529789d2b87", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1809", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.additionalContainers[0].image: Required value: empty image
E0402 13:50:51.797135       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.additionalContainers[0].image: Required value: empty image
I0402 13:50:51.797226       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"6b6c0d19-8d0e-4d0a-a9ac-a529789d2b87", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1809", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.additionalContainers[0].image: Required value: empty image
E0402 13:51:21.797261       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.additionalContainers[0].image: Required value: empty image
I0402 13:51:21.797352       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"6b6c0d19-8d0e-4d0a-a9ac-a529789d2b87", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1809", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.additionalContainers[0].image: Required value: empty image
E0402 13:51:51.797492       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.additionalContainers[0].image: Required value: empty image
I0402 13:51:51.797647       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"6b6c0d19-8d0e-4d0a-a9ac-a529789d2b87", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1809", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.additionalContainers[0].image: Required value: empty image
E0402 13:52:21.797574       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.additionalContainers[0].image: Required value: empty image
I0402 13:52:21.797665       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"6b6c0d19-8d0e-4d0a-a9ac-a529789d2b87", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1809", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.additionalContainers[0].image: Required value: empty image
E0402 13:52:51.797790       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.additionalContainers[0].image: Required value: empty image
I0402 13:52:51.797973       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"6b6c0d19-8d0e-4d0a-a9ac-a529789d2b87", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1809", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.additionalContainers[0].image: Required value: empty image
E0402 13:53:21.798057       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.additionalContainers[0].image: Required value: empty image
I0402 13:53:21.798245       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"6b6c0d19-8d0e-4d0a-a9ac-a529789d2b87", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1809", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.additionalContainers[0].image: Required value: empty image
E0402 13:53:51.798180       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.additionalContainers[0].image: Required value: empty image
I0402 13:53:51.798307       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"6b6c0d19-8d0e-4d0a-a9ac-a529789d2b87", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1809", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.additionalContainers[0].image: Required value: empty image
E0402 13:54:21.798495       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.additionalContainers[0].image: Required value: empty image
I0402 13:54:21.798822       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"6b6c0d19-8d0e-4d0a-a9ac-a529789d2b87", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1809", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.additionalContainers[0].image: Required value: empty image
E0402 13:54:51.798580       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.additionalContainers[0].image: Required value: empty image
I0402 13:54:51.798862       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"6b6c0d19-8d0e-4d0a-a9ac-a529789d2b87", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1809", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.additionalContainers[0].image: Required value: empty image
E0402 13:55:21.798993       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.additionalContainers[0].image: Required value: empty image
I0402 13:55:21.799125       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"6b6c0d19-8d0e-4d0a-a9ac-a529789d2b87", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1809", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.additionalContainers[0].image: Required value: empty image
E0402 13:55:51.798982       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.additionalContainers[0].image: Required value: empty image
I0402 13:55:51.799083       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"6b6c0d19-8d0e-4d0a-a9ac-a529789d2b87", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1809", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.additionalContainers[0].image: Required value: empty image
E0402 13:56:21.799557       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.additionalContainers[0].image: Required value: empty image
I0402 13:56:21.799741       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"6b6c0d19-8d0e-4d0a-a9ac-a529789d2b87", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1809", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.additionalContainers[0].image: Required value: empty image
E0402 13:56:51.799360       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.additionalContainers[0].image: Required value: empty image
I0402 13:56:51.799455       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"6b6c0d19-8d0e-4d0a-a9ac-a529789d2b87", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1809", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.additionalContainers[0].image: Required value: empty image
E0402 13:57:21.799530       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.additionalContainers[0].image: Required value: empty image
I0402 13:57:21.799673       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"6b6c0d19-8d0e-4d0a-a9ac-a529789d2b87", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1809", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.additionalContainers[0].image: Required value: empty image
E0402 13:57:51.799761       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.additionalContainers[0].image: Required value: empty image
I0402 13:57:51.799878       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"6b6c0d19-8d0e-4d0a-a9ac-a529789d2b87", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1809", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.additionalContainers[0].image: Required value: empty image
E0402 13:58:21.800039       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.additionalContainers[0].image: Required value: empty image
I0402 13:58:21.800158       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"6b6c0d19-8d0e-4d0a-a9ac-a529789d2b87", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1809", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.additionalContainers[0].image: Required value: empty image
E0402 13:58:51.800080       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.additionalContainers[0].image: Required value: empty image
I0402 13:58:51.800176       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"6b6c0d19-8d0e-4d0a-a9ac-a529789d2b87", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1809", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.additionalContainers[0].image: Required value: empty image
E0402 13:59:21.800282       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.additionalContainers[0].image: Required value: empty image
I0402 13:59:21.800386       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"6b6c0d19-8d0e-4d0a-a9ac-a529789d2b87", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1809", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.additionalContainers[0].image: Required value: empty image
E0402 13:59:51.800430       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.additionalContainers[0].image: Required value: empty image
I0402 13:59:51.800527       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"6b6c0d19-8d0e-4d0a-a9ac-a529789d2b87", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1809", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.additionalContainers[0].image: Required value: empty image

