I0402 09:38:46.260285       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"6338d0a0-1dbd-4910-b968-a1f48db1d21a", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"5400", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].valueFrom.fieldRef: Invalid value: "": fieldRef is not supported
E0402 09:38:50.558657       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].valueFrom.fieldRef: Invalid value: "": fieldRef is not supported
I0402 09:38:50.558960       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"6338d0a0-1dbd-4910-b968-a1f48db1d21a", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"5400", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].valueFrom.fieldRef: Invalid value: "": fieldRef is not supported
E0402 09:39:20.558968       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].valueFrom.fieldRef: Invalid value: "": fieldRef is not supported
I0402 09:39:20.559124       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"6338d0a0-1dbd-4910-b968-a1f48db1d21a", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"5400", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].valueFrom.fieldRef: Invalid value: "": fieldRef is not supported
E0402 09:39:50.559132       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].valueFrom.fieldRef: Invalid value: "": fieldRef is not supported
I0402 09:39:50.559278       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"6338d0a0-1dbd-4910-b968-a1f48db1d21a", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"5400", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].valueFrom.fieldRef: Invalid value: "": fieldRef is not supported
E0402 09:40:20.559229       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].valueFrom.fieldRef: Invalid value: "": fieldRef is not supported
I0402 09:40:20.559331       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"6338d0a0-1dbd-4910-b968-a1f48db1d21a", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"5400", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].valueFrom.fieldRef: Invalid value: "": fieldRef is not supported
E0402 09:40:50.559665       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].valueFrom.fieldRef: Invalid value: "": fieldRef is not supported
I0402 09:40:50.559800       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"6338d0a0-1dbd-4910-b968-a1f48db1d21a", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"5400", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].valueFrom.fieldRef: Invalid value: "": fieldRef is not supported
