I0402 13:01:26.242778       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"e8004dc2-a592-4216-970e-caba7320b599", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"2654", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].name: Required value
E0402 13:01:54.809908       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].name: Required value
I0402 13:01:54.809999       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"e8004dc2-a592-4216-970e-caba7320b599", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"2654", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].name: Required value
E0402 13:02:24.809967       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].name: Required value
I0402 13:02:24.810056       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"e8004dc2-a592-4216-970e-caba7320b599", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"2654", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].name: Required value
E0402 13:02:54.810165       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].name: Required value
I0402 13:02:54.810295       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"e8004dc2-a592-4216-970e-caba7320b599", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"2654", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].name: Required value
E0402 13:03:24.810362       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].name: Required value
I0402 13:03:24.810491       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"e8004dc2-a592-4216-970e-caba7320b599", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"2654", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].name: Required value
E0402 13:03:54.810497       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].name: Required value
I0402 13:03:54.810624       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"e8004dc2-a592-4216-970e-caba7320b599", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"2654", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].name: Required value
E0402 13:04:24.810646       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].name: Required value
I0402 13:04:24.811074       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"e8004dc2-a592-4216-970e-caba7320b599", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"2654", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].name: Required value
E0402 13:04:54.810923       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].name: Required value
I0402 13:04:54.811015       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"e8004dc2-a592-4216-970e-caba7320b599", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"2654", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].name: Required value
E0402 13:05:24.811179       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].name: Required value
I0402 13:05:24.811298       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"e8004dc2-a592-4216-970e-caba7320b599", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"2654", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].name: Required value
E0402 13:05:54.811378       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].name: Required value
I0402 13:05:54.811550       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"e8004dc2-a592-4216-970e-caba7320b599", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"2654", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].name: Required value
E0402 13:06:24.811495       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].name: Required value
I0402 13:06:24.811569       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"e8004dc2-a592-4216-970e-caba7320b599", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"2654", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].name: Required value
E0402 13:06:54.811629       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].name: Required value
I0402 13:06:54.811724       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"e8004dc2-a592-4216-970e-caba7320b599", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"2654", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].name: Required value
E0402 13:07:24.811751       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].name: Required value
I0402 13:07:24.811839       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"e8004dc2-a592-4216-970e-caba7320b599", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"2654", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].name: Required value
E0402 13:07:54.811921       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].name: Required value
I0402 13:07:54.812014       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"e8004dc2-a592-4216-970e-caba7320b599", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"2654", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].name: Required value
E0402 13:08:24.812175       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].name: Required value
I0402 13:08:24.812347       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"e8004dc2-a592-4216-970e-caba7320b599", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"2654", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].name: Required value
E0402 13:08:54.812372       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].name: Required value
I0402 13:08:54.812518       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"e8004dc2-a592-4216-970e-caba7320b599", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"2654", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].name: Required value
E0402 13:09:24.812526       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].name: Required value
I0402 13:09:24.812664       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"e8004dc2-a592-4216-970e-caba7320b599", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"2654", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].name: Required value
E0402 13:09:54.812698       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].name: Required value
I0402 13:09:54.812851       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"e8004dc2-a592-4216-970e-caba7320b599", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"2654", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].name: Required value
E0402 13:10:24.812962       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].name: Required value
I0402 13:10:24.813085       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"e8004dc2-a592-4216-970e-caba7320b599", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"2654", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].name: Required value
E0402 13:10:54.813175       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].name: Required value
I0402 13:10:54.813297       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"e8004dc2-a592-4216-970e-caba7320b599", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"2654", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].name: Required value
E0402 13:11:24.813206       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].name: Required value
I0402 13:11:24.813293       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"e8004dc2-a592-4216-970e-caba7320b599", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"2654", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].name: Required value

