I0402 06:46:52.785479       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"a7ab3961-7e6a-4fb6-b63c-ff66b254aaab", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1834", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
E0402 06:47:17.112711       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
I0402 06:47:17.112841       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"a7ab3961-7e6a-4fb6-b63c-ff66b254aaab", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1834", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
E0402 06:47:47.112699       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
I0402 06:47:47.112790       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"a7ab3961-7e6a-4fb6-b63c-ff66b254aaab", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1834", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
E0402 06:48:17.112902       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
I0402 06:48:17.113091       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"a7ab3961-7e6a-4fb6-b63c-ff66b254aaab", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1834", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
E0402 06:48:47.113032       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
I0402 06:48:47.113152       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"a7ab3961-7e6a-4fb6-b63c-ff66b254aaab", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1834", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
E0402 06:49:17.113230       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
I0402 06:49:17.113444       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"a7ab3961-7e6a-4fb6-b63c-ff66b254aaab", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1834", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
E0402 06:49:47.113639       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
I0402 06:49:47.113774       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"a7ab3961-7e6a-4fb6-b63c-ff66b254aaab", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1834", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
E0402 06:50:17.113714       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
I0402 06:50:17.113816       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"a7ab3961-7e6a-4fb6-b63c-ff66b254aaab", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1834", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
E0402 06:50:47.114098       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
I0402 06:50:47.114317       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"a7ab3961-7e6a-4fb6-b63c-ff66b254aaab", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1834", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
E0402 06:51:17.114182       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
I0402 06:51:17.114306       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"a7ab3961-7e6a-4fb6-b63c-ff66b254aaab", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1834", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
E0402 06:51:47.114536       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
I0402 06:51:47.114657       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"a7ab3961-7e6a-4fb6-b63c-ff66b254aaab", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1834", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
E0402 06:52:17.115207       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
I0402 06:52:17.115389       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"a7ab3961-7e6a-4fb6-b63c-ff66b254aaab", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1834", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
E0402 06:52:47.114916       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
I0402 06:52:47.115031       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"a7ab3961-7e6a-4fb6-b63c-ff66b254aaab", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"1834", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
E0402 06:53:17.115072       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.env[0].valueFrom.resourceFieldRef: Invalid value: "": resourceFieldRef is not supported
