I0402 09:10:35.411301       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"21a4a4b0-f45f-4884-b991-bf12f644ece1", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"8173", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
E0402 09:10:44.567398       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
I0402 09:10:44.567493       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"21a4a4b0-f45f-4884-b991-bf12f644ece1", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"8173", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
E0402 09:11:14.567533       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
I0402 09:11:14.567714       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"21a4a4b0-f45f-4884-b991-bf12f644ece1", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"8173", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
E0402 09:11:44.567655       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
I0402 09:11:44.567739       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"21a4a4b0-f45f-4884-b991-bf12f644ece1", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"8173", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
E0402 09:12:14.567734       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
I0402 09:12:14.567788       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"21a4a4b0-f45f-4884-b991-bf12f644ece1", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"8173", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
E0402 09:12:44.568010       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
I0402 09:12:44.568169       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"21a4a4b0-f45f-4884-b991-bf12f644ece1", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"8173", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
E0402 09:13:14.568172       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
I0402 09:13:14.568282       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"21a4a4b0-f45f-4884-b991-bf12f644ece1", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"8173", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
E0402 09:13:44.568270       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
I0402 09:13:44.568348       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"21a4a4b0-f45f-4884-b991-bf12f644ece1", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"8173", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
E0402 09:14:14.568483       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
I0402 09:14:14.568584       1 event.go:282] Event(v1.ObjectReference{Kind:"TidbCluster", Namespace:"acto-namespace", Name:"test-cluster", UID:"21a4a4b0-f45f-4884-b991-bf12f644ece1", APIVersion:"pingcap.com/v1alpha1", ResourceVersion:"8173", FieldPath:""}): type: 'Warning' reason: 'FailedValidation' spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
E0402 09:14:44.568697       1 tidb_cluster_control.go:129] tidb cluster acto-namespace/test-cluster is not valid and must be fixed first, aggregated error: spec.tidb.volumeName: Invalid value: "ACTOKEY": Can not find volumeName: ACTOKEY in storageVolumes or additionalVolumes/additionalVolumeMounts
