00:38:58 Pod test-cluster-haproxy-0 978:	Readiness probe failed: 
00:31:43 Pod test-cluster-haproxy-1 1308:	Readiness probe failed: 
00:45:58 Pod test-cluster-haproxy-1 1308:	Readiness probe failed: ERROR 2013 (HY000): Lost connection to MySQL server at 'reading initial communication packet', system error: 2

00:31:59 Pod test-cluster-haproxy-2 1409:	Readiness probe failed: 
00:45:58 Pod test-cluster-haproxy-2 1409:	Readiness probe failed: ERROR 2013 (HY000): Lost connection to MySQL server at 'reading initial communication packet', system error: 2

00:53:28 Pod test-cluster-haproxy-2 1409:	Liveness probe failed: 
00:31:32 Pod test-cluster-pxc-0 1046:	Stopping container logs
00:31:32 Pod test-cluster-pxc-0 1046:	Stopping container pxc
00:31:32 Pod test-cluster-pxc-0 1046:	Stopping container logrotate
00:31:46 Pod test-cluster-pxc-0 3039:	Successfully assigned acto-namespace/test-cluster-pxc-0 to acto-cluster-1-worker3
00:31:48 Pod test-cluster-pxc-0 3041:	Container image "percona/percona-xtradb-cluster-operator:1.11.0" already present on machine
00:31:48 Pod test-cluster-pxc-0 3041:	Created container pxc-init
00:31:48 Pod test-cluster-pxc-0 3041:	Started container pxc-init
00:31:49 Pod test-cluster-pxc-0 3041:	Container image "percona/percona-xtradb-cluster-operator:1.11.0-logcollector" already present on machine
00:31:49 Pod test-cluster-pxc-0 3041:	Created container logs
00:31:50 Pod test-cluster-pxc-0 3041:	Started container logs
00:31:50 Pod test-cluster-pxc-0 3041:	Container image "percona/percona-xtradb-cluster-operator:1.11.0-logcollector" already present on machine
00:31:50 Pod test-cluster-pxc-0 3041:	Created container logrotate
00:31:50 Pod test-cluster-pxc-0 3041:	Started container logrotate
00:31:50 Pod test-cluster-pxc-0 3041:	Container image "percona/percona-xtradb-cluster:8.0.27-18.1" already present on machine
00:31:50 Pod test-cluster-pxc-0 3041:	Created container pxc
00:31:50 Pod test-cluster-pxc-0 3041:	Started container pxc
00:38:43 Pod test-cluster-pxc-0 3041:	Stopping container logs
00:38:43 Pod test-cluster-pxc-0 3041:	Stopping container pxc
00:38:43 Pod test-cluster-pxc-0 3041:	Stopping container logrotate
00:38:58 Pod test-cluster-pxc-0 4371:	Successfully assigned acto-namespace/test-cluster-pxc-0 to acto-cluster-1-worker3
00:39:00 Pod test-cluster-pxc-0 4372:	Container image "percona/percona-xtradb-cluster-operator:1.11.0" already present on machine
