06:04:06 Pod acto-test-operator-zookeeper-operator-658b9fbcfb-vc2qh 733:	Successfully assigned acto-namespace/acto-test-operator-zookeeper-operator-658b9fbcfb-vc2qh to acto-cluster-2-worker3
06:04:06 Pod acto-test-operator-zookeeper-operator-658b9fbcfb-vc2qh 734:	Container image "pravega/zookeeper-operator:0.2.13" already present on machine
06:04:06 Pod acto-test-operator-zookeeper-operator-658b9fbcfb-vc2qh 734:	Created container acto-test-operator-zookeeper-operator
06:04:06 Pod acto-test-operator-zookeeper-operator-658b9fbcfb-vc2qh 734:	Started container acto-test-operator-zookeeper-operator
06:04:06 ReplicaSet acto-test-operator-zookeeper-operator-658b9fbcfb 730:	Created pod: acto-test-operator-zookeeper-operator-658b9fbcfb-vc2qh
06:04:06 Deployment acto-test-operator-zookeeper-operator 729:	Scaled up replica set acto-test-operator-zookeeper-operator-658b9fbcfb to 1
06:04:39 PersistentVolumeClaim data-test-cluster-0 824:	waiting for first consumer to be created before binding
06:04:39 PersistentVolumeClaim data-test-cluster-0 836:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
06:04:39 PersistentVolumeClaim data-test-cluster-0 836:	External provisioner is provisioning volume for claim "acto-namespace/data-test-cluster-0"
06:04:46 PersistentVolumeClaim data-test-cluster-0 836:	Successfully provisioned volume pvc-161455da-17a0-4644-9242-aca5207ff885
06:05:07 PersistentVolumeClaim data-test-cluster-1 940:	waiting for first consumer to be created before binding
06:05:07 PersistentVolumeClaim data-test-cluster-1 947:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
06:05:07 PersistentVolumeClaim data-test-cluster-1 947:	External provisioner is provisioning volume for claim "acto-namespace/data-test-cluster-1"
06:05:12 PersistentVolumeClaim data-test-cluster-1 947:	Successfully provisioned volume pvc-d2860bc2-97e8-4b03-a270-08ff576d3dc2
06:05:55 PersistentVolumeClaim data-test-cluster-2 1082:	waiting for first consumer to be created before binding
06:05:55 PersistentVolumeClaim data-test-cluster-2 1089:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
06:05:55 PersistentVolumeClaim data-test-cluster-2 1089:	External provisioner is provisioning volume for claim "acto-namespace/data-test-cluster-2"
06:05:59 PersistentVolumeClaim data-test-cluster-2 1089:	Successfully provisioned volume pvc-2cf3d439-749c-4e15-9a52-c85055b49749
06:04:47 Pod test-cluster-0 828:	Successfully assigned acto-namespace/test-cluster-0 to acto-cluster-2-worker2
06:04:48 Pod test-cluster-0 882:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:04:48 Pod test-cluster-0 882:	Created container zookeeper
06:04:48 Pod test-cluster-0 882:	Started container zookeeper
06:09:35 Pod test-cluster-0 882:	Stopping container zookeeper
06:10:07 Pod test-cluster-0 1644:	Successfully assigned acto-namespace/test-cluster-0 to acto-cluster-2-worker2
06:10:07 Pod test-cluster-0 1645:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:10:07 Pod test-cluster-0 1645:	Created container zookeeper
06:10:07 Pod test-cluster-0 1645:	Started container zookeeper
06:12:55 Pod test-cluster-0 1645:	Stopping container zookeeper
06:13:27 Pod test-cluster-0 2108:	Successfully assigned acto-namespace/test-cluster-0 to acto-cluster-2-worker2
06:13:28 Pod test-cluster-0 2109:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:13:28 Pod test-cluster-0 2109:	Created container zookeeper
06:13:28 Pod test-cluster-0 2109:	Started container zookeeper
06:17:11 Pod test-cluster-0 2109:	Stopping container zookeeper
06:17:42 Pod test-cluster-0 2654:	Successfully assigned acto-namespace/test-cluster-0 to acto-cluster-2-worker2
06:17:43 Pod test-cluster-0 2655:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:17:43 Pod test-cluster-0 2655:	Created container zookeeper
06:17:43 Pod test-cluster-0 2655:	Started container zookeeper
06:20:15 Pod test-cluster-0 2655:	Stopping container zookeeper
06:20:49 Pod test-cluster-0 3084:	Successfully assigned acto-namespace/test-cluster-0 to acto-cluster-2-worker2
06:20:50 Pod test-cluster-0 3085:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:20:51 Pod test-cluster-0 3085:	Created container zookeeper
06:20:51 Pod test-cluster-0 3085:	Started container zookeeper
06:23:38 Pod test-cluster-0 3085:	Stopping container zookeeper
06:24:10 Pod test-cluster-0 3541:	Successfully assigned acto-namespace/test-cluster-0 to acto-cluster-2-worker2
06:24:11 Pod test-cluster-0 3542:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:24:11 Pod test-cluster-0 3542:	Created container zookeeper
06:24:11 Pod test-cluster-0 3542:	Started container zookeeper
06:27:00 Pod test-cluster-0 3542:	Stopping container zookeeper
06:27:32 Pod test-cluster-0 4000:	Successfully assigned acto-namespace/test-cluster-0 to acto-cluster-2-worker2
06:27:32 Pod test-cluster-0 4001:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:27:32 Pod test-cluster-0 4001:	Created container zookeeper
06:27:32 Pod test-cluster-0 4001:	Started container zookeeper
06:30:12 Pod test-cluster-0 4001:	Stopping container zookeeper
06:30:44 Pod test-cluster-0 4439:	Successfully assigned acto-namespace/test-cluster-0 to acto-cluster-2-worker2
06:30:45 Pod test-cluster-0 4440:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:30:45 Pod test-cluster-0 4440:	Created container zookeeper
06:30:45 Pod test-cluster-0 4440:	Started container zookeeper
06:05:12 Pod test-cluster-1 943:	Successfully assigned acto-namespace/test-cluster-1 to acto-cluster-2-worker
06:05:13 Pod test-cluster-1 977:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:05:13 Pod test-cluster-1 977:	Created container zookeeper
06:05:13 Pod test-cluster-1 977:	Started container zookeeper
06:05:15 Pod test-cluster-1 977:	Back-off restarting failed container
06:08:51 Pod test-cluster-1 977:	Stopping container zookeeper
06:09:22 Pod test-cluster-1 1531:	Successfully assigned acto-namespace/test-cluster-1 to acto-cluster-2-worker
06:09:23 Pod test-cluster-1 1532:	Container image "pravega/zookeeper:0.2.14" already present on machine
