06:40:37 Pod acto-test-operator-zookeeper-operator-658b9fbcfb-j8ndg 731:	Successfully assigned acto-namespace/acto-test-operator-zookeeper-operator-658b9fbcfb-j8ndg to acto-cluster-3-worker3
06:40:37 Pod acto-test-operator-zookeeper-operator-658b9fbcfb-j8ndg 733:	Container image "pravega/zookeeper-operator:0.2.13" already present on machine
06:40:37 Pod acto-test-operator-zookeeper-operator-658b9fbcfb-j8ndg 733:	Created container acto-test-operator-zookeeper-operator
06:40:37 Pod acto-test-operator-zookeeper-operator-658b9fbcfb-j8ndg 733:	Started container acto-test-operator-zookeeper-operator
06:40:37 ReplicaSet acto-test-operator-zookeeper-operator-658b9fbcfb 728:	Created pod: acto-test-operator-zookeeper-operator-658b9fbcfb-j8ndg
06:40:37 Deployment acto-test-operator-zookeeper-operator 727:	Scaled up replica set acto-test-operator-zookeeper-operator-658b9fbcfb to 1
06:41:12 PersistentVolumeClaim data-test-cluster-0 825:	waiting for first consumer to be created before binding
06:41:12 PersistentVolumeClaim data-test-cluster-0 838:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
06:41:12 PersistentVolumeClaim data-test-cluster-0 838:	External provisioner is provisioning volume for claim "acto-namespace/data-test-cluster-0"
06:41:16 PersistentVolumeClaim data-test-cluster-0 838:	Successfully provisioned volume pvc-c345a11e-5e50-4564-a015-40bf080162ac
06:41:37 PersistentVolumeClaim data-test-cluster-1 923:	waiting for first consumer to be created before binding
06:41:37 PersistentVolumeClaim data-test-cluster-1 930:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
06:41:37 PersistentVolumeClaim data-test-cluster-1 930:	External provisioner is provisioning volume for claim "acto-namespace/data-test-cluster-1"
06:41:41 PersistentVolumeClaim data-test-cluster-1 930:	Successfully provisioned volume pvc-e6fa1ca5-d3d5-42f6-8420-153184cee3b0
06:42:25 PersistentVolumeClaim data-test-cluster-2 1055:	waiting for first consumer to be created before binding
06:42:25 PersistentVolumeClaim data-test-cluster-2 1063:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
06:42:25 PersistentVolumeClaim data-test-cluster-2 1063:	External provisioner is provisioning volume for claim "acto-namespace/data-test-cluster-2"
06:42:29 PersistentVolumeClaim data-test-cluster-2 1063:	Successfully provisioned volume pvc-f1be73ff-8c5d-486f-acf6-1b47e039926b
06:41:17 Pod test-cluster-0 829:	Successfully assigned acto-namespace/test-cluster-0 to acto-cluster-3-worker2
06:41:17 Pod test-cluster-0 872:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:41:17 Pod test-cluster-0 872:	Created container zookeeper
06:41:18 Pod test-cluster-0 872:	Started container zookeeper
06:45:09 Pod test-cluster-0 872:	Stopping container zookeeper
06:45:41 Pod test-cluster-0 1530:	Successfully assigned acto-namespace/test-cluster-0 to acto-cluster-3-worker2
06:45:42 Pod test-cluster-0 1531:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:45:42 Pod test-cluster-0 1531:	Created container zookeeper
06:45:44 Pod test-cluster-0 1531:	Started container zookeeper
06:48:31 Pod test-cluster-0 1531:	Stopping container zookeeper
06:49:03 Pod test-cluster-0 1992:	Successfully assigned acto-namespace/test-cluster-0 to acto-cluster-3-worker2
06:49:04 Pod test-cluster-0 1993:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:49:04 Pod test-cluster-0 1993:	Created container zookeeper
06:49:04 Pod test-cluster-0 1993:	Started container zookeeper
06:51:52 Pod test-cluster-0 1993:	Stopping container zookeeper
06:52:23 Pod test-cluster-0 2454:	Successfully assigned acto-namespace/test-cluster-0 to acto-cluster-3-worker2
06:52:24 Pod test-cluster-0 2455:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:52:24 Pod test-cluster-0 2455:	Created container zookeeper
06:52:24 Pod test-cluster-0 2455:	Started container zookeeper
06:55:16 Pod test-cluster-0 2455:	Stopping container zookeeper
06:55:49 Pod test-cluster-0 2920:	Successfully assigned acto-namespace/test-cluster-0 to acto-cluster-3-worker2
06:55:49 Pod test-cluster-0 2922:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:55:49 Pod test-cluster-0 2922:	Created container zookeeper
06:55:50 Pod test-cluster-0 2922:	Started container zookeeper
06:58:38 Pod test-cluster-0 2922:	Stopping container zookeeper
06:59:09 Pod test-cluster-0 3383:	Successfully assigned acto-namespace/test-cluster-0 to acto-cluster-3-worker2
06:59:10 Pod test-cluster-0 3384:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:59:10 Pod test-cluster-0 3384:	Created container zookeeper
06:59:10 Pod test-cluster-0 3384:	Started container zookeeper
07:01:59 Pod test-cluster-0 3384:	Stopping container zookeeper
07:02:31 Pod test-cluster-0 3835:	Successfully assigned acto-namespace/test-cluster-0 to acto-cluster-3-worker2
07:02:31 Pod test-cluster-0 3836:	Container image "pravega/zookeeper:0.2.14" already present on machine
07:02:31 Pod test-cluster-0 3836:	Created container zookeeper
07:02:32 Pod test-cluster-0 3836:	Started container zookeeper
07:05:21 Pod test-cluster-0 3836:	Stopping container zookeeper
07:05:53 Pod test-cluster-0 4296:	Successfully assigned acto-namespace/test-cluster-0 to acto-cluster-3-worker2
07:05:54 Pod test-cluster-0 4297:	Container image "pravega/zookeeper:0.2.14" already present on machine
07:05:54 Pod test-cluster-0 4297:	Created container zookeeper
07:05:54 Pod test-cluster-0 4297:	Started container zookeeper
06:41:42 Pod test-cluster-1 926:	Successfully assigned acto-namespace/test-cluster-1 to acto-cluster-3-worker3
06:41:43 Pod test-cluster-1 955:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:41:43 Pod test-cluster-1 955:	Created container zookeeper
06:41:43 Pod test-cluster-1 955:	Started container zookeeper
06:41:44 Pod test-cluster-1 955:	Back-off restarting failed container
06:44:26 Pod test-cluster-1 955:	Stopping container zookeeper
06:44:59 Pod test-cluster-1 1415:	Successfully assigned acto-namespace/test-cluster-1 to acto-cluster-3-worker3
06:44:59 Pod test-cluster-1 1416:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:44:59 Pod test-cluster-1 1416:	Created container zookeeper
06:44:59 Pod test-cluster-1 1416:	Started container zookeeper
06:47:39 Pod test-cluster-1 1416:	Stopping container zookeeper
06:48:11 Pod test-cluster-1 1863:	Successfully assigned acto-namespace/test-cluster-1 to acto-cluster-3-worker3
06:48:12 Pod test-cluster-1 1864:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:48:12 Pod test-cluster-1 1864:	Created container zookeeper
06:48:12 Pod test-cluster-1 1864:	Started container zookeeper
06:50:59 Pod test-cluster-1 1864:	Stopping container zookeeper
06:51:31 Pod test-cluster-1 2327:	Successfully assigned acto-namespace/test-cluster-1 to acto-cluster-3-worker3
06:51:32 Pod test-cluster-1 2328:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:51:32 Pod test-cluster-1 2328:	Created container zookeeper
06:51:32 Pod test-cluster-1 2328:	Started container zookeeper
06:54:23 Pod test-cluster-1 2328:	Stopping container zookeeper
06:54:55 Pod test-cluster-1 2786:	Successfully assigned acto-namespace/test-cluster-1 to acto-cluster-3-worker3
06:54:55 Pod test-cluster-1 2787:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:54:55 Pod test-cluster-1 2787:	Created container zookeeper
06:54:56 Pod test-cluster-1 2787:	Started container zookeeper
06:57:45 Pod test-cluster-1 2787:	Stopping container zookeeper
06:58:17 Pod test-cluster-1 3252:	Successfully assigned acto-namespace/test-cluster-1 to acto-cluster-3-worker3
06:58:18 Pod test-cluster-1 3253:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:58:18 Pod test-cluster-1 3253:	Created container zookeeper
06:58:18 Pod test-cluster-1 3253:	Started container zookeeper
07:01:06 Pod test-cluster-1 3253:	Stopping container zookeeper
07:01:39 Pod test-cluster-1 3708:	Successfully assigned acto-namespace/test-cluster-1 to acto-cluster-3-worker3
07:01:40 Pod test-cluster-1 3709:	Container image "pravega/zookeeper:0.2.14" already present on machine
07:01:40 Pod test-cluster-1 3709:	Created container zookeeper
07:01:40 Pod test-cluster-1 3709:	Started container zookeeper
07:04:29 Pod test-cluster-1 3709:	Stopping container zookeeper
07:05:01 Pod test-cluster-1 4162:	Successfully assigned acto-namespace/test-cluster-1 to acto-cluster-3-worker3
07:05:02 Pod test-cluster-1 4163:	Container image "pravega/zookeeper:0.2.14" already present on machine
07:05:02 Pod test-cluster-1 4163:	Created container zookeeper
07:05:02 Pod test-cluster-1 4163:	Started container zookeeper
06:42:30 Pod test-cluster-2 1059:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-3-worker
06:42:30 Pod test-cluster-2 1088:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:42:30 Pod test-cluster-2 1088:	Created container zookeeper
06:42:30 Pod test-cluster-2 1088:	Started container zookeeper
06:43:33 Pod test-cluster-2 1088:	Stopping container zookeeper
06:44:05 Pod test-cluster-2 1286:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-3-worker
06:44:06 Pod test-cluster-2 1287:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:44:06 Pod test-cluster-2 1287:	Created container zookeeper
06:44:06 Pod test-cluster-2 1287:	Started container zookeeper
06:46:47 Pod test-cluster-2 1287:	Stopping container zookeeper
06:47:19 Pod test-cluster-2 1734:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-3-worker
06:47:20 Pod test-cluster-2 1735:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:47:20 Pod test-cluster-2 1735:	Created container zookeeper
06:47:20 Pod test-cluster-2 1735:	Started container zookeeper
06:50:07 Pod test-cluster-2 1735:	Stopping container zookeeper
06:50:39 Pod test-cluster-2 2199:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-3-worker
06:50:40 Pod test-cluster-2 2201:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:50:40 Pod test-cluster-2 2201:	Created container zookeeper
06:50:40 Pod test-cluster-2 2201:	Started container zookeeper
06:53:30 Pod test-cluster-2 2201:	Stopping container zookeeper
06:54:02 Pod test-cluster-2 2662:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-3-worker
06:54:03 Pod test-cluster-2 2663:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:54:03 Pod test-cluster-2 2663:	Created container zookeeper
06:54:03 Pod test-cluster-2 2663:	Started container zookeeper
06:56:53 Pod test-cluster-2 2663:	Stopping container zookeeper
06:57:25 Pod test-cluster-2 3127:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-3-worker
06:57:25 Pod test-cluster-2 3128:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:57:25 Pod test-cluster-2 3128:	Created container zookeeper
06:57:26 Pod test-cluster-2 3128:	Started container zookeeper
07:00:14 Pod test-cluster-2 3128:	Stopping container zookeeper
07:00:46 Pod test-cluster-2 3580:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-3-worker
07:00:47 Pod test-cluster-2 3581:	Container image "pravega/zookeeper:0.2.14" already present on machine
07:00:47 Pod test-cluster-2 3581:	Created container zookeeper
07:00:47 Pod test-cluster-2 3581:	Started container zookeeper
07:03:37 Pod test-cluster-2 3581:	Stopping container zookeeper
07:04:09 Pod test-cluster-2 4035:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-3-worker
07:04:09 Pod test-cluster-2 4037:	Container image "pravega/zookeeper:0.2.14" already present on machine
07:04:09 Pod test-cluster-2 4037:	Created container zookeeper
07:04:10 Pod test-cluster-2 4037:	Started container zookeeper
06:41:12 StatefulSet test-cluster 815:	create Claim data-test-cluster-0 Pod test-cluster-0 in StatefulSet test-cluster success
06:41:12 StatefulSet test-cluster 815:	create Pod test-cluster-0 in StatefulSet test-cluster successful
06:41:37 StatefulSet test-cluster 854:	create Claim data-test-cluster-1 Pod test-cluster-1 in StatefulSet test-cluster success
06:41:37 StatefulSet test-cluster 854:	create Pod test-cluster-1 in StatefulSet test-cluster successful
06:42:25 StatefulSet test-cluster 1032:	create Claim data-test-cluster-2 Pod test-cluster-2 in StatefulSet test-cluster success
06:42:25 StatefulSet test-cluster 1032:	create Pod test-cluster-2 in StatefulSet test-cluster successful
06:43:33 StatefulSet test-cluster 1209:	delete Pod test-cluster-2 in StatefulSet test-cluster successful
06:44:26 StatefulSet test-cluster 1291:	delete Pod test-cluster-1 in StatefulSet test-cluster successful
06:45:09 StatefulSet test-cluster 1437:	delete Pod test-cluster-0 in StatefulSet test-cluster successful
06:41:07 Pod zkapp 796:	Successfully assigned acto-namespace/zkapp to acto-cluster-3-worker3
06:41:08 Pod zkapp 797:	Container image "tylergu1998/zkapp:v1" already present on machine
06:41:08 Pod zkapp 797:	Created container zkapp
06:41:08 Pod zkapp 797:	Started container zkapp
