Name,Owner,Desc,url,forks,stars,commits,watches,created_at,pushed_at
azurestorageexplorer,sebagomez,"☁💾 Manage your Azure Storage blobs, tables, queues and file shares from this simple and intuitive web application.",https://github.com/sebagomez/azurestorageexplorer,63,112,15,425,2014-02-09,2023-03-09
tyk,TykTechnologies,"Tyk Open Source API Gateway written in Go, supporting REST, GraphQL, TCP and gRPC protocols",https://github.com/TykTechnologies/tyk,989,8221,276,4209,2014-05-07,2023-03-20
docker-minecraft-server,itzg,Docker image that provides a Minecraft Server that will automatically download selected version at startup,https://github.com/itzg/docker-minecraft-server,1227,6349,61,1711,2014-05-17,2023-03-20
ToolsOfTheTrade,cjbarber,"Tools of The Trade, from Hacker News.",https://github.com/cjbarber/ToolsOfTheTrade,1267,15913,485,648,2014-05-29,2023-03-14
juju,juju,"Universal Operator Lifecycle Manager (OLM) for Kubernetes operators, and operators for traditional Linux apps, with declarative integration between operators for automated microservice integration.",https://github.com/juju/juju,456,2102,79,78737,2014-06-03,2023-03-21
awesome-elixir,h4cc,"A curated list of amazingly awesome Elixir and Erlang libraries, resources and shiny things. Updates:",https://github.com/h4cc/awesome-elixir,1126,11789,375,2074,2014-07-01,2023-03-02
spinnaker,spinnaker,"Spinnaker is an open source, multi-cloud continuous delivery platform for releasing software changes with high velocity and confidence.",https://github.com/spinnaker/spinnaker,1191,8841,344,2087,2014-07-02,2023-01-26
seaweedfs,seaweedfs,"SeaweedFS is a fast distributed storage system for blobs, objects, files, and data lake, for billions of files! Blob store has O(1) disk seek, cloud tiering. Filer supports Cloud Drive, cross-DC active-active replication, Kubernetes, POSIX FUSE mount, S3 API, S3 Gateway, Hadoop, WebDAV, encryption, Erasure Coding.",https://github.com/seaweedfs/seaweedfs,1937,16855,520,9294,2014-07-14,2023-03-20
awesome-swift,matteocrippa,A collaborative list of awesome Swift libraries and resources. Feel free to contribute!,https://github.com/matteocrippa/awesome-swift,3035,23081,914,3909,2014-07-10,2023-03-15
awesome-dotnet,quozd,"A collection of awesome .NET libraries, tools, frameworks and software",https://github.com/quozd/awesome-dotnet,2492,16349,1110,1577,2014-07-16,2023-03-14
awesome-rust,rust-unofficial,A curated list of Rust code and resources.,https://github.com/rust-unofficial/awesome-rust,2117,33307,782,3886,2014-07-17,2023-03-18
awesome-pentest,enaqx,"A collection of awesome penetration testing resources, tools and other shiny things",https://github.com/enaqx/awesome-pentest,4171,18081,1152,824,2014-08-03,2023-01-07
noobaa-core,noobaa,"NooBaa is a Dynamic Data Gateway for cloud-native, hybrid and multi cloud environments :cloud::rocket:",https://github.com/noobaa/noobaa-core,68,226,17,11794,2014-09-11,2023-03-20
awesome-zsh-plugins,unixorn,"A collection of ZSH frameworks, plugins, themes and tutorials.",https://github.com/unixorn/awesome-zsh-plugins,497,12559,176,4849,2014-10-07,2023-03-19
ci.docker,WASdev,Build scripts for Docker images (Dockerfiles) and Docker related utilities for WebSphere Liberty.,https://github.com/WASdev/ci.docker,120,121,29,930,2014-11-25,2023-03-13
ari,CyCoreSystems,Golang Asterisk REST Interface (ARI) library,https://github.com/CyCoreSystems/ari,58,147,20,672,2014-11-30,2023-03-08
minio,minio,Multi-Cloud :cloud: Object Storage,https://github.com/minio/minio,4545,38076,610,10472,2015-01-14,2023-03-21
airflow,apache,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows",https://github.com/apache/airflow,12084,29529,757,19199,2015-04-13,2023-03-21
spilo,zalando,Highly available elephant herd: HA PostgreSQL cluster using Docker,https://github.com/zalando/spilo,295,1120,48,799,2015-04-17,2023-03-16
prometheus-boshrelease,bosh-prometheus,Prometheus BOSH Release,https://github.com/bosh-prometheus/prometheus-boshrelease,158,113,44,1762,2015-04-21,2023-03-13
open-event-server,fossasia,The Open Event Organizer Server to Manage Events https://test-api.eventyay.com,https://github.com/fossasia/open-event-server,1869,2882,48,8438,2015-05-08,2023-03-20
kubernetes-client,fabric8io,Java client for Kubernetes & OpenShift,https://github.com/fabric8io/kubernetes-client,1335,2899,128,5556,2015-07-09,2023-03-20
awesome-go,uhub,"A curated list of awesome Go frameworks, libraries and software.",https://github.com/uhub/awesome-go,149,1237,57,142,2015-08-12,2023-03-05
go-workshops,exu,Go language basic workshops for devz,https://github.com/exu/go-workshops,16,70,10,348,2015-08-06,2023-02-25
awesome-cpp,uhub,"A curated list of awesome C++ frameworks, libraries and software.",https://github.com/uhub/awesome-cpp,180,900,78,105,2015-08-12,2023-03-01
awesome-python,uhub,"A curated list of awesome Python frameworks, libraries and software.",https://github.com/uhub/awesome-python,174,839,52,101,2015-08-12,2023-03-14
awesome-perl,uhub,"A curated list of awesome Perl frameworks, libraries and software.",https://github.com/uhub/awesome-perl,21,78,13,100,2015-08-12,2023-03-12
awesome-erlang,uhub,"A curated list of awesome Erlang frameworks, libraries and software.",https://github.com/uhub/awesome-erlang,42,298,26,97,2015-08-13,2023-03-04
awesome-scala,uhub,"A curated list of awesome Scala frameworks, libraries and software.",https://github.com/uhub/awesome-scala,37,192,22,104,2015-08-12,2023-03-17
awesome-lua,uhub,"A curated list of awesome Lua frameworks, libraries and software.",https://github.com/uhub/awesome-lua,49,455,33,101,2015-08-12,2023-03-09
garden-runc-release,cloudfoundry,,https://github.com/cloudfoundry/garden-runc-release,72,62,51,2974,2015-09-07,2023-03-20
coco-mongodb,Financial-Times,,https://github.com/Financial-Times/coco-mongodb,2,0,22,101,2015-09-21,2023-03-17
awesome-tor,ajvb,"A list of awesome Tor related projects, articles, papers, etc",https://github.com/ajvb/awesome-tor,60,328,21,62,2015-11-19,2023-01-17
awesome-elasticsearch,dzharii,"A curated list of the most important and useful resources about elasticsearch: articles, videos, blogs, tips and tricks, use cases. All about Elasticsearch!",https://github.com/dzharii/awesome-elasticsearch,559,4544,226,185,2015-11-09,2022-09-20
professional-programming,charlax,A collection of learning resources for curious software engineers,https://github.com/charlax/professional-programming,1997,23095,642,348,2015-11-07,2023-03-12
artwork,cncf,🎨 CNCF-related logos and artwork,https://github.com/cncf/artwork,257,419,31,575,2015-12-07,2023-03-15
static-analysis,analysis-tools-dev,"⚙️ A curated list of static analysis (SAST) tools and linters for all programming languages, config files, build tools, and more. The focus is on tools which improve code quality.",https://github.com/analysis-tools-dev/static-analysis,1238,11059,323,8346,2015-12-18,2023-03-20
fineract,apache,Apache Fineract,https://github.com/apache/fineract,1188,887,110,7224,2015-12-22,2023-03-21
scylla-cluster-tests,scylladb,Tests for Scylla Clusters,https://github.com/scylladb/scylla-cluster-tests,61,44,24,6768,2015-12-29,2023-03-20
elektra,sapcc,An opinionated openstack Web UI for consumer self service and operations.,https://github.com/sapcc/elektra,27,64,37,7213,2015-12-16,2023-03-17
nomulus,google,Top-level domain name registry service on Google App Engine,https://github.com/google/nomulus,275,1604,65,4318,2016-02-29,2023-03-20
spring-cloud-vault,spring-cloud,Configuration Integration with HashiCorp Vault,https://github.com/spring-cloud/spring-cloud-vault,138,260,34,636,2016-02-11,2023-03-04
jaeger,jaegertracing,"CNCF Jaeger, a Distributed Tracing Platform",https://github.com/jaegertracing/jaeger,2086,17341,339,1976,2016-04-15,2023-03-20
kubeturbo,turbonomic,,https://github.com/turbonomic/kubeturbo,64,117,29,1454,2016-04-19,2023-03-17
strimzi-kafka-bridge,strimzi,An HTTP bridge for Apache Kafka®,https://github.com/strimzi/strimzi-kafka-bridge,101,222,22,728,2016-03-21,2023-03-20
awesome-kafka,infoslack,A list about Apache Kafka,https://github.com/infoslack/awesome-kafka,151,526,29,70,2016-04-29,2022-11-30
changelog,halon,Halon MTA changelog,https://github.com/halon/changelog,0,8,19,393,2016-04-01,2023-02-20
strimzi-kafka-operator,strimzi,Apache Kafka® running on Kubernetes,https://github.com/strimzi/strimzi-kafka-operator,1075,3721,95,5131,2016-05-06,2023-03-21
kube2iam,jtblin,kube2iam  provides different AWS IAM roles for pods running on Kubernetes,https://github.com/jtblin/kube2iam,311,1895,46,207,2016-05-08,2023-02-06
